대분류,통계명,통계표조회,출처,수록기간,경로,경로(LIST_ID),통계표 아이디(TBL_ID)
인구,     고령인구비율(시도/시/군/구),통계표 보기,행정안전부(주민과),"년 (2000 ~ 2024) , 월 (200801 ~ 202505)",e-지방지표(주제별) > 인구 > 고령인구비율(시도/시/군/구), > 101 > ,DT_1YL20631
인구,     남녀성비(시도/시/군/구),통계표 보기,행정안전부(주민과),"년 (2000 ~ 2024) , 월 (200801 ~ 202505)",e-지방지표(주제별) > 인구 > 남녀성비(시도/시/군/구), > 101 > ,DT_1YL20701
인구,     노령화지수(시도),통계표 보기,"통계청,「장래인구추계」",년 (1970 ~ 2052),e-지방지표(주제별) > 인구 > 노령화지수(시도), > 101 > ,DT_1YL12501E
인구,     농가인구(시도/시/군/구),통계표 보기,"통계청,「농림어업조사」",년 (2010 ~ 2024),e-지방지표(주제별) > 인구 > 농가인구(시도/시/군/구), > 101 > ,INH_1EA1011_01
인구,     등록외국인 현황(시도/시/군/구),통계표 보기,법무부,년 (2003 ~ 2023),e-지방지표(주제별) > 인구 > 등록외국인 현황(시도/시/군/구), > 101 > ,DT_1YL21261
인구,     인구 천명당 외국인수(시도/시/군/구),통계표 보기,법무부,년 (2003 ~ 2023),e-지방지표(주제별) > 인구 > 인구 천명당 외국인수(시도/시/군/구), > 101 > ,DT_1YL21271
인구,     사망률(시도/시/군/구),통계표 보기,"통계청,「인구동향조사」",년 (1997 ~ 2023),e-지방지표(주제별) > 인구 > 사망률(시도/시/군/구), > 101 > ,INH_1B80A18
인구,     사망자수(시도/시/군/구),통계표 보기,"통계청,「인구동향조사」","년 (1997 ~ 2023) , 월 (199701 ~ 202312)",e-지방지표(주제별) > 인구 > 사망자수(시도/시/군/구), > 101 > ,INH_1B82A01
인구,     순이동인구(시도/시/군/구),통계표 보기,"통계청,「국내인구이동통계」","년 (1970 ~ 2024) , 분기 (197001 ~ 202501) , 월 (197001 ~ 202504)",e-지방지표(주제별) > 인구 > 순이동인구(시도/시/군/구), > 101 > ,INH_1B26001_A021
인구,     어가인구(시도),통계표 보기,"통계청,「농림어업조사」",년 (2010 ~ 2024),e-지방지표(주제별) > 인구 > 어가인구(시도), > 101 > ,INH_1ZB7024
인구,     인구증가율(시도/시/군/구),통계표 보기,행정안전부(주민과),년 (2000 ~ 2023),e-지방지표(주제별) > 인구 > 인구증가율(시도/시/군/구), > 101 > ,DT_1YL20621
인구,     인구총조사 인구(시도/시/군/구),통계표 보기,"통계청,「인구총조사」",년 (2015 ~ 2023),e-지방지표(주제별) > 인구 > 인구총조사 인구(시도/시/군/구), > 101 > ,INH_1IN1503_01
인구,     전입인구(시도/시/군/구),통계표 보기,"통계청,「국내인구이동통계」","년 (1970 ~ 2024) , 분기 (197001 ~ 202501) , 월 (197001 ~ 202504)",e-지방지표(주제별) > 인구 > 전입인구(시도/시/군/구), > 101 > ,INH_1B26001_A022
인구,     전출인구(시도/시/군/구),통계표 보기,"통계청,「국내인구이동통계」","년 (1970 ~ 2024) , 분기 (197001 ~ 202501) , 월 (197001 ~ 202504)",e-지방지표(주제별) > 인구 > 전출인구(시도/시/군/구), > 101 > ,INH_1B26001_A023
인구,     주민등록인구(시도/시/군/구),통계표 보기,"행정안전부,「주민등록인구현황」","년 (1992 ~ 2024) , 월 (201101 ~ 202505)",e-지방지표(주제별) > 인구 > 주민등록인구(시도/시/군/구), > 101 > ,DT_1YL20651E
인구,     추계인구(시도),통계표 보기,"통계청,「장래인구추계」",년 (1970 ~ 2052),e-지방지표(주제별) > 인구 > 추계인구(시도), > 101 > ,DT_1BPB001E
인구,     추계인구(시/군/구),통계표 보기,통계청(지역통계기획팀),년 (2022 ~ 2042),e-지방지표(주제별) > 인구 > 추계인구(시/군/구), > 101 > ,DT_1BPB002E
인구,     출생아수(시도/시/군/구),통계표 보기,"통계청,「인구동향조사」","년 (1997 ~ 2023) , 월 (199701 ~ 202312)",e-지방지표(주제별) > 인구 > 출생아수(시도/시/군/구), > 101 > ,INH_1B81A01
인구,     평균연령(시도/시/군/구),통계표 보기,"통계청,「인구총조사」",년 (2015 ~ 2023),e-지방지표(주제별) > 인구 > 평균연령(시도/시/군/구), > 101 > ,INH_1IN1503_02
인구,     평균 재혼연령(시도),통계표 보기,"통계청,「인구동향조사」",년 (1990 ~ 2024),e-지방지표(주제별) > 인구 > 평균 재혼연령(시도), > 101 > ,INH_1B83A10
인구,     평균 초혼연령(시도/시/군/구),통계표 보기,"통계청,「인구동향조사」",년 (2000 ~ 2024),e-지방지표(주제별) > 인구 > 평균 초혼연령(시도/시/군/구), > 101 > ,INH_1B83A09
인구,     합계출산율(시도/시/군/구),통계표 보기,"통계청,「인구동향조사」",년 (2000 ~ 2023),e-지방지표(주제별) > 인구 > 합계출산율(시도/시/군/구), > 101 > ,INH_1B81A17
