item,category,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052
강원특별자치도 - 계 - 추계인구,Statistics,1914127.0,1912413.0,1907958.0,1901603.0,1892974.0,1881368.0,1868787.0,1854385.0,1839084.0,1824032.0,1819806.0,1814259.0,1795868.0,1766197.0,1740348.0,1720598.0,1692120.0,1653464.0,1607158.0,1561838.0,1546504.0,1531591.0,1515652.0,1498849.0,1481781.0,1483026.0,1489229.0,1501714.0,1512746.0,1515605.0,1516664.0,1510448.0,1501318.0,1496907.0,1488881.0,1481855.0,1476484.0,1480389.0,1485148.0,1488794.0,1497944.0,1504234.0,1505686.0,1510198.0,1516636.0,1520686.0,1520879.0,1521442.0,1520117.0,1519291.0,1520426.0,1527211.0,1525473.0,1518110.0,1517186.0,1516330.0,1515993.0,1516107.0,1516557.0,1517257.0,1518091.0,1518953.0,1519724.0,1520323.0,1520660.0,1520683.0,1520378.0,1519587.0,1518221.0,1516248.0,1513593.0,1510305.0,1506399.0,1501861.0,1496645.0,1490671.0,1483924.0,1476405.0,1468102.0,1459021.0,1449246.0,1438740.0
강원특별자치도 - 남자 - 추계인구,Statistics,986296.0,984990.0,981784.0,978003.0,972070.0,966392.0,960192.0,953040.0,945399.0,937969.0,935761.0,932884.0,923325.0,907988.0,894828.0,882825.0,866096.0,844455.0,819111.0,794600.0,786213.0,777992.0,769263.0,760102.0,750848.0,750592.0,753190.0,758827.0,763790.0,764311.0,764417.0,761242.0,757473.0,756039.0,752204.0,748942.0,746613.0,749398.0,751832.0,753379.0,757935.0,761014.0,760774.0,763051.0,767652.0,769110.0,768854.0,769266.0,767673.0,766322.0,766340.0,769910.0,769616.0,765989.0,765399.0,764784.0,764426.0,764315.0,764408.0,764669.0,765054.0,765486.0,765870.0,766183.0,766352.0,766345.0,766109.0,765573.0,764693.0,763456.0,761812.0,759802.0,757463.0,754801.0,751824.0,748507.0,744845.0,740855.0,736531.0,731887.0,726975.0,721774.0
강원특별자치도 - 여자 - 추계인구,Statistics,927831.0,927423.0,926174.0,923600.0,920904.0,914976.0,908595.0,901345.0,893685.0,886063.0,884045.0,881375.0,872543.0,858209.0,845520.0,837773.0,826024.0,809009.0,788047.0,767238.0,760291.0,753599.0,746389.0,738747.0,730933.0,732434.0,736039.0,742887.0,748956.0,751294.0,752247.0,749206.0,743845.0,740868.0,736677.0,732913.0,729871.0,730991.0,733316.0,735415.0,740009.0,743220.0,744912.0,747147.0,748984.0,751576.0,752025.0,752176.0,752444.0,752969.0,754086.0,757301.0,755857.0,752121.0,751787.0,751546.0,751567.0,751792.0,752149.0,752588.0,753037.0,753467.0,753854.0,754140.0,754308.0,754338.0,754269.0,754014.0,753528.0,752792.0,751781.0,750503.0,748936.0,747060.0,744821.0,742164.0,739079.0,735550.0,731571.0,727134.0,722271.0,716966.0
경기도 - 계 - 추계인구,Statistics,2732577.0,2829428.0,2926725.0,3025206.0,3124725.0,3249707.0,3376630.0,3505494.0,3637154.0,3774067.0,3876181.0,4022714.0,4247247.0,4480444.0,4696641.0,5001303.0,5291325.0,5499098.0,5690707.0,5972092.0,6294496.0,6634393.0,6987963.0,7355945.0,7737864.0,8131905.0,8449371.0,8681978.0,8892806.0,9146445.0,9451079.0,9813893.0,10149261.0,10415516.0,10625127.0,10853412.0,11056824.0,11266554.0,11413244.0,11618962.0,11825310.0,11974482.0,12126274.0,12282013.0,12423017.0,12600313.0,12785790.0,13026541.0,13241253.0,13452422.0,13611134.0,13689761.0,13781261.0,13861071.0,13948740.0,14026937.0,14099503.0,14166211.0,14227573.0,14283573.0,14333721.0,14378111.0,14416703.0,14449297.0,14475519.0,14495365.0,14509365.0,14516185.0,14514763.0,14505838.0,14489372.0,14465444.0,14434367.0,14396103.0,14350771.0,14298106.0,14237773.0,14169279.0,14092519.0,14007393.0,13913928.0,13812127.0
경기도 - 남자 - 추계인구,Statistics,1383423.0,1431085.0,1477871.0,1525576.0,1571451.0,1635693.0,1701077.0,1767513.0,1835609.0,1906744.0,1958955.0,2033715.0,2148239.0,2267550.0,2379231.0,2531145.0,2674949.0,2778384.0,2874099.0,3017748.0,3182537.0,3356131.0,3536996.0,3725515.0,3921415.0,4122997.0,4285048.0,4396378.0,4499333.0,4630358.0,4789459.0,4973676.0,5145856.0,5280598.0,5385497.0,5504138.0,5610309.0,5716511.0,5785465.0,5888330.0,5991599.0,6060641.0,6131745.0,6209792.0,6282002.0,6367061.0,6467424.0,6594949.0,6710022.0,6799985.0,6877650.0,6920476.0,6975911.0,7017210.0,7061045.0,7099734.0,7135262.0,7167570.0,7197004.0,7223463.0,7246636.0,7266725.0,7283832.0,7297807.0,7308433.0,7315739.0,7319999.0,7320373.0,7316385.0,7308455.0,7296572.0,7280839.0,7261407.0,7238361.0,7211850.0,7181773.0,7148056.0,7110582.0,7069276.0,7024104.0,6975112.0,6922446.0
경기도 - 여자 - 추계인구,Statistics,1349154.0,1398343.0,1448854.0,1499630.0,1553274.0,1614014.0,1675553.0,1737981.0,1801545.0,1867323.0,1917226.0,1988999.0,2099008.0,2212894.0,2317410.0,2470158.0,2616376.0,2720714.0,2816608.0,2954344.0,3111959.0,3278262.0,3450967.0,3630430.0,3816449.0,4008908.0,4164323.0,4285600.0,4393473.0,4516087.0,4661620.0,4840217.0,5003405.0,5134918.0,5239630.0,5349274.0,5446515.0,5550043.0,5627779.0,5730632.0,5833711.0,5913841.0,5994529.0,6072221.0,6141015.0,6233252.0,6318366.0,6431592.0,6531231.0,6652437.0,6733484.0,6769285.0,6805350.0,6843861.0,6887695.0,6927203.0,6964241.0,6998641.0,7030569.0,7060110.0,7087085.0,7111386.0,7132871.0,7151490.0,7167086.0,7179626.0,7189366.0,7195812.0,7198378.0,7197383.0,7192800.0,7184605.0,7172960.0,7157742.0,7138921.0,7116333.0,7089717.0,7058697.0,7023243.0,6983289.0,6938816.0,6889681.0
경상남도 - 계 - 추계인구,Statistics,2810010.0,2818466.0,2823575.0,2826093.0,2828890.0,2818527.0,2804374.0,2786474.0,2766722.0,2746366.0,2748595.0,2765095.0,2783622.0,2793154.0,2789644.0,2783433.0,2773779.0,2768387.0,2764700.0,2776273.0,2805601.0,2834597.0,2861211.0,2885857.0,2908813.0,2943238.0,2975321.0,3000399.0,3020469.0,3035571.0,3047627.0,3069947.0,3094681.0,3101595.0,3110041.0,3123201.0,3136517.0,3166472.0,3192481.0,3217263.0,3244712.0,3265495.0,3277965.0,3307369.0,3330230.0,3337708.0,3339275.0,3351332.0,3350142.0,3340211.0,3315384.0,3286961.0,3266517.0,3249033.0,3230336.0,3212076.0,3194322.0,3176698.0,3159020.0,3140935.0,3122331.0,3103220.0,3083617.0,3063401.0,3042568.0,3021264.0,2999646.0,2977596.0,2955011.0,2932080.0,2908756.0,2885000.0,2860666.0,2835646.0,2809817.0,2783018.0,2755093.0,2725949.0,2695548.0,2663909.0,2631075.0,2597078.0
경상남도 - 남자 - 추계인구,Statistics,1413976.0,1416875.0,1416907.0,1416162.0,1413320.0,1408925.0,1402346.0,1393800.0,1384281.0,1374467.0,1377161.0,1386849.0,1397431.0,1403354.0,1402792.0,1397224.0,1389322.0,1383960.0,1379682.0,1383172.0,1398695.0,1414001.0,1428180.0,1441419.0,1453850.0,1471958.0,1489081.0,1501676.0,1512937.0,1521938.0,1530118.0,1543264.0,1557727.0,1564155.0,1569743.0,1580143.0,1589921.0,1609185.0,1624232.0,1638144.0,1651780.0,1661753.0,1668122.0,1683623.0,1696568.0,1700617.0,1698965.0,1704709.0,1705158.0,1696336.0,1681840.0,1667010.0,1659807.0,1652494.0,1643206.0,1634189.0,1625524.0,1617080.0,1608680.0,1600034.0,1591110.0,1581918.0,1572378.0,1562440.0,1552073.0,1541355.0,1530302.0,1518815.0,1506904.0,1494671.0,1482171.0,1469444.0,1456439.0,1443129.0,1429517.0,1415540.0,1401145.0,1386300.0,1370993.0,1355181.0,1338886.0,1322154.0
경상남도 - 여자 - 추계인구,Statistics,1396034.0,1401591.0,1406668.0,1409931.0,1415570.0,1409602.0,1402028.0,1392674.0,1382441.0,1371899.0,1371434.0,1378246.0,1386191.0,1389800.0,1386852.0,1386209.0,1384457.0,1384427.0,1385018.0,1393101.0,1406906.0,1420596.0,1433031.0,1444438.0,1454963.0,1471280.0,1486240.0,1498723.0,1507532.0,1513633.0,1517509.0,1526683.0,1536954.0,1537440.0,1540298.0,1543058.0,1546596.0,1557287.0,1568249.0,1579119.0,1592932.0,1603742.0,1609843.0,1623746.0,1633662.0,1637091.0,1640310.0,1646623.0,1644984.0,1643875.0,1633544.0,1619951.0,1606710.0,1596539.0,1587130.0,1577887.0,1568798.0,1559618.0,1550340.0,1540901.0,1531221.0,1521302.0,1511239.0,1500961.0,1490495.0,1479909.0,1469344.0,1458781.0,1448107.0,1437409.0,1426585.0,1415556.0,1404227.0,1392517.0,1380300.0,1367478.0,1353948.0,1339649.0,1324555.0,1308728.0,1292189.0,1274924.0
경상북도 - 계 - 추계인구,Statistics,3387836.0,3393269.0,3394925.0,3393581.0,3392694.0,3350869.0,3305810.0,3257090.0,3206925.0,3156810.0,3138992.0,3111394.0,3066542.0,3007934.0,2953958.0,2906873.0,2866626.0,2822774.0,2774467.0,2736033.0,2732475.0,2728374.0,2721551.0,2712646.0,2702465.0,2724100.0,2745318.0,2759045.0,2770743.0,2773340.0,2756966.0,2736510.0,2704590.0,2669505.0,2651702.0,2652689.0,2643478.0,2639236.0,2634167.0,2630443.0,2644992.0,2655755.0,2660941.0,2670922.0,2677768.0,2683339.0,2675128.0,2675196.0,2671108.0,2651789.0,2640731.0,2625507.0,2611408.0,2597229.0,2583376.0,2570057.0,2557719.0,2546106.0,2534922.0,2523951.0,2513041.0,2502047.0,2490827.0,2479227.0,2467190.0,2454768.0,2441943.0,2428628.0,2414750.0,2400243.0,2385145.0,2369443.0,2353138.0,2336214.0,2318520.0,2299889.0,2280275.0,2259669.0,2238028.0,2215379.0,2191860.0,2167468.0
