item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
가평군 - 2015년 기준년가격,Statistics,1408657.0,1457213.0,1363032.0,1426573.0,1494257.0,1556659.0,1616230.0,1713583.0,1678010.0,1662681.0,1757831.0
가평군 - 당해년가격,Statistics,1260493.0,1339243.0,1280521.0,1372852.0,1494257.0,1601945.0,1698550.0,1831625.0,1814241.0,1836107.0,1985743.0
강남구 - 2015년 기준년가격,Statistics,52927768.0,53311451.0,55879857.0,59139013.0,62295492.0,62600367.0,62951638.0,65689895.0,67789806.0,69039686.0,70278790.0
강남구 - 당해년가격,Statistics,49798703.0,51039580.0,53810793.0,57487436.0,62295492.0,63866440.0,65387478.0,69186319.0,71852681.0,74260359.0,77924019.0
강동구 - 2015년 기준년가격,Statistics,7407585.0,8104649.0,7628123.0,7559909.0,7519077.0,7713049.0,7905206.0,8347156.0,8720189.0,8552628.0,8465941.0
강동구 - 당해년가격,Statistics,6883921.0,7690317.0,7291261.0,7333512.0,7519077.0,7897558.0,8225774.0,8825479.0,9348668.0,9317128.0,9364063.0
강릉시 - 2015년 기준년가격,Statistics,4263728.0,4322129.0,4346847.0,4542902.0,4740366.0,4897568.0,5084523.0,5036573.0,5273646.0,5576817.0,5733580.0
강릉시 - 당해년가격,Statistics,3866396.0,4001286.0,4091570.0,4374447.0,4740366.0,5019567.0,5295106.0,5326931.0,5651552.0,6092737.0,6321485.0
강북구 - 2015년 기준년가격,Statistics,3415691.0,3269084.0,2966538.0,2865234.0,2759140.0,2882038.0,2940688.0,3050845.0,3088259.0,3105839.0,3174135.0
강북구 - 당해년가격,Statistics,3099417.0,3034754.0,2794358.0,2762673.0,2759140.0,2952798.0,3057496.0,3207289.0,3283572.0,3356956.0,3462961.0
강서구 - 2015년 기준년가격,Statistics,8747605.0,8815114.0,9582064.0,9541179.0,10149098.0,11134117.0,16070578.0,16743106.0,16470960.0,15524322.0,16521315.0
강서구 - 당해년가격,Statistics,7992342.0,8110727.0,8923765.0,9097721.0,10149098.0,11420676.0,16772058.0,17607271.0,17458926.0,16811352.0,18347568.0
강원특별자치도 - 2015년 기준년가격,Statistics,36296644.0,37021010.0,38211948.0,40077987.0,40867985.0,42047331.0,43761362.0,44574334.0,46064137.0,44829136.0,46781331.0
강원특별자치도 - 당해년가격,Statistics,33087301.0,34556834.0,36278698.0,38775764.0,40867985.0,43078659.0,45511732.0,46925797.0,48822640.0,48656564.0,51207169.0
강진군 - 2015년 기준년가격,Statistics,670882.0,689673.0,687543.0,696749.0,756149.0,758492.0,803274.0,838795.0,840560.0,863738.0,946336.0
강진군 - 당해년가격,Statistics,629902.0,668654.0,663204.0,678820.0,756149.0,777057.0,826475.0,886144.0,892176.0,953921.0,1012211.0
강화군 - 2015년 기준년가격,Statistics,,,,,1254585.0,1331855.0,1403270.0,1556523.0,1608537.0,1537648.0,1665476.0
강화군 - 당해년가격,Statistics,,,,,1254585.0,1356992.0,1456312.0,1649168.0,1710277.0,1628866.0,1770132.0
거제시 - 2015년 기준년가격,Statistics,,,,,10996802.0,10829581.0,9842254.0,8619173.0,9075712.0,7960246.0,8542101.0
거제시 - 당해년가격,Statistics,,,,,10996802.0,11144606.0,10168912.0,8948449.0,9535962.0,8584161.0,9211975.0
거창군 - 2015년 기준년가격,Statistics,,,,,1451454.0,1495732.0,1467138.0,1501885.0,1521518.0,1519465.0,1490226.0
거창군 - 당해년가격,Statistics,,,,,1451454.0,1506123.0,1519671.0,1582053.0,1599712.0,1648855.0,1645349.0
경기도 - 2015년 기준년가격,Statistics,313748238.0,327820620.0,346430719.0,362159526.0,381978306.0,399827962.0,426172886.0,451914662.0,462288338.0,470022670.0,498358681.0
경기도 - 당해년가격,Statistics,292825058.0,311414578.0,333380088.0,351734517.0,381978306.0,407437529.0,451426420.0,479822189.0,477413452.0,491298336.0,529210829.0
경산시 - 2015년 기준년가격,Statistics,,,,,7231040.0,7367591.0,7463495.0,7561864.0,8187508.0,7449378.0,7874095.0
경산시 - 당해년가격,Statistics,,,,,7231040.0,7523611.0,7666389.0,7793697.0,8594507.0,7997516.0,8312918.0
