item,category,2005,2008,2011,2014,2017,2020,2023
강원특별자치도 - 계,Statistics,77.35282,78.59498,80.17936,80.88009,82.04255,82.79754,82.84131
강원특별자치도 - 남,Statistics,73.35798,74.89159,76.38617,77.18263,78.41962,79.56191,79.5299
강원특별자치도 - 여,Statistics,81.34766,82.29841,83.97597,84.58143,85.66841,86.03336,86.15352
경기도 - 계,Statistics,78.67152,80.1453,81.07179,82.22685,83.07018,83.92207,83.91252
경기도 - 남,Statistics,75.56224,77.09994,77.98818,79.24748,80.42183,81.15608,81.24499
경기도 - 여,Statistics,81.78079,83.19204,84.15747,85.20653,85.72033,86.6891,86.58064
경상남도 - 계,Statistics,76.91061,78.47118,79.73178,80.90946,81.86868,82.76267,82.76214
경상남도 - 남,Statistics,73.14286,74.65116,76.10577,77.34621,78.56956,79.53367,79.66107
경상남도 - 여,Statistics,80.68205,82.29129,83.35996,84.47271,85.16912,85.9932,85.86539
경상북도 - 계,Statistics,77.21971,78.60268,79.61601,81.13709,82.04401,82.60457,82.68311
경상북도 - 남,Statistics,73.33086,74.68671,75.92732,77.55741,78.59422,79.31566,79.49728
경상북도 - 여,Statistics,81.11377,82.5188,83.30555,84.71836,85.49903,85.89479,85.87444
광주광역시 - 계,Statistics,78.29878,79.40772,80.16454,81.35448,82.03596,83.04874,83.14093
광주광역시 - 남,Statistics,74.92161,76.38169,76.75135,78.31406,79.31454,80.18848,80.28508
광주광역시 - 여,Statistics,81.68373,82.43375,83.58202,84.39491,84.75844,85.91045,85.99842
대구광역시 - 계,Statistics,78.01473,79.03721,80.00393,81.36956,82.16354,82.90785,83.17887
대구광역시 - 남,Statistics,74.8725,75.71915,76.84112,78.39932,79.24255,79.90322,80.20808
대구광역시 - 여,Statistics,81.15697,82.35755,83.16778,84.34004,85.08879,85.91437,86.15183
대전광역시 - 계,Statistics,78.84743,79.84051,80.67231,82.00148,82.94714,83.5307,83.59827
대전광역시 - 남,Statistics,75.69305,76.83269,77.56471,79.20504,80.46973,80.7056,81.05365
대전광역시 - 여,Statistics,82.00313,82.8496,83.77993,84.80039,85.42565,86.35717,86.14403
부산광역시 - 계,Statistics,77.35926,78.34832,79.66025,80.99052,81.87944,82.71405,82.64756
부산광역시 - 남,Statistics,74.19347,74.9189,76.41815,77.87617,78.89023,79.56799,79.73614
부산광역시 - 여,Statistics,80.52505,81.78013,82.90285,84.10487,84.86977,85.86074,85.56003
서울특별시 - 계,Statistics,79.81436,81.14455,82.02894,82.96535,84.10975,84.80414,84.9961
서울특별시 - 남,Statistics,76.86577,78.19544,78.93114,80.12442,81.23854,81.99513,82.01711
서울특별시 - 여,Statistics,82.76353,84.09378,85.12716,85.8076,86.98278,87.61469,87.97643
세종특별자치시 - 계,Statistics,,,,81.26346,83.03191,84.42845,83.71716
세종특별자치시 - 남,Statistics,,,,77.74488,79.97342,82.26356,81.26494
세종특별자치시 - 여,Statistics,,,,84.78205,86.09095,86.59348,86.17041
울산광역시 - 계,Statistics,77.14015,78.70076,79.56697,80.67304,82.02941,82.7288,82.90972
울산광역시 - 남,Statistics,73.9559,75.83959,76.26007,78.16514,79.14308,80.3565,80.36609
울산광역시 - 여,Statistics,80.33074,81.56192,82.87507,83.18136,84.91835,85.10106,85.45372
인천광역시 - 계,Statistics,77.96833,79.53247,80.14516,81.37524,82.43777,82.93018,83.08096
인천광역시 - 남,Statistics,74.7682,76.33786,77.07481,78.2655,79.26652,79.88025,80.07243
인천광역시 - 여,Statistics,81.16866,82.72708,83.21693,84.48609,85.60962,85.98155,86.09091
전라남도 - 계,Statistics,77.3929,78.67202,79.71099,81.15481,81.97097,82.75145,82.51923
전라남도 - 남,Statistics,73.17143,74.59056,75.55574,77.05755,78.36103,79.13731,79.2884
전라남도 - 여,Statistics,81.61742,82.75348,83.86741,85.25308,85.58155,86.36659,85.75148
전북특별자치도 - 계,Statistics,77.61937,78.79512,80.14494,81.41037,82.25212,83.29185,83.07814
전북특별자치도 - 남,Statistics,74.12636,75.10164,76.32807,77.84741,78.97548,80.07743,79.96755
전북특별자치도 - 여,Statistics,81.1143,82.4924,83.96242,84.9754,85.52883,86.50722,86.18941
제주특별자치도 - 계,Statistics,78.70611,80.66613,81.37167,82.0789,82.72674,83.97536,83.71241
제주특별자치도 - 남,Statistics,74.36123,76.42131,77.12344,78.27766,78.73453,80.24464,79.68882
제주특별자치도 - 여,Statistics,83.05335,84.91346,85.62007,85.88019,86.72033,87.70743,87.73663
충청남도 - 계,Statistics,77.60566,79.32707,80.56365,81.31709,82.22141,83.16312,83.03512
충청남도 - 남,Statistics,73.96444,75.65852,76.92307,77.77878,78.87074,80.07208,79.97634
충청남도 - 여,Statistics,81.25024,82.99672,84.20425,84.8554,85.57451,86.25567,86.09419
충청북도 - 계,Statistics,77.27864,78.78963,79.60928,81.17471,81.85043,82.60979,82.41631
충청북도 - 남,Statistics,73.50623,75.14849,75.95708,77.56203,78.7804,79.5217,79.40644
충청북도 - 여,Statistics,81.05364,82.43077,83.26148,84.78777,84.92164,85.69997,85.42934
