item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,20.5,21.2,15.1,12.7,13.4,13.8,9.2,8.7,9.8,5.5,5.7,4.9,6.5,3.4,2.0,3.6,4.3,1.7,5.1,2.9,3.6,2.4,1.9
강원특별자치도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,62.0,63.0,44.0,36.0,37.0,37.0,24.0,22.0,24.0,13.0,13.0,11.0,14.0,7.0,4.0,7.0,8.0,3.0,9.0,5.0,6.0,4.0,3.0
강원특별자치도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,302472.0,297743.0,290674.0,283864.0,276877.5,268528.0,260247.5,252517.5,244817.0,237174.5,229767.5,222465.5,214848.5,207297.0,199958.5,193232.5,187239.0,181396.5,176262.0,172189.5,168317.5,163459.0,157387.0
경기도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,12.5,11.2,8.5,8.8,7.8,6.5,5.2,5.3,5.0,4.0,3.8,4.4,3.1,2.4,2.9,2.4,2.3,3.0,1.7,2.3,2.1,1.9,2.0
경기도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,278.0,255.0,196.0,203.0,178.0,147.0,116.0,116.0,108.0,84.0,78.0,90.0,63.0,48.0,56.0,46.0,43.0,55.0,32.0,42.0,37.0,33.0,34.0
경기도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,2232723.5,2274322.0,2298581.0,2304050.5,2296213.5,2267698.5,2230475.0,2191506.5,2146606.5,2106070.0,2071237.0,2035823.0,2001187.0,1963645.0,1924206.5,1893909.5,1874929.0,1859051.5,1839002.5,1815543.0,1788295.5,1743231.5,1686178.0
경상남도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,17.5,15.5,10.5,10.2,9.6,8.1,7.7,9.0,6.5,4.9,3.9,6.3,5.3,6.4,3.7,4.0,3.8,0.9,3.1,1.6,1.9,1.5,3.7
경상남도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,115.0,101.0,68.0,65.0,60.0,50.0,46.0,53.0,37.0,27.0,21.0,33.0,27.0,32.0,18.0,19.0,18.0,4.0,14.0,7.0,8.0,6.0,14.0
경상남도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,657802.5,653109.5,647332.0,638729.5,627773.0,613745.5,599247.5,585936.0,570662.5,554934.0,540047.5,526215.5,513059.0,500871.0,488937.0,477588.0,469163.5,460198.0,448591.0,435991.5,421882.5,403615.5,382662.5
경상북도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,15.8,17.7,20.0,12.4,16.1,11.9,9.6,6.3,6.5,6.5,6.7,3.2,4.4,4.2,4.3,3.6,3.6,3.1,2.9,4.6,2.4,4.6,5.2
경상북도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,85.0,93.0,102.0,61.0,77.0,55.0,43.0,27.0,27.0,26.0,26.0,12.0,16.0,15.0,15.0,12.0,12.0,10.0,9.0,14.0,7.0,13.0,14.0
경상북도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,536531.0,524871.0,509376.5,492882.5,477233.0,462154.5,446751.5,431617.5,415331.0,399929.5,387675.5,376635.0,365765.5,355338.5,345121.5,336484.5,329185.5,320917.5,312156.0,303242.0,293871.0,282407.0,267647.5
광주광역시 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,13.8,11.3,10.1,9.6,5.5,3.6,6.4,4.9,6.8,2.9,5.7,3.1,6.4,0.4,4.7,4.5,3.7,1.4,2.5,3.5,2.6,3.8,4.5
광주광역시 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,44.0,36.0,32.0,30.0,17.0,11.0,19.0,14.0,19.0,8.0,15.0,8.0,16.0,1.0,11.0,10.0,8.0,3.0,5.0,7.0,5.0,7.0,8.0
광주광역시 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,318346.0,319079.5,317134.0,313594.0,309169.0,302733.0,295436.5,287804.5,280148.0,272390.5,264747.0,256999.0,248927.0,240985.0,232211.5,223468.5,216733.0,210415.0,203976.5,197829.5,191871.0,185057.5,176921.0
대구광역시 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,10.9,9.9,9.8,8.2,5.8,3.9,4.4,6.0,5.5,4.0,4.4,3.0,4.7,2.3,4.5,2.2,3.2,1.3,1.7,3.1,2.1,2.2,2.7
대구광역시 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,57.0,51.0,50.0,41.0,28.0,18.0,20.0,26.0,23.0,16.0,17.0,11.0,17.0,8.0,15.0,7.0,10.0,4.0,5.0,9.0,6.0,6.0,7.0
대구광역시 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,522653.0,515263.5,507638.0,498115.0,484227.5,466909.0,449495.5,433450.0,417101.0,400458.0,385028.0,371533.0,359211.0,347352.0,335361.0,325070.0,317354.5,308979.0,299419.0,289700.0,279724.5,269528.5,260960.0
대전광역시 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,11.6,12.6,7.8,8.5,7.0,7.1,7.3,3.5,5.5,3.4,3.1,4.8,3.2,2.9,1.7,3.6,2.8,2.0,1.5,0.5,2.8,1.2,0.6
대전광역시 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,36.0,39.0,24.0,26.0,21.0,21.0,21.0,10.0,15.0,9.0,8.0,12.0,8.0,7.0,4.0,8.0,6.0,4.0,3.0,1.0,5.0,2.0,1.0
대전광역시 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,311474.5,310373.5,308099.0,304594.0,300284.0,294759.0,288589.5,281743.0,273157.5,264218.0,257422.5,251801.0,246219.5,239720.0,230274.5,221067.0,213501.5,205028.5,196138.0,188018.0,180729.5,173900.5,167309.5
부산광역시 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,8.9,8.8,6.9,7.5,5.6,6.2,5.0,4.3,4.4,5.0,2.4,3.1,4.8,2.6,3.4,3.0,3.0,2.8,2.7,2.5,1.4,2.6,2.4
부산광역시 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,62.0,59.0,45.0,47.0,34.0,36.0,28.0,23.0,22.0,24.0,11.0,14.0,21.0,11.0,14.0,12.0,12.0,11.0,10.0,9.0,5.0,9.0,8.0
부산광역시 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,693855.0,672505.0,649709.0,627788.5,605370.5,580776.0,554957.5,529653.5,505307.0,482804.0,463608.5,448662.0,436202.0,424947.0,414957.0,405871.0,396616.5,386609.0,376439.5,367066.0,357731.5,346491.0,334236.0
서울특별시 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,7.9,8.6,5.8,5.7,4.9,4.6,3.8,4.3,3.3,3.2,2.6,2.9,1.8,2.1,2.0,2.0,2.0,1.7,1.6,1.2,1.5,1.5,1.6
서울특별시 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,149.0,159.0,105.0,101.0,85.0,77.0,61.0,68.0,50.0,47.0,36.0,39.0,24.0,27.0,24.0,23.0,23.0,19.0,17.0,12.0,15.0,14.0,14.0
서울특별시 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,1894137.0,1850727.5,1807908.0,1771115.0,1730540.5,1677948.5,1623770.0,1571359.5,1517431.5,1460253.0,1405530.0,1357145.0,1311556.0,1268786.0,1223736.5,1176762.5,1135808.5,1092733.5,1049825.5,1012233.0,971542.5,928027.0,886752.0
세종특별자치시 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,,,,,,,,,,,,,15.5,8.2,,6.5,1.9,,1.5,2.8,1.4,2.7,1.4
세종특별자치시 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,,,,,,,,,,,,,3.0,2.0,,3.0,1.0,,1.0,2.0,1.0,2.0,1.0
세종특별자치시 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,,,,,,,,,,,,16137.5,19326.0,24300.5,35422.5,45985.5,53712.0,61333.0,67186.0,70573.0,72315.5,73264.5,72445.0
울산광역시 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,11.3,13.3,12.0,6.5,7.1,6.0,7.6,4.6,2.4,9.0,2.6,5.8,4.3,7.2,3.4,2.3,2.4,3.0,3.7,4.5,0.7,2.8,0.7
울산광역시 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,29.0,34.0,30.0,16.0,17.0,14.0,17.0,10.0,5.0,18.0,5.0,11.0,8.0,13.0,6.0,4.0,4.0,5.0,6.0,7.0,1.0,4.0,1.0
울산광역시 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,257185.0,254746.0,250681.5,245378.5,239075.0,231502.0,223279.5,216160.5,208539.5,200186.0,193438.5,188420.5,183973.5,180074.0,176438.0,172854.5,169595.0,165682.0,161324.0,156841.5,151536.0,145121.0,138394.0
인천광역시 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,11.3,8.8,9.2,9.1,7.2,5.7,5.0,3.9,3.4,3.5,2.9,2.3,2.6,0.9,1.7,3.4,3.0,2.6,6.3,3.0,2.2,2.9,2.3
인천광역시 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,66.0,50.0,51.0,49.0,38.0,29.0,25.0,19.0,16.0,16.0,13.0,10.0,11.0,4.0,7.0,14.0,12.0,10.0,24.0,11.0,8.0,10.0,8.0
인천광역시 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,582163.5,570398.5,554808.0,539555.0,526768.5,511749.5,496831.5,483270.0,467624.0,451971.5,441584.5,436179.0,430606.5,423697.5,415537.0,407193.0,398868.5,389495.5,379647.0,368769.0,358363.0,349958.0,342717.0
전국 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,12.9,12.5,10.6,9.5,8.2,7.1,6.1,5.9,5.3,4.8,4.1,4.2,3.8,2.9,3.1,2.8,2.9,2.4,2.6,2.4,2.2,2.3,2.3
전국 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,1284.0,1226.0,1027.0,903.0,771.0,644.0,540.0,508.0,443.0,387.0,322.0,326.0,287.0,215.0,225.0,196.0,196.0,163.0,167.0,150.0,139.0,140.0,134.0
전국 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,9924460.5,9827513.5,9694502.5,9544756.0,9361682.0,9128397.0,8881760.0,8641831.0,8383987.0,8129182.0,7905488.5,7709133.5,7521306.5,7336915.5,7151354.0,6982016.5,6844221.0,6700683.5,6541289.5,6381010.0,6210278.0,6002383.0,5772558.5
전라남도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,20.7,21.4,21.8,19.5,14.0,11.6,12.3,10.0,7.1,9.4,6.7,7.2,9.0,3.9,4.4,4.1,7.6,3.5,5.0,1.4,5.8,3.0,2.6
전라남도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,84.0,84.0,83.0,72.0,50.0,40.0,41.0,32.0,22.0,28.0,19.0,20.0,24.0,10.0,11.0,10.0,18.0,8.0,11.0,3.0,12.0,6.0,5.0
전라남도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,405050.0,392847.0,380277.0,368610.5,357220.0,344923.5,332286.0,320851.5,308848.5,296608.0,285604.5,275968.5,266691.0,257730.5,249632.0,242638.5,236213.0,229282.5,221927.5,215269.5,208548.5,200273.5,191454.5
