item,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 재난관리기금(A),Statistics,,,43790.0,39625.0,44171.0,47482.0,52475.0,56271.0,60825.0,60183.0,29836.0,47794.0,65970.0,74798.0,77035.0
강원특별자치도 - 재난재해 관리기금 현황(A+B),Statistics,42199.0,44782.0,43790.0,39625.0,44171.0,47482.0,52475.0,75050.0,82536.0,79330.0,36045.0,57141.0,78448.0,91011.0,99036.0
강원특별자치도 - 재해구호기금(B),Statistics,,,,,,,,18779.0,21711.0,19147.0,6209.0,9347.0,12478.0,16213.0,22001.0
경기도 - 재난관리기금(A),Statistics,,,325918.0,376795.0,393173.0,576020.0,747725.0,878409.0,944495.0,1021636.0,395987.0,360512.0,490375.0,580635.0,692740.0
경기도 - 재난재해 관리기금 현황(A+B),Statistics,554822.0,587795.0,481625.0,538320.0,559779.0,748511.0,921374.0,1086826.0,1188896.0,1309092.0,446697.0,408187.0,525188.0,646405.0,761616.0
경기도 - 재해구호기금(B),Statistics,,,155707.0,161525.0,166606.0,172491.0,173649.0,208417.0,244401.0,287456.0,50710.0,47675.0,34813.0,65770.0,68876.0
경상남도 - 재난관리기금(A),Statistics,,,95942.0,108931.0,119261.0,131113.0,139270.0,152763.0,164475.0,193311.0,61142.0,52066.0,83230.0,86597.0,92198.0
경상남도 - 재난재해 관리기금 현황(A+B),Statistics,132933.0,140063.0,134188.0,150447.0,162065.0,177050.0,186249.0,200389.0,221443.0,257237.0,74300.0,62934.0,98657.0,110597.0,128036.0
경상남도 - 재해구호기금(B),Statistics,,,38246.0,41516.0,42804.0,45937.0,46979.0,47626.0,56968.0,63926.0,13158.0,10868.0,15427.0,24000.0,35838.0
경상북도 - 재난관리기금(A),Statistics,,,73180.0,72535.0,78869.0,87034.0,94783.0,101419.0,112986.0,122265.0,71627.0,87078.0,90093.0,119030.0,136484.0
경상북도 - 재난재해 관리기금 현황(A+B),Statistics,88678.0,90470.0,91140.0,93928.0,104832.0,113216.0,127135.0,139512.0,154016.0,168700.0,81973.0,104687.0,105093.0,139030.0,175528.0
경상북도 - 재해구호기금(B),Statistics,,,17960.0,21393.0,25963.0,26182.0,32352.0,38093.0,41030.0,46435.0,10346.0,17609.0,15000.0,20000.0,39044.0
광주광역시 - 재난관리기금(A),Statistics,,,31950.0,33338.0,41172.0,58263.0,70466.0,88757.0,107364.0,119038.0,73264.0,58898.0,49330.0,65133.0,74045.0
광주광역시 - 재난재해 관리기금 현황(A+B),Statistics,44045.0,46496.0,52112.0,55175.0,64667.0,83823.0,98422.0,119672.0,141811.0,156155.0,83040.0,74325.0,69229.0,94179.0,113350.0
광주광역시 - 재해구호기금(B),Statistics,,,20162.0,21837.0,23495.0,25560.0,27956.0,30915.0,34447.0,37117.0,9776.0,15427.0,19899.0,29046.0,39305.0
대구광역시 - 재난관리기금(A),Statistics,,,73968.0,82951.0,90181.0,132055.0,158786.0,186518.0,203643.0,232276.0,63678.0,96853.0,104888.0,145764.0,171509.0
대구광역시 - 재난재해 관리기금 현황(A+B),Statistics,73336.0,82331.0,87261.0,98656.0,108357.0,160168.0,196093.0,236270.0,263933.0,299693.0,83264.0,130424.0,129140.0,176002.0,220377.0
대구광역시 - 재해구호기금(B),Statistics,,,13293.0,15705.0,18176.0,28113.0,37307.0,49752.0,60290.0,67417.0,19586.0,33571.0,24252.0,30238.0,48868.0
대전광역시 - 재난관리기금(A),Statistics,,,80183.0,83975.0,93865.0,108486.0,123205.0,143323.0,150885.0,148979.0,59850.0,56848.0,60356.0,76711.0,66614.0
대전광역시 - 재난재해 관리기금 현황(A+B),Statistics,87982.0,97376.0,105695.0,110291.0,120981.0,136624.0,152901.0,174962.0,186575.0,188240.0,64067.0,63853.0,70673.0,89878.0,89980.0
대전광역시 - 재해구호기금(B),Statistics,,,25512.0,26316.0,27116.0,28138.0,29696.0,31639.0,35690.0,39261.0,4217.0,7005.0,10317.0,13167.0,23366.0
부산광역시 - 재난관리기금(A),Statistics,,,79025.0,80936.0,87152.0,86282.0,93561.0,94472.0,95042.0,103579.0,91145.0,107391.0,48539.0,71039.0,88217.0
부산광역시 - 재난재해 관리기금 현황(A+B),Statistics,201306.0,203057.0,196330.0,199362.0,208436.0,210070.0,218182.0,217914.0,221753.0,233071.0,199153.0,136738.0,59227.0,103801.0,125538.0
부산광역시 - 재해구호기금(B),Statistics,,,117305.0,118426.0,121284.0,123788.0,124621.0,123442.0,126711.0,129492.0,108008.0,29347.0,10688.0,32762.0,37321.0
서울특별시 - 재난관리기금(A),Statistics,,,463289.0,500002.0,496911.0,542746.0,612942.0,731941.0,713974.0,866114.0,240473.0,660457.0,488227.0,839556.0,815558.0
서울특별시 - 재난재해 관리기금 현황(A+B),Statistics,574919.0,597452.0,463289.0,500002.0,496911.0,542746.0,612942.0,731941.0,713974.0,866114.0,240473.0,660457.0,488227.0,839556.0,815558.0
세종특별자치시 - 재난관리기금(A),Statistics,,,805.0,666.0,669.0,1697.0,2080.0,4044.0,5644.0,6143.0,2837.0,8876.0,15468.0,14421.0,19848.0
세종특별자치시 - 재난재해 관리기금 현황(A+B),Statistics,,,805.0,972.0,1294.0,2940.0,4421.0,8051.0,11611.0,14549.0,6964.0,15586.0,24671.0,26017.0,34833.0
세종특별자치시 - 재해구호기금(B),Statistics,,,,306.0,625.0,1243.0,2341.0,4007.0,5967.0,8406.0,4127.0,6710.0,9203.0,11596.0,14985.0
울산광역시 - 재난관리기금(A),Statistics,,,29001.0,32228.0,41969.0,60586.0,75102.0,80351.0,81681.0,91906.0,46043.0,52621.0,54305.0,70489.0,108066.0
울산광역시 - 재난재해 관리기금 현황(A+B),Statistics,38726.0,42060.0,43536.0,49117.0,64459.0,87605.0,104870.0,111717.0,115034.0,130115.0,63231.0,61072.0,71743.0,94823.0,139886.0
울산광역시 - 재해구호기금(B),Statistics,,,14535.0,16889.0,22490.0,27019.0,29768.0,31366.0,33353.0,38209.0,17188.0,8451.0,17438.0,24334.0,31820.0
인천광역시 - 재난관리기금(A),Statistics,,,67402.0,70473.0,67267.0,74933.0,92983.0,107603.0,131850.0,140277.0,102742.0,126361.0,131654.0,129477.0,121736.0
