item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 국가등록문화유산＜br＞(C),Statistics,33.0,35.0,35.0,35.0,35.0,35.0,37.0,37.0,40.0,40.0,44.0,45.0,46.0,53.0,54.0,54.0
강원특별자치도 - 국가지정유산＜br＞(A),Statistics,134.0,137.0,148.0,158.0,172.0,175.0,180.0,187.0,188.0,191.0,195.0,198.0,203.0,206.0,207.0,211.0
강원특별자치도 - 시도지정유산＜br＞(B)(문화･자연유산자료 포함),Statistics,369.0,369.0,382.0,381.0,391.0,397.0,409.0,414.0,417.0,419.0,420.0,431.0,442.0,445.0,451.0,463.0
강원특별자치도 - 지정등록유산＜br＞(A+B+C+D),Statistics,536.0,541.0,565.0,574.0,598.0,607.0,626.0,638.0,645.0,650.0,659.0,674.0,691.0,704.0,712.0,728.0
경기도 - 국가등록문화유산＜br＞(C),Statistics,26.0,27.0,30.0,33.0,54.0,67.0,68.0,69.0,78.0,85.0,85.0,89.0,89.0,93.0,95.0,103.0
경기도 - 국가지정유산＜br＞(A),Statistics,237.0,265.0,259.0,267.0,280.0,273.0,273.0,297.0,302.0,297.0,302.0,311.0,320.0,330.0,344.0,352.0
경기도 - 시도등록문화유산(D),Statistics,,,,,,,,,,,,,11.0,15.0,19.0,24.0
경기도 - 시도지정유산＜br＞(B)(문화･자연유산자료 포함),Statistics,561.0,593.0,619.0,629.0,624.0,655.0,665.0,686.0,697.0,737.0,747.0,749.0,778.0,796.0,808.0,816.0
경기도 - 지정등록유산＜br＞(A+B+C+D),Statistics,824.0,885.0,908.0,929.0,958.0,995.0,1006.0,1052.0,1077.0,1119.0,1134.0,1149.0,1198.0,1234.0,1266.0,1295.0
경상남도 - 국가등록문화유산＜br＞(C),Statistics,36.0,37.0,37.0,37.0,38.0,42.0,42.0,42.0,43.0,44.0,44.0,57.0,68.0,68.0,68.0,68.0
경상남도 - 국가지정유산＜br＞(A),Statistics,237.0,261.0,273.0,284.0,286.0,293.0,295.0,308.0,308.0,308.0,313.0,325.0,338.0,345.0,351.0,356.0
경상남도 - 시도등록문화유산(D),Statistics,,,,,,,,,,,,,,,1.0,1.0
경상남도 - 시도지정유산＜br＞(B)(문화･자연유산자료 포함),Statistics,1200.0,1271.0,1286.0,1309.0,1337.0,1365.0,1420.0,1454.0,1492.0,1533.0,1884.0,1899.0,1918.0,1945.0,1947.0,1959.0
경상남도 - 지정등록유산＜br＞(A+B+C+D),Statistics,1473.0,1565.0,1596.0,1630.0,1661.0,1700.0,1757.0,1804.0,1843.0,1885.0,2241.0,2281.0,2324.0,2358.0,2367.0,2384.0
경상북도 - 국가등록문화유산＜br＞(C),Statistics,27.0,26.0,26.0,28.0,31.0,37.0,35.0,36.0,38.0,47.0,60.0,64.0,64.0,66.0,66.0,66.0
경상북도 - 국가지정유산＜br＞(A),Statistics,590.0,595.0,600.0,608.0,618.0,622.0,631.0,656.0,670.0,678.0,693.0,713.0,723.0,739.0,736.0,746.0
경상북도 - 시도등록문화유산(D),Statistics,,,,,,,,,,,,,,,1.0,2.0
경상북도 - 시도지정유산＜br＞(B)(문화･자연유산자료 포함),Statistics,1130.0,1225.0,1246.0,1268.0,1288.0,1296.0,1308.0,1327.0,1343.0,1392.0,1406.0,1414.0,1441.0,1450.0,1447.0,1453.0
경상북도 - 지정등록유산＜br＞(A+B+C+D),Statistics,1747.0,1849.0,1872.0,1904.0,1937.0,1955.0,1974.0,2019.0,2051.0,2117.0,2159.0,2191.0,2228.0,2255.0,2250.0,2267.0
광주광역시 - 국가등록문화유산＜br＞(C),Statistics,10.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,15.0,19.0,19.0,21.0,22.0,22.0,22.0,22.0
광주광역시 - 국가지정유산＜br＞(A),Statistics,17.0,17.0,17.0,20.0,21.0,21.0,21.0,21.0,23.0,25.0,26.0,26.0,28.0,28.0,28.0,29.0
광주광역시 - 시도지정유산＜br＞(B)(문화･자연유산자료 포함),Statistics,101.0,103.0,104.0,107.0,107.0,110.0,110.0,110.0,112.0,112.0,112.0,114.0,113.0,116.0,116.0,117.0
광주광역시 - 지정등록유산＜br＞(A+B+C+D),Statistics,128.0,130.0,131.0,137.0,138.0,144.0,144.0,144.0,150.0,156.0,157.0,161.0,163.0,166.0,166.0,168.0
대구광역시 - 국가등록문화유산＜br＞(C),Statistics,8.0,8.0,8.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,14.0,14.0
