item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 결핵신고 신환자수,Statistics,1842.0,1806.0,1690.0,1935.0,1762.0,1647.0,1502.0,1431.0,1287.0,1050.0,954.0,899.0,788.0,728.0
경기도 - 결핵신고 신환자수,Statistics,9792.0,9735.0,9384.0,8860.0,8637.0,8312.0,7818.0,7311.0,6683.0,5491.0,5111.0,4570.0,4339.0,4073.0
경상남도 - 결핵신고 신환자수,Statistics,3402.0,3281.0,3055.0,2880.0,2804.0,2556.0,2395.0,2303.0,1977.0,1773.0,1527.0,1322.0,1254.0,1087.0
경상북도 - 결핵신고 신환자수,Statistics,3761.0,3423.0,3119.0,3050.0,2962.0,2859.0,2527.0,2420.0,2259.0,1882.0,1684.0,1610.0,1554.0,1403.0
광주광역시 - 결핵신고 신환자수,Statistics,1260.0,1283.0,1089.0,1006.0,1000.0,908.0,856.0,805.0,706.0,595.0,541.0,438.0,453.0,404.0
대구광역시 - 결핵신고 신환자수,Statistics,2754.0,2645.0,2323.0,2266.0,1899.0,1865.0,1652.0,1491.0,1331.0,1208.0,1095.0,928.0,953.0,899.0
대전광역시 - 결핵신고 신환자수,Statistics,1158.0,1112.0,1034.0,1048.0,913.0,844.0,846.0,751.0,664.0,547.0,504.0,450.0,407.0,369.0
부산광역시 - 결핵신고 신환자수,Statistics,4366.0,4142.0,3603.0,3240.0,3046.0,2859.0,2462.0,2243.0,2064.0,1658.0,1623.0,1340.0,1285.0,1141.0
서울특별시 - 결핵신고 신환자수,Statistics,10086.0,10184.0,9258.0,8419.0,7605.0,7360.0,6663.0,6153.0,5450.0,4442.0,3854.0,3424.0,3351.0,3012.0
세종특별자치시 - 결핵신고 신환자수,Statistics,,87.0,85.0,89.0,101.0,126.0,137.0,132.0,98.0,118.0,100.0,75.0,82.0,58.0
울산광역시 - 결핵신고 신환자수,Statistics,1171.0,1004.0,984.0,895.0,777.0,802.0,695.0,735.0,583.0,472.0,448.0,365.0,317.0,366.0
인천광역시 - 결핵신고 신환자수,Statistics,2540.0,2641.0,2401.0,2168.0,2110.0,2028.0,1865.0,1699.0,1640.0,1303.0,1185.0,1037.0,1017.0,950.0
전국 - 결핵신고 신환자수,Statistics,50491.0,49532.0,45292.0,43088.0,40847.0,39245.0,36044.0,33796.0,30304.0,25350.0,22904.0,20383.0,19540.0,17944.0
전라남도 - 결핵신고 신환자수,Statistics,2279.0,2443.0,2130.0,2130.0,2149.0,1903.0,1914.0,1831.0,1607.0,1353.0,1286.0,1183.0,1047.0,1007.0
전북특별자치도 - 결핵신고 신환자수,Statistics,1968.0,1723.0,1591.0,1604.0,1542.0,1619.0,1352.0,1307.0,1207.0,1041.0,883.0,812.0,788.0,731.0
제주특별자치도 - 결핵신고 신환자수,Statistics,630.0,622.0,509.0,441.0,471.0,411.0,486.0,456.0,400.0,337.0,257.0,253.0,237.0,238.0
충청남도 - 결핵신고 신환자수,Statistics,1980.0,1871.0,1760.0,1815.0,1827.0,1892.0,1720.0,1620.0,1408.0,1280.0,1094.0,1044.0,1017.0,873.0
충청북도 - 결핵신고 신환자수,Statistics,1502.0,1530.0,1277.0,1242.0,1242.0,1254.0,1154.0,1108.0,940.0,800.0,758.0,633.0,651.0,605.0
