item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 구인배수,Statistics,0.3,0.25,0.28,0.32,0.29,0.3,0.44,0.46,0.51,0.59,0.62,0.69,1.02,0.81,0.8,0.69,0.51,0.61,0.75,0.68
경기도 - 구인배수,Statistics,0.78,0.76,0.61,0.62,0.61,0.51,0.84,0.74,0.72,0.71,0.59,0.58,0.68,0.71,0.73,0.57,0.49,0.64,0.8,0.65
경상남도 - 구인배수,Statistics,0.64,0.58,0.6,0.67,0.77,0.54,0.85,1.04,1.09,1.02,1.01,1.03,0.86,0.62,0.59,0.54,0.44,0.58,0.78,0.78
경상북도 - 구인배수,Statistics,0.46,0.45,0.46,0.48,0.52,0.45,0.62,0.65,0.67,0.67,0.66,0.63,0.47,0.47,0.61,0.56,0.55,0.68,0.84,0.72
광주광역시 - 구인배수,Statistics,0.44,0.34,0.45,0.44,0.42,0.31,0.47,0.56,0.65,0.62,0.54,0.55,0.72,0.66,0.58,0.53,0.48,0.56,0.59,0.44
대구광역시 - 구인배수,Statistics,0.57,0.53,0.5,0.58,0.57,0.45,0.55,0.69,0.68,0.65,0.6,0.54,0.53,0.44,0.49,0.4,0.34,0.43,0.53,0.44
대전광역시 - 구인배수,Statistics,0.37,0.37,0.4,0.36,0.41,0.35,0.51,0.49,0.41,0.45,0.39,0.45,0.4,0.34,0.28,0.28,0.28,0.29,0.39,0.31
부산광역시 - 구인배수,Statistics,0.46,0.39,0.43,0.43,0.41,0.3,0.4,0.47,0.51,0.5,0.58,0.6,0.52,0.43,0.42,0.38,0.31,0.38,0.5,0.45
서울특별시 - 구인배수,Statistics,0.5,0.45,0.43,0.5,0.47,0.42,0.52,0.5,0.55,0.45,0.43,0.38,0.39,0.42,0.46,0.41,0.31,0.37,0.54,0.48
세종특별자치시 - 구인배수,Statistics,,,,,,,,,3.2,2.11,1.57,1.6,1.29,1.09,0.66,0.38,0.42,0.63,0.67,0.62
울산광역시 - 구인배수,Statistics,0.68,0.59,0.66,0.74,0.71,0.47,0.66,0.86,1.06,1.15,0.9,0.86,0.74,0.51,0.46,0.41,0.38,0.39,0.56,0.54
인천광역시 - 구인배수,Statistics,0.64,0.6,0.55,0.52,0.52,0.46,0.71,0.63,0.67,0.64,0.53,0.56,0.59,0.57,0.55,0.41,0.33,0.47,0.61,0.52
전국 - 구인배수,Statistics,0.56,0.51,0.49,0.52,0.53,0.45,0.64,0.66,0.68,0.65,0.61,0.59,0.62,0.59,0.61,0.52,0.45,0.55,0.71,0.61
전라남도 - 구인배수,Statistics,0.24,0.28,0.31,0.4,0.57,0.56,0.59,0.83,0.87,0.87,0.85,0.94,0.82,0.79,0.76,0.87,0.84,0.85,1.03,0.97
전북특별자치도 - 구인배수,Statistics,0.38,0.34,0.34,0.36,0.43,0.36,0.44,0.57,0.6,0.59,0.59,0.54,0.59,0.68,0.74,0.67,0.63,0.65,0.75,0.67
제주특별자치도 - 구인배수,Statistics,0.42,0.38,0.37,0.47,0.48,0.46,0.64,0.8,0.81,0.88,1.15,1.25,1.25,1.05,0.94,0.7,0.5,0.46,0.58,0.67
충청남도 - 구인배수,Statistics,0.75,0.62,0.56,0.53,0.68,0.67,1.1,0.98,0.92,0.92,0.78,0.78,0.89,0.84,0.81,0.71,0.72,0.83,1.15,0.91
충청북도 - 구인배수,Statistics,0.47,0.45,0.44,0.48,0.56,0.62,0.84,0.86,0.91,0.87,0.85,0.88,0.93,0.9,0.96,0.95,0.86,0.98,1.24,0.91
