item,category,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052
강원특별자치도 - 노령화지수,Statistics,6.4,6.4,6.8,7.2,8.1,8.7,9.3,10.0,10.7,11.4,12.0,12.8,13.7,14.7,16.0,17.4,19.2,21.1,23.3,26.4,27.9,29.5,31.4,33.5,36.1,38.5,40.9,43.4,46.0,48.7,51.7,55.4,59.4,63.4,67.9,72.6,78.4,84.1,89.2,95.2,100.4,107.2,114.5,121.5,128.9,135.8,145.9,155.7,166.4,179.4,192.5,207.4,227.0,248.5,272.4,300.9,326.5,354.3,376.8,401.6,427.2,449.1,468.7,487.8,504.3,517.6,528.3,537.9,545.6,549.9,553.2,557.0,562.6,569.6,579.1,590.2,602.4,614.2,625.0,635.4,646.9,659.5
경기도 - 노령화지수,Statistics,7.6,7.5,7.8,8.1,9.0,9.4,9.9,10.4,10.9,11.3,11.5,11.8,12.2,12.7,13.3,13.7,14.3,14.9,15.5,16.6,16.9,17.1,17.4,17.8,18.4,19.3,20.4,21.4,22.5,23.7,25.2,26.7,28.6,30.5,32.6,35.2,38.4,41.5,44.5,47.6,50.5,54.5,58.6,62.7,67.6,71.9,76.8,81.8,87.6,95.5,103.1,112.2,123.7,136.9,152.1,170.4,187.5,206.9,223.7,243.4,262.8,279.8,294.8,310.2,322.1,333.1,341.6,348.5,353.7,356.4,358.4,361.1,364.9,369.7,376.8,384.7,393.4,401.5,409.0,416.2,424.4,433.3
경상남도 - 노령화지수,Statistics,9.5,9.4,9.6,10.0,11.0,11.6,12.1,12.8,13.3,13.9,14.4,15.0,15.7,16.6,17.8,18.7,19.9,21.3,22.8,25.0,25.9,26.9,28.0,29.4,31.0,32.8,34.7,36.6,38.6,40.6,42.5,44.6,46.8,49.3,52.1,55.6,59.3,62.8,66.5,70.3,73.6,77.8,82.5,87.5,92.8,97.7,104.1,110.3,117.7,128.4,139.4,152.7,169.5,187.9,209.9,237.9,265.4,296.4,325.0,359.2,396.2,430.8,462.9,493.9,520.0,542.6,560.1,576.3,589.6,599.3,606.7,614.0,623.1,633.4,646.7,661.0,675.1,688.5,699.8,710.1,721.2,733.1
경상북도 - 노령화지수,Statistics,9.3,9.2,9.6,10.2,11.3,12.1,13.0,14.0,14.9,15.9,16.8,18.0,19.2,20.8,22.8,24.4,26.5,28.8,31.3,35.0,36.4,37.9,39.6,41.7,44.1,46.7,49.5,52.2,55.1,58.0,60.7,64.6,68.8,73.7,78.6,83.7,89.6,95.7,101.6,108.2,111.3,116.6,122.6,129.4,136.7,142.7,152.3,161.1,170.8,183.8,197.1,212.9,232.1,254.3,280.3,312.1,343.1,377.5,409.1,444.9,483.0,516.4,547.0,576.0,599.1,618.0,633.1,646.8,657.9,665.2,670.6,676.4,683.9,692.4,704.5,717.7,732.1,745.3,757.1,767.9,780.2,793.7
광주광역시 - 노령화지수,Statistics,6.6,6.4,6.5,6.7,7.2,7.6,7.9,8.2,8.5,8.8,9.0,9.3,9.6,10.1,10.7,11.3,12.0,12.9,13.8,15.1,15.6,16.1,16.7,17.4,18.3,19.4,20.5,21.5,22.7,23.8,25.2,26.5,28.3,29.9,32.2,34.6,37.8,40.9,44.2,47.6,50.6,55.4,60.3,65.4,71.0,77.8,83.5,89.2,95.4,103.8,111.6,120.0,131.7,145.4,161.1,179.4,196.1,215.7,232.7,251.6,272.1,289.3,304.8,319.6,330.8,341.8,349.9,356.6,361.8,365.0,367.1,370.8,375.2,380.8,388.3,396.3,405.6,414.2,421.8,428.7,436.6,444.9
대구광역시 - 노령화지수,Statistics,5.7,5.7,5.9,6.2,6.9,7.2,7.6,7.9,8.3,8.6,8.9,9.3,9.7,10.2,10.9,11.6,12.3,13.2,14.2,15.6,16.2,16.8,17.5,18.4,19.4,20.9,22.6,24.3,26.1,28.0,30.1,32.4,34.8,37.4,40.6,44.3,48.8,53.5,57.9,62.4,66.7,72.5,78.9,85.7,92.9,99.7,107.4,115.8,124.6,135.8,147.6,159.5,173.3,188.4,207.4,230.6,253.1,277.8,299.8,325.4,352.1,376.7,398.8,419.1,435.4,447.8,457.7,464.8,469.9,472.0,472.7,474.4,476.9,480.7,487.1,494.4,502.2,509.4,515.3,520.7,527.5,534.9
대전광역시 - 노령화지수,Statistics,5.9,5.8,6.0,6.4,7.1,7.4,7.7,8.1,8.4,8.7,9.0,9.4,9.8,10.3,11.0,11.6,12.3,13.2,14.1,15.5,15.9,16.3,16.8,17.4,18.1,19.2,20.4,21.6,22.8,24.1,25.6,27.3,29.2,31.2,33.4,35.9,39.2,42.4,45.6,49.1,51.9,55.9,60.2,64.9,71.2,77.5,84.1,91.5,99.8,110.6,121.4,132.5,145.1,159.5,177.2,198.5,217.6,237.8,254.6,275.1,293.4,309.9,323.8,337.5,346.2,354.6,360.6,366.2,370.1,371.0,372.0,373.7,376.6,380.5,386.5,393.6,401.4,408.9,415.6,422.2,430.1,438.7
부산광역시 - 노령화지수,Statistics,4.9,4.8,5.0,5.2,5.8,6.0,6.3,6.5,6.7,6.9,7.2,7.5,7.8,8.2,8.7,9.4,10.2,11.2,12.2,13.7,14.7,15.7,17.0,18.4,20.2,22.2,24.4,26.8,29.4,32.3,35.1,38.4,41.9,45.8,50.5,55.6,61.9,68.7,75.3,82.3,88.1,96.0,104.1,112.5,121.4,129.7,139.3,149.7,160.9,174.9,188.2,202.8,220.5,240.2,262.8,291.1,317.7,346.6,371.8,401.1,431.8,458.7,482.1,502.6,517.8,529.8,538.6,544.2,546.8,545.9,543.6,542.4,543.0,545.3,550.9,557.3,564.1,570.3,575.5,580.3,586.3,593.4
서울특별시 - 노령화지수,Statistics,5.0,5.0,5.2,5.5,6.1,6.5,6.8,7.2,7.5,7.9,8.1,8.5,8.9,9.4,10.1,10.6,11.3,12.1,13.0,14.2,15.1,15.9,16.9,18.1,19.5,21.1,22.9,24.7,26.7,28.8,31.1,33.6,36.3,39.0,42.4,46.4,51.4,56.1,60.8,66.2,71.4,78.5,86.0,93.6,101.7,108.3,117.2,126.8,137.0,149.4,163.2,178.5,196.8,215.7,237.9,263.4,286.9,312.8,334.4,358.4,381.1,398.9,413.4,427.1,436.1,443.6,447.3,448.4,448.2,445.7,442.9,441.7,441.8,443.5,448.0,453.4,459.9,466.2,472.4,478.4,486.0,494.7
세종특별자치시 - 노령화지수,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,89.9,83.1,56.9,48.6,46.0,44.3,44.5,46.3,49.0,51.7,56.0,61.5,67.4,74.9,81.6,89.2,96.0,104.6,112.8,120.8,128.8,137.1,143.7,150.7,156.6,161.5,166.4,170.3,173.7,177.4,181.8,186.9,193.3,200.2,208.1,215.3,222.3,229.1,236.6,244.8
