item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.0,2.8,2.8
가평군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,193.0,191.0,192.0
가평군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,6482.0,6818.0,6932.0
강남구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.2,4.3,4.3
강남구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,3057.0,3048.0,3042.0
강남구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,72511.0,71373.0,71027.0
강동구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.1,4.2,4.4
강동구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1234.0,1253.0,1277.0
강동구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,29952.0,29772.0,29080.0
강릉시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.2,3.1,3.1
강릉시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,649.0,650.0,665.0
강릉시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,20518.0,20875.0,21347.0
강북구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.3,4.3,4.3
강북구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,816.0,813.0,816.0
강북구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,18928.0,18918.0,19014.0
강서구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.2,4.1,4.2
강서구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1542.0,1582.0,1646.0
강서구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,36556.0,38524.0,39458.0
강원특별자치도 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,2.3,2.5,2.6,2.8,2.9,3.1,3.1,3.2,3.2,3.3,3.3,3.2,3.2
강원특별자치도 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,2692.0,2884.0,3054.0,3342.0,3517.0,3857.0,4068.0,4264.0,4241.0,4484.0,4571.0,4610.0,4728.0
강원특별자치도 - 전산업 사업체수＜br＞(B),Statistics,116705.0,117150.0,117569.0,118266.0,121273.0,125192.0,129403.0,133314.0,133517.0,136452.0,140058.0,143475.0,146815.0
강진군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.6,3.6,3.7
강진군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,114.0,119.0,128.0
강진군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,3208.0,3295.0,3462.0
강화군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.5,3.4,3.3
강화군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,193.0,194.0,201.0
