item,category,2021,2022,2023
가평군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.3,2.3,2.3
가평군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,215.0,218.0,227.0
가평군 - 전산업 사업체수(B),Statistics,9289.0,9658.0,9945.0
강남구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.2,3.3,3.3
강남구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,3522.0,3510.0,3459.0
강남구 - 전산업 사업체수(B),Statistics,110007.0,107804.0,104299.0
강동구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.4,3.5,3.5
강동구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1423.0,1491.0,1499.0
강동구 - 전산업 사업체수(B),Statistics,41660.0,43157.0,43358.0
강릉시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.4,3.5,3.5
강릉시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,993.0,1024.0,1037.0
강릉시 - 전산업 사업체수(B),Statistics,29034.0,29280.0,30009.0
강북구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.3,3.4,3.3
강북구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,867.0,875.0,876.0
강북구 - 전산업 사업체수(B),Statistics,26385.0,26114.0,26310.0
강서구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.0,3.0,3.0
강서구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1735.0,1776.0,1784.0
강서구 - 전산업 사업체수(B),Statistics,58806.0,59660.0,59969.0
강원특별자치도 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.7,2.7,2.7
강원특별자치도 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,5363.0,5518.0,5646.0
강원특별자치도 - 전산업 사업체수(B),Statistics,200365.0,203375.0,209314.0
강진군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.6,2.6,2.5
강진군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,145.0,145.0,146.0
강진군 - 전산업 사업체수(B),Statistics,5615.0,5579.0,5876.0
강화군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.4,2.3,2.3
강화군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,221.0,218.0,222.0
강화군 - 전산업 사업체수(B),Statistics,9256.0,9318.0,9514.0
거제시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.8,2.8,2.7
거제시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,602.0,608.0,587.0
거제시 - 전산업 사업체수(B),Statistics,21513.0,21635.0,21666.0
거창군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.9,2.9,2.8
거창군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,219.0,222.0,220.0
거창군 - 전산업 사업체수(B),Statistics,7666.0,7579.0,7977.0
