item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,8.7,8.8,8.2
가평군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,2270.0,2427.0,2326.0
가평군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,25992.0,27728.0,28377.0
강남구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,5.8,5.9,6.0
강남구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,39254.0,41288.0,42029.0
강남구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,679047.0,694136.0,698840.0
강동구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,11.8,12.8,13.4
강동구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,17337.0,18619.0,19036.0
강동구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,146512.0,145990.0,141770.0
강릉시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,9.5,9.9,9.9
강릉시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,8320.0,8756.0,9190.0
강릉시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,87148.0,88448.0,92567.0
강북구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,11.9,12.7,13.7
강북구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,8573.0,9195.0,10099.0
강북구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,71752.0,72418.0,73904.0
강서구 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,7.6,7.9,8.8
강서구 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,17902.0,19576.0,22593.0
강서구 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,234394.0,248204.0,257494.0
강원특별자치도 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,5.7,6.0,6.5,7.2,7.3,7.6,8.0,8.3,8.1,8.9,9.3,9.7,9.7
강원특별자치도 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,25540.0,28224.0,31032.0,35481.0,36857.0,39463.0,44026.0,46756.0,46920.0,52885.0,57417.0,61840.0,65284.0
강원특별자치도 - 전체산업 종사자수＜br＞(B),Statistics,448200.0,466538.0,479165.0,490109.0,502315.0,520560.0,551182.0,565568.0,580331.0,596710.0,616250.0,639277.0,670247.0
강진군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,11.3,11.6,12.5
강진군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,1353.0,1380.0,1599.0
강진군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,11950.0,11872.0,12796.0
강화군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,12.4,14.1,14.2
강화군 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,2376.0,2897.0,3115.0
강화군 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,19166.0,20579.0,21929.0
거제시 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,5.3,6.2,6.0
거제시 - 보건업및사회복지서비스업 종사자수＜br＞(A),Statistics,,,,,,,,,,,6274.0,6733.0,6929.0
거제시 - 전체산업 종사자수＜br＞(B),Statistics,,,,,,,,,,,118008.0,108897.0,114948.0
거창군 - 보건및사회복지사업 종사자비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,11.1,10.5,10.6
