item,category,2021,2022,2023
가평군 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,9.4,8.7,9.3
가평군 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,2836.0,2741.0,2974.0
가평군 - 전체산업 종사자수(B),Statistics,30014.0,31400.0,32117.0
강남구 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,5.9,6.0,6.5
강남구 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,47080.0,48400.0,50193.0
강남구 - 전체산업 종사자수(B),Statistics,801419.0,802907.0,772567.0
강동구 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,15.0,15.3,15.3
강동구 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,23580.0,25263.0,24894.0
강동구 - 전체산업 종사자수(B),Statistics,157465.0,164833.0,162732.0
강릉시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,11.1,11.4,11.6
강릉시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,11012.0,11386.0,11777.0
강릉시 - 전체산업 종사자수(B),Statistics,98995.0,100057.0,101653.0
강북구 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,14.4,14.5,15.4
강북구 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,11540.0,11608.0,12009.0
강북구 - 전체산업 종사자수(B),Statistics,80222.0,79859.0,77797.0
강서구 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,8.5,8.9,9.2
강서구 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,24758.0,26673.0,28209.0
강서구 - 전체산업 종사자수(B),Statistics,290473.0,299324.0,306659.0
강원특별자치도 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,11.3,11.3,12.0
강원특별자치도 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,80518.0,82272.0,88508.0
강원특별자치도 - 전체산업 종사자수(B),Statistics,714310.0,727557.0,738221.0
강진군 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,12.9,12.6,13.0
강진군 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,1879.0,1857.0,2077.0
강진군 - 전체산업 종사자수(B),Statistics,14529.0,14774.0,15959.0
강화군 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,13.6,12.3,13.1
강화군 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,3576.0,3166.0,3429.0
강화군 - 전체산업 종사자수(B),Statistics,26249.0,25735.0,26261.0
거제시 - 보건 및 사회복지 종사자 비율(A÷B×1000),Statistics,7.6,7.5,7.7
거제시 - 보건업 및 사회복지 서비스업 종사자수(A),Statistics,7947.0,8024.0,8465.0
