item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 개발제한구역,Statistics,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기도 - 개발제한구역,Statistics,1291.0,1290.0,1282.0,1276.0,1259.0,1224.0,1220.0,1213.0,1205.0,1182.0,1181.0,1178.0,1177.0,1175.0,1175.0,1172.0,1171.0,1167.0,1165.0,1163.0,1131.0,1131.0,1130.0,1126.0
경상남도 - 개발제한구역,Statistics,717.0,717.0,484.0,480.0,472.0,472.0,470.0,466.0,465.0,465.0,464.0,464.0,464.0,464.0,464.0,463.0,460.0,459.0,458.0,458.0,458.0,458.0,458.0,458.0
경상북도 - 개발제한구역,Statistics,118.0,118.0,118.0,118.0,118.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
광주광역시 - 개발제한구역,Statistics,268.0,268.0,259.0,259.0,255.0,250.0,249.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,245.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0
대구광역시 - 개발제한구역,Statistics,419.0,419.0,418.0,418.0,418.0,409.0,404.0,404.0,403.0,403.0,402.0,402.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,400.0,400.0,400.0,400.0,400.0
대전광역시 - 개발제한구역,Statistics,317.0,317.0,314.0,314.0,312.0,311.0,311.0,309.0,309.0,309.0,309.0,309.0,309.0,305.0,305.0,305.0,305.0,304.0,304.0,304.0,304.0,304.0,303.0,302.0
부산광역시 - 개발제한구역,Statistics,389.0,303.0,303.0,298.0,279.0,277.0,276.0,275.0,274.0,270.0,268.0,258.0,253.0,253.0,253.0,253.0,251.0,251.0,251.0,250.0,250.0,250.0,248.0,248.0
서울특별시 - 개발제한구역,Statistics,168.0,167.0,166.0,162.0,159.0,158.0,158.0,156.0,155.0,153.0,152.0,151.0,151.0,151.0,151.0,151.0,151.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
세종특별자치시 - 개발제한구역,Statistics,,,,,,,,,,,,,,,,,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
울산광역시 - 개발제한구역,Statistics,319.0,284.0,279.0,279.0,277.0,277.0,273.0,271.0,271.0,271.0,271.0,270.0,270.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,267.0
인천광역시 - 개발제한구역,Statistics,97.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,89.0,89.0,89.0,89.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,84.0,84.0,84.0,83.0
전국 - 개발제한구역,Statistics,5006.0,4615.0,4130.0,4105.0,4043.0,3980.0,3962.0,3939.0,3926.0,3895.0,3890.0,3874.0,3868.0,3862.0,3859.0,3854.0,3846.0,3841.0,3837.0,3829.0,3793.0,3793.0,3789.0,3781.0
전라남도 - 개발제한구역,Statistics,375.0,287.0,287.0,284.0,277.0,276.0,274.0,272.0,272.0,272.0,272.0,272.0,272.0,271.0,271.0,271.0,271.0,271.0,271.0,268.0,268.0,268.0,268.0,267.0
전북특별자치도 - 개발제한구역,Statistics,225.0,225.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주특별자치도 - 개발제한구역,Statistics,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충청남도 - 개발제한구역,Statistics,68.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
충청북도 - 개발제한구역,Statistics,237.0,57.0,57.0,57.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
