item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,108.1,107.4,106.8,106.3,106.0,106.7,106.4,107.7,109.6,112.8,110.6,110.0,110.0,109.2
경기 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,97.3,97.6,98.3,98.1,98.3,98.7,99.1,99.5,101.0,101.5,100.3,98.6,98.6,99.3
경남 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,104.4,104.4,104.3,105.0,105.8,106.4,106.7,108.6,110.1,112.1,111.8,110.0,109.3,109.1
경북 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,108.9,109.5,109.6,110.2,111.2,112.5,113.0,114.7,116.1,117.3,115.4,113.7,113.2,113.1
광주 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,101.8,102.4,101.9,102.6,103.9,103.5,104.5,105.3,106.6,107.0,106.8,104.5,105.2,105.5
대구 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,101.5,101.3,101.0,101.2,100.5,101.6,103.3,104.3,104.0,103.3,102.0,100.7,101.4,103.3
대전 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,101.0,102.6,102.6,102.0,102.6,102.2,101.7,101.2,101.6,101.4,98.3,97.0,97.2,96.4
부산 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,99.7,100.1,100.8,101.7,102.6,102.6,102.3,103.1,103.6,104.5,103.9,102.2,102.6,102.9
서울 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,94.4,94.7,94.8,95.1,96.0,96.0,96.3,96.3,95.9,96.0,94.9,94.2,93.7,93.6
세종 - 주택보급률,Statistics,,,,,0.0,0.0,0.0,0.0,0.0,123.1,108.4,111.5,110.0,111.4,107.3,107.5,105.6,106.1
수도권 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,96.4,96.8,97.3,97.3,97.7,97.9,98.2,98.3,99.0,99.2,98.0,96.8,96.6,97.2
울산 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,105.1,105.3,105.0,105.4,106.3,106.9,107.3,109.3,110.3,111.5,110.2,108.6,108.4,108.6
인천 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,99.8,101.8,102.7,101.7,101.3,101.0,100.9,100.4,101.2,100.2,98.9,97.5,97.9,99.1
전국 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,100.5,100.9,101.1,101.3,101.9,102.3,102.6,103.3,104.2,104.8,103.6,102.2,102.1,102.5
전남 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,107.6,107.7,107.8,108.5,109.6,110.4,110.7,111.3,112.5,113.6,112.6,111.7,112.4,112.6
전북 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,106.7,107.2,107.1,106.9,107.5,107.5,107.3,107.7,109.4,110.5,110.4,108.9,109.2,109.2
제주 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,96.2,95.6,96.4,98.4,98.7,100.7,103.1,105.2,107.0,109.2,107.0,105.0,104.3,105.3
지방 - 주택보급률,Statistics,,,,,104.3,104.6,104.7,105.1,105.8,106.5,106.8,107.9,109.1,110.1,108.9,107.4,107.5,107.7
충남 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,104.6,105.1,105.6,105.8,107.9,108.3,109.2,110.5,112.7,113.3,111.5,109.9,110.3,111.7
충북 - 주택보급률,Statistics,0.0,0.0,0.0,0.0,107.5,108.0,107.9,108.8,109.5,111.2,110.7,111.4,113.8,114.5,112.8,111.7,111.6,111.2
