item,category,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 국민기초생활보장 수급자수,Statistics,59712.0,57700.0,59625.0,62778.0,64184.0,64850.0,64679.0,66973.0,66503.0,62543.0,58820.0,56184.0,54841.0,63448.0,62509.0,60627.0,67064.0,71493.0,78554.0,84114.0,85681.0,86667.0
경기도 - 국민기초생활보장 수급자수,Statistics,180925.0,184205.0,190957.0,204285.0,207258.0,210875.0,207821.0,212037.0,209175.0,199335.0,192170.0,189259.0,189400.0,257850.0,263841.0,261050.0,297122.0,328752.0,379725.0,422615.0,443985.0,474086.0
경상남도 - 국민기초생활보장 수급자수,Statistics,95592.0,97952.0,100880.0,107186.0,108721.0,108859.0,106597.0,107294.0,104797.0,98939.0,93977.0,89622.0,86996.0,107148.0,104213.0,100904.0,112183.0,121275.0,137605.0,156832.0,168197.0,176280.0
경상북도 - 국민기초생활보장 수급자수,Statistics,120753.0,121776.0,123243.0,127612.0,127581.0,127450.0,124538.0,125702.0,122450.0,113990.0,105193.0,99437.0,95609.0,109627.0,105146.0,99822.0,107309.0,113845.0,125106.0,141175.0,147353.0,151253.0
광주광역시 - 국민기초생활보장 수급자수,Statistics,47078.0,49507.0,53595.0,58916.0,60804.0,61309.0,61339.0,65487.0,65821.0,62482.0,60684.0,59962.0,59598.0,71683.0,69420.0,65712.0,72757.0,76193.0,84762.0,91548.0,94137.0,96473.0
대구광역시 - 국민기초생활보장 수급자수,Statistics,70635.0,74996.0,81269.0,90713.0,93475.0,97036.0,100113.0,107918.0,108586.0,104532.0,99473.0,96803.0,93539.0,113152.0,107763.0,103132.0,110495.0,117594.0,131374.0,144092.0,148146.0,154802.0
대전광역시 - 국민기초생활보장 수급자수,Statistics,37560.0,38386.0,40415.0,43870.0,45026.0,46766.0,46635.0,48633.0,48338.0,46549.0,44992.0,44066.0,43469.0,53930.0,54490.0,52357.0,56324.0,59317.0,66775.0,72908.0,75140.0,77554.0
부산광역시 - 국민기초생활보장 수급자수,Statistics,104251.0,109355.0,116347.0,128135.0,135407.0,139693.0,138890.0,144860.0,145198.0,141597.0,135973.0,130835.0,126962.0,152389.0,149528.0,145113.0,159031.0,172439.0,196299.0,217335.0,227066.0,234657.0
서울특별시 - 국민기초생활보장 수급자수,Statistics,160784.0,166166.0,177370.0,192423.0,200359.0,205876.0,206133.0,215016.0,214256.0,206808.0,199310.0,201958.0,206687.0,258427.0,267023.0,263347.0,289342.0,317269.0,369518.0,402632.0,412409.0,427880.0
세종특별자치시 - 국민기초생활보장 수급자수,Statistics,,,,,,,,,,,3442.0,3304.0,3274.0,4192.0,4286.0,4284.0,4862.0,5749.0,7107.0,7880.0,8165.0,8607.0
울산광역시 - 국민기초생활보장 수급자수,Statistics,15604.0,15897.0,17367.0,19251.0,19632.0,19452.0,18741.0,19393.0,18851.0,17191.0,15804.0,15353.0,15363.0,21375.0,18776.0,18821.0,22939.0,26594.0,33232.0,38575.0,41510.0,43817.0
인천광역시 - 국민기초생활보장 수급자수,Statistics,56247.0,57065.0,60158.0,65479.0,69525.0,70988.0,69786.0,73055.0,73749.0,71700.0,70860.0,70984.0,72113.0,97334.0,100301.0,98789.0,110257.0,122027.0,142628.0,159186.0,166083.0,174116.0
전국 - 국민기초생활보장 수급자수,Statistics,1351185.0,1374405.0,1424088.0,1513352.0,1534950.0,1549848.0,1529939.0,1568533.0,1549820.0,1469254.0,1394042.0,1350891.0,1328713.0,1646363.0,1630614.0,1581646.0,1743690.0,1881357.0,2134186.0,2359672.0,2451458.0,2554627.0
전라남도 - 국민기초생활보장 수급자수,Statistics,137884.0,135115.0,133225.0,133143.0,126372.0,120995.0,114922.0,110725.0,106210.0,96503.0,87670.0,80315.0,75501.0,88568.0,83850.0,79196.0,84819.0,87003.0,92666.0,101475.0,104064.0,107240.0
전북특별자치도 - 국민기초생활보장 수급자수,Statistics,110169.0,111021.0,113169.0,118533.0,119016.0,118917.0,115093.0,113782.0,110894.0,103085.0,95656.0,90280.0,87008.0,103248.0,99708.0,94639.0,101228.0,105955.0,115182.0,125438.0,128522.0,131557.0
제주특별자치도 - 국민기초생활보장 수급자수,Statistics,19141.0,19772.0,20686.0,22049.0,22450.0,22903.0,23147.0,24373.0,24595.0,23746.0,21986.0,21187.0,20101.0,24513.0,23335.0,21937.0,23157.0,24323.0,28671.0,32446.0,33491.0,35069.0
충청남도 - 국민기초생활보장 수급자수,Statistics,82320.0,81224.0,80490.0,81380.0,77902.0,76614.0,74105.0,74780.0,72989.0,66884.0,58363.0,54970.0,53288.0,64120.0,62677.0,60411.0,65692.0,69022.0,75720.0,84802.0,88800.0,92992.0
충청북도 - 국민기초생활보장 수급자수,Statistics,52530.0,54268.0,55292.0,57599.0,57238.0,57265.0,57400.0,58505.0,57408.0,53370.0,49669.0,46372.0,44964.0,55359.0,53748.0,51505.0,59109.0,62507.0,69262.0,76619.0,78709.0,81577.0
