item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,23.0,16.0,15.0,22.0,24.0,18.0,13.0,8.0,6.0,8.0,15.0,3.0,9.0,5.0,7.0,9.0,4.0
가평군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,5.6,3.8,4.1,6.0,6.6,5.0,3.4,2.0,1.4,1.9,3.9,0.8,2.5,1.4,1.8,2.5,1.3
가평군 - 전체 교통사고발생건수＜br＞(B),Statistics,412.0,416.0,368.0,364.0,364.0,363.0,377.0,395.0,424.0,432.0,380.0,396.0,364.0,367.0,400.0,357.0,311.0
강남구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,130.0,127.0,168.0,233.0,239.0,143.0,139.0,120.0,101.0,69.0,75.0,65.0,96.0,106.0,90.0,91.0,106.0
강남구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,4.2,3.4,4.7,6.5,6.2,4.0,3.8,3.0,2.6,2.0,2.2,1.7,2.6,2.8,2.4,2.3,2.8
강남구 - 전체 교통사고발생건수＜br＞(B),Statistics,3131.0,3723.0,3551.0,3562.0,3843.0,3610.0,3624.0,3970.0,3828.0,3469.0,3459.0,3722.0,3752.0,3820.0,3709.0,3926.0,3754.0
강동구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,48.0,61.0,31.0,57.0,49.0,42.0,50.0,54.0,36.0,16.0,37.0,29.0,29.0,30.0,30.0,51.0,34.0
강동구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,2.8,3.9,2.2,4.0,3.4,3.1,3.5,3.6,2.5,1.2,2.6,2.1,2.3,2.9,2.6,4.3,2.4
강동구 - 전체 교통사고발생건수＜br＞(B),Statistics,1692.0,1545.0,1410.0,1423.0,1458.0,1356.0,1442.0,1494.0,1426.0,1371.0,1418.0,1414.0,1268.0,1047.0,1151.0,1185.0,1428.0
강릉시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,43.0,41.0,47.0,32.0,47.0,37.0,34.0,32.0,27.0,20.0,23.0,13.0,18.0,20.0,20.0,18.0,7.0
강릉시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.7,3.2,4.0,2.7,4.0,3.5,2.9,2.9,2.6,1.9,2.5,1.5,2.1,3.1,2.8,2.4,1.1
강릉시 - 전체 교통사고발생건수＜br＞(B),Statistics,1153.0,1279.0,1164.0,1200.0,1178.0,1052.0,1165.0,1096.0,1027.0,1028.0,918.0,888.0,848.0,653.0,712.0,758.0,666.0
강북구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,43.0,37.0,33.0,26.0,29.0,25.0,22.0,18.0,25.0,26.0,26.0,20.0,18.0,18.0,19.0,12.0,16.0
강북구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.1,2.7,2.6,2.2,2.4,2.3,1.7,1.4,2.0,2.2,2.1,1.6,1.7,1.8,1.8,1.2,1.8
강북구 - 전체 교통사고발생건수＜br＞(B),Statistics,1373.0,1392.0,1293.0,1174.0,1212.0,1107.0,1313.0,1265.0,1227.0,1202.0,1216.0,1277.0,1087.0,1017.0,1044.0,972.0,877.0
강서구 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,69.0,64.0,51.0,74.0,61.0,55.0,37.0,43.0,14.0,25.0,31.0,56.0,52.0,60.0,33.0,43.0,29.0
강서구 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,3.4,3.2,2.7,3.9,3.5,3.2,2.0,2.2,0.8,1.6,2.1,3.1,3.3,4.0,2.1,2.8,1.9
강서구 - 전체 교통사고발생건수＜br＞(B),Statistics,2056.0,1994.0,1872.0,1885.0,1767.0,1715.0,1806.0,1932.0,1691.0,1584.0,1502.0,1829.0,1575.0,1501.0,1606.0,1518.0,1538.0
강원특별자치도 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,467.0,474.0,436.0,403.0,421.0,304.0,282.0,258.0,232.0,225.0,226.0,193.0,218.0,181.0,151.0,186.0,115.0
강원특별자치도 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,5.3,5.0,4.8,4.4,4.7,3.6,3.3,2.9,2.6,2.7,3.0,2.6,3.1,2.7,2.4,3.1,1.9
강원특별자치도 - 전체 교통사고발생건수＜br＞(B),Statistics,8766.0,9503.0,9026.0,9206.0,8958.0,8529.0,8605.0,8912.0,8841.0,8316.0,7498.0,7554.0,7039.0,6605.0,6425.0,6079.0,5930.0
강진군 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,7.0,14.0,9.0,8.0,8.0,4.0,9.0,6.0,11.0,8.0,6.0,10.0,6.0,6.0,,5.0,10.0
강진군 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,2.8,4.5,3.2,3.2,3.7,1.8,3.8,2.6,4.0,2.8,2.0,3.1,2.0,2.1,,1.7,3.6
