item,category,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 고등학교,Statistics,27.23,27.08,26.36,25.81,24.83,24.35,23.22,22.11,20.57,20.39,20.04,20.67,20.46
가평군 - 유치원,Statistics,14.77,13.56,14.06,14.94,12.14,10.69,10.39,9.33,8.83,9.19,9.35,8.46,7.48
가평군 - 전체,Statistics,22.62,22.06,20.99,20.79,19.86,19.46,18.9,18.33,17.87,17.72,17.51,17.42,16.58
가평군 - 중학교,Statistics,27.81,27.29,25.74,25.23,23.79,23.59,23.4,23.0,23.72,23.2,22.1,22.28,22.08
가평군 - 초등학교,Statistics,19.53,18.85,17.57,17.43,17.32,17.21,16.58,16.35,15.9,15.53,15.61,15.25,14.0
강남구 - 고등학교,Statistics,35.94,34.88,34.37,33.93,33.48,31.02,28.09,25.54,24.88,24.98,24.72,24.9,25.71
강남구 - 유치원,Statistics,23.18,22.49,22.33,22.53,22.49,22.59,19.74,19.06,18.01,17.7,16.75,16.19,16.76
강남구 - 전체,Statistics,31.08,29.88,29.22,28.59,28.06,27.3,26.07,25.45,25.63,25.9,25.52,24.82,25.01
강남구 - 중학교,Statistics,33.89,32.56,30.42,29.2,27.69,27.66,27.22,26.78,28.11,29.66,29.68,29.46,29.3
강남구 - 초등학교,Statistics,26.45,25.35,25.61,25.32,25.3,25.12,25.24,25.87,26.17,25.83,25.22,23.76,23.68
강동구 - 고등학교,Statistics,32.33,30.82,29.94,29.07,28.91,27.76,26.41,24.68,24.19,23.99,23.78,24.52,25.65
강동구 - 유치원,Statistics,26.3,24.54,22.67,22.48,22.16,21.77,21.87,19.82,20.37,21.13,20.48,19.73,19.91
강동구 - 전체,Statistics,28.62,27.41,26.64,25.89,25.21,24.01,23.79,22.61,22.45,22.59,22.55,22.75,23.2
강동구 - 중학교,Statistics,31.77,30.59,29.06,27.55,25.72,24.34,23.03,22.25,23.68,24.01,24.08,23.95,24.74
강동구 - 초등학교,Statistics,25.52,24.5,24.5,24.1,23.61,22.4,23.19,22.3,21.57,21.64,21.72,21.98,22.03
강릉시 - 고등학교,Statistics,30.69,30.28,29.58,29.01,28.6,27.41,25.17,22.98,21.65,21.65,21.58,22.42,22.31
강릉시 - 유치원,Statistics,18.46,19.63,17.62,18.5,18.88,18.58,17.33,17.68,16.27,15.64,14.98,14.94,14.61
강릉시 - 전체,Statistics,27.29,26.25,25.43,24.55,23.85,22.95,21.96,21.23,20.68,20.49,20.19,19.93,19.62
강릉시 - 중학교,Statistics,33.04,32.74,31.75,30.05,28.08,26.69,25.85,25.13,25.66,26.1,25.84,24.91,24.87
강릉시 - 초등학교,Statistics,24.09,22.18,21.62,20.91,20.44,19.86,19.61,19.44,19.08,18.64,18.3,17.83,17.27
강북구 - 고등학교,Statistics,32.48,31.39,30.25,29.22,28.88,28.7,27.18,25.9,25.22,24.94,24.06,24.62,24.92
강북구 - 유치원,Statistics,24.42,26.17,22.49,22.37,20.64,18.5,16.43,14.8,13.82,15.18,14.2,14.27,13.28
강북구 - 전체,Statistics,28.71,28.34,27.37,26.58,25.38,24.84,23.86,23.12,22.64,22.34,21.69,21.75,21.34
강북구 - 중학교,Statistics,32.35,32.46,31.74,30.07,28.14,27.34,26.06,24.9,24.96,24.78,24.1,23.83,23.92
강북구 - 초등학교,Statistics,25.76,24.96,24.51,24.19,23.19,23.05,22.76,22.54,21.93,21.06,20.64,20.66,19.79
강서구 - 고등학교,Statistics,32.53,31.4,30.21,29.22,28.54,27.72,26.11,24.87,22.59,22.96,22.13,22.06,22.95
강서구 - 유치원,Statistics,24.69,24.71,21.47,20.82,19.99,20.48,19.62,18.27,18.22,19.38,17.66,17.47,17.04
강서구 - 전체,Statistics,28.82,27.83,26.79,25.75,24.87,24.18,23.56,22.82,22.06,22.07,21.57,21.39,21.32
강서구 - 중학교,Statistics,31.51,31.45,30.35,28.43,26.81,25.52,24.54,23.56,23.69,24.38,24.34,23.76,23.97
강서구 - 초등학교,Statistics,26.17,24.71,24.32,23.76,23.16,22.54,22.76,22.61,22.1,21.3,21.07,20.94,20.3
강원특별자치도 - 고등학교,Statistics,29.45,29.34,29.38,28.86,28.11,26.67,24.76,22.8,21.53,21.25,20.87,21.36,21.41
강원특별자치도 - 유치원,Statistics,18.4,18.59,17.78,18.46,18.77,17.65,16.81,15.91,15.15,14.87,14.42,14.12,14.02
강원특별자치도 - 전체,Statistics,24.09,23.38,22.81,22.1,21.57,20.75,20.06,19.39,18.97,18.79,18.6,18.37,18.11
강원특별자치도 - 중학교,Statistics,29.92,29.5,28.32,26.62,24.8,23.53,22.72,22.06,22.58,22.89,23.12,22.73,22.58
강원특별자치도 - 초등학교,Statistics,20.32,19.08,18.62,18.06,17.95,17.69,17.66,17.62,17.31,17.0,16.8,16.38,15.87
강진군 - 고등학교,Statistics,26.75,25.52,23.23,23.02,22.88,22.26,21.39,19.15,17.93,17.93,17.57,18.02,17.62
강진군 - 유치원,Statistics,9.94,10.0,10.38,9.61,10.83,9.0,7.11,6.71,6.88,7.0,7.93,7.53,8.2
강진군 - 전체,Statistics,19.23,18.11,16.92,16.05,15.49,15.05,14.33,13.67,13.21,12.79,12.39,12.08,11.7
강진군 - 중학교,Statistics,25.0,23.31,21.51,19.13,18.02,17.73,16.78,15.72,15.31,15.39,14.65,13.96,13.62
강진군 - 초등학교,Statistics,14.68,13.68,13.02,12.89,12.3,12.24,11.91,11.87,11.45,10.59,10.05,9.57,8.96
강화군 - 고등학교,Statistics,28.24,27.67,27.23,26.74,25.14,23.86,22.44,21.11,20.86,20.13,19.4,19.73,19.87
강화군 - 유치원,Statistics,14.59,14.51,12.91,13.36,13.13,12.6,12.63,10.95,11.59,10.9,9.93,8.9,9.05
강화군 - 전체,Statistics,19.59,18.97,18.0,17.99,17.34,17.03,16.48,16.32,16.15,15.75,15.08,14.8,14.69
강화군 - 중학교,Statistics,24.5,24.4,22.01,22.22,20.69,21.03,20.29,19.73,20.2,20.45,21.0,20.65,20.12
