item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,43.4,40.4,38.5,40.6,40.4,46.7,48.2,44.4,43.1,40.3,41.6,45.0,46.3,46.5,43.3,43.3,45.8,47.5,46.9,50.5,47.4
강원특별자치도 - 비정규직근로자＜br＞(A),Statistics,174.8,159.1,153.9,165.6,172.0,212.7,227.5,213.1,201.8,192.0,203.1,230.4,237.7,254.4,237.8,248.1,256.2,275.4,277.4,308.6,297.5
강원특별자치도 - 임금근로자＜br＞(B),Statistics,403.2,394.0,399.8,408.2,426.0,455.9,472.0,480.4,467.7,476.6,488.7,511.9,513.2,546.8,549.0,572.8,559.4,580.2,592.1,611.1,627.9
경기도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,35.2,34.4,30.6,33.4,29.6,31.9,30.9,32.1,31.9,30.4,29.6,31.3,30.6,30.4,31.3,35.6,35.0,37.1,35.0,33.5,34.9
경기도 - 비정규직근로자＜br＞(A),Statistics,1165.9,1187.3,1122.5,1279.0,1155.8,1271.7,1287.9,1387.9,1415.7,1420.6,1437.8,1568.2,1569.1,1592.8,1661.9,1940.9,1907.4,2165.0,2197.3,2072.6,2174.9
경기도 - 임금근로자＜br＞(B),Statistics,3312.9,3455.0,3663.0,3828.6,3903.6,3985.7,4163.0,4323.7,4435.7,4669.0,4857.2,5009.0,5123.2,5247.7,5315.4,5456.0,5448.3,5834.9,6269.2,6181.1,6230.2
경상남도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,34.0,31.0,26.9,29.0,26.2,30.2,26.1,32.3,27.1,25.4,28.2,26.7,28.6,27.0,27.4,32.4,35.3,38.6,34.9,38.0,38.0
경상남도 - 비정규직근로자＜br＞(A),Statistics,297.5,271.0,237.5,266.8,255.7,310.8,275.3,344.2,293.2,277.4,321.9,319.0,327.0,314.4,316.9,396.8,432.8,475.6,421.0,472.3,475.9
경상남도 - 임금근로자＜br＞(B),Statistics,874.1,873.0,882.3,920.7,976.4,1027.9,1056.7,1066.4,1083.3,1092.0,1140.5,1193.6,1142.1,1162.3,1155.2,1225.8,1226.1,1231.5,1204.9,1243.6,1252.0
경상북도 - 비정규직근로자 비율＜br＞(A÷B×100),Statistics,33.3,30.3,32.1,33.3,30.5,36.1,35.9,34.9,34.9,34.7,33.1,32.4,32.3,33.1,30.5,34.9,34.4,35.2,37.6,37.9,40.3
