item,category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 상용근로자＜br＞(A),Statistics,180.0,189.0,197.8,190.2,190.4,192.0,213.2,211.8,225.1,238.0,238.0,246.8,245.4,257.9,279.3,291.7,307.9,314.2,326.9,336.0,344.6,361.3,377.4,373.0,387.7,397.3,421.6,416.4
강원특별자치도 - 상용직 비중＜br＞(A÷B×100),Statistics,57.7,61.0,58.2,58.9,52.6,54.5,56.3,56.0,59.3,59.6,60.9,61.1,58.6,61.0,66.6,68.2,70.8,68.4,71.3,71.0,72.2,72.2,73.2,76.4,75.3,74.4,74.5,73.8
강원특별자치도 - 임금근로자＜br＞(B),Statistics,312.0,310.0,339.8,322.7,361.7,352.3,378.9,378.2,379.6,399.2,390.6,404.2,418.7,422.5,419.4,427.8,434.8,459.4,458.3,473.3,477.6,500.5,515.3,488.0,514.6,533.9,566.0,564.3
경기도 - 상용근로자＜br＞(A),Statistics,1438.0,1282.0,1393.8,1504.6,1586.3,1767.0,1809.3,1948.4,2005.8,2144.5,2302.0,2444.4,2584.7,2775.6,2795.5,2989.3,3183.4,3299.0,3439.7,3577.0,3774.8,3794.2,3996.5,4066.0,4389.1,4632.6,4623.2,4778.2
경기도 - 상용직 비중＜br＞(A÷B×100),Statistics,57.0,53.4,50.9,52.5,53.6,56.3,55.3,57.6,56.8,57.1,59.1,62.0,64.2,65.9,65.3,67.6,67.8,67.4,68.8,70.6,71.4,71.5,72.3,75.4,74.2,77.0,76.8,77.7
경기도 - 임금근로자＜br＞(B),Statistics,2521.0,2402.0,2736.2,2863.3,2958.1,3136.2,3273.2,3381.6,3530.4,3753.3,3897.4,3940.6,4028.8,4211.5,4283.5,4421.2,4697.1,4894.1,5000.3,5065.0,5286.5,5304.1,5530.2,5391.6,5914.3,6012.9,6017.6,6150.9
경상남도 - 상용근로자＜br＞(A),Statistics,446.0,413.0,406.0,442.3,468.0,481.5,528.5,550.1,531.3,556.8,586.5,606.7,663.4,710.7,739.9,740.5,821.2,852.5,850.3,812.6,843.1,869.2,890.0,871.4,884.9,912.6,939.5,936.1
경상남도 - 상용직 비중＜br＞(A÷B×100),Statistics,60.8,59.1,53.9,55.8,58.7,55.5,58.9,61.0,58.2,60.3,58.9,61.6,64.8,67.8,69.6,69.9,72.2,73.2,73.2,71.4,73.9,73.6,73.2,75.0,75.7,75.9,75.9,75.4
경상남도 - 임금근로자＜br＞(B),Statistics,733.0,699.0,753.8,792.0,797.3,868.3,897.1,901.9,912.8,923.7,995.4,985.2,1023.7,1048.0,1063.4,1059.9,1138.1,1165.3,1161.2,1138.0,1141.0,1180.2,1216.5,1161.3,1168.4,1202.5,1238.2,1241.8
경상북도 - 상용근로자＜br＞(A),Statistics,409.0,358.0,331.1,331.0,351.5,347.5,369.5,393.1,410.7,400.5,425.3,441.1,456.7,456.1,509.0,535.0,554.6,588.4,614.5,630.6,636.6,621.6,658.8,637.3,645.6,652.2,641.3,665.6
