item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 상용근로자＜br＞(A),Statistics,9.2,10.3,10.7,11.9,10.7,10.3,9.8,9.8,11.0,11.7,12.6,13.8
가평군 - 상용직 비중＜br＞(A÷B×100),Statistics,56.8,60.9,66.5,68.8,64.5,70.1,64.1,63.2,65.5,67.2,71.2,74.6
가평군 - 임금근로자＜br＞(B),Statistics,16.2,16.9,16.1,17.3,16.6,14.7,15.3,15.5,16.8,17.4,17.7,18.5
강릉시 - 상용근로자＜br＞(A),Statistics,46.6,44.8,45.7,44.7,49.5,50.3,49.5,50.2,51.6,56.6,56.6,56.3
강릉시 - 상용직 비중＜br＞(A÷B×100),Statistics,69.3,68.7,70.1,65.4,70.9,67.2,66.2,68.6,66.2,68.5,68.1,66.4
강릉시 - 임금근로자＜br＞(B),Statistics,67.2,65.2,65.2,68.3,69.8,74.9,74.8,73.2,77.9,82.6,83.1,84.8
강진군 - 상용근로자＜br＞(A),Statistics,4.3,4.4,4.8,4.6,4.7,5.4,5.9,5.6,5.7,5.7,5.0,5.5
강진군 - 상용직 비중＜br＞(A÷B×100),Statistics,55.8,61.1,61.5,68.7,63.5,69.2,67.8,71.8,67.1,61.3,66.7,67.9
강진군 - 임금근로자＜br＞(B),Statistics,7.7,7.2,7.8,6.7,7.4,7.8,8.7,7.8,8.5,9.3,7.5,8.1
거제시 - 상용근로자＜br＞(A),Statistics,84.5,91.4,97.7,95.7,90.4,78.2,79.4,80.1,75.8,74.4,80.9,84.8
거제시 - 상용직 비중＜br＞(A÷B×100),Statistics,85.2,87.0,88.4,85.8,82.7,82.3,80.4,83.8,80.9,78.5,81.9,81.5
거제시 - 임금근로자＜br＞(B),Statistics,99.2,105.1,110.5,111.5,109.3,95.0,98.7,95.6,93.7,94.8,98.8,104.1
거창군 - 상용근로자＜br＞(A),Statistics,8.7,9.7,9.5,10.2,9.7,10.0,10.0,10.4,11.3,12.3,11.5,12.7
거창군 - 상용직 비중＜br＞(A÷B×100),Statistics,60.8,66.4,66.0,68.0,63.4,64.5,64.5,62.7,68.1,72.4,71.4,72.6
거창군 - 임금근로자＜br＞(B),Statistics,14.3,14.6,14.4,15.0,15.3,15.5,15.5,16.6,16.6,17.0,16.1,17.5
경산시 - 상용근로자＜br＞(A),Statistics,48.9,52.2,57.8,61.0,62.2,72.4,75.3,68.8,71.9,75.4,76.1,76.6
경산시 - 상용직 비중＜br＞(A÷B×100),Statistics,57.6,56.4,61.1,63.2,62.0,73.3,74.4,74.1,72.4,73.0,69.4,72.0
경산시 - 임금근로자＜br＞(B),Statistics,84.9,92.5,94.6,96.5,100.4,98.8,101.2,92.8,99.3,103.3,109.7,106.4
경주시 - 상용근로자＜br＞(A),Statistics,62.0,62.6,62.3,63.2,65.4,68.4,69.0,64.8,66.0,67.2,68.0,72.3
경주시 - 상용직 비중＜br＞(A÷B×100),Statistics,67.8,67.0,69.7,68.0,70.2,74.8,75.6,78.3,75.9,76.4,73.4,74.1
경주시 - 임금근로자＜br＞(B),Statistics,91.4,93.4,89.4,92.9,93.1,91.5,91.3,82.8,86.9,88.0,92.7,97.6
계룡시 - 상용근로자＜br＞(A),Statistics,7.0,7.3,7.2,8.8,9.1,8.7,8.7,8.4,9.4,9.1,10.5,11.1
계룡시 - 상용직 비중＜br＞(A÷B×100),Statistics,70.7,66.4,70.6,71.5,73.4,73.7,69.6,77.1,71.8,70.0,74.5,73.0
계룡시 - 임금근로자＜br＞(B),Statistics,9.9,11.0,10.2,12.3,12.4,11.8,12.5,10.9,13.1,13.0,14.1,15.2
고령군 - 상용근로자＜br＞(A),Statistics,6.7,6.9,6.8,6.7,6.5,5.6,5.9,5.7,6.1,6.2,6.3,6.6
고령군 - 상용직 비중＜br＞(A÷B×100),Statistics,64.4,69.7,67.3,66.3,67.0,58.9,61.5,64.0,62.9,60.8,65.6,66.7
고령군 - 임금근로자＜br＞(B),Statistics,10.4,9.9,10.1,10.1,9.7,9.5,9.6,8.9,9.7,10.2,9.6,9.9
고성군 - 상용근로자＜br＞(A),Statistics,4.0,4.0,4.5,4.4,4.7,5.1,5.3,5.0,4.7,4.9,5.1,5.3
고성군 - 상용직 비중＜br＞(A÷B×100),Statistics,53.3,50.6,57.0,50.6,51.6,55.4,52.0,55.6,50.0,48.0,50.5,50.5
고성군 - 임금근로자＜br＞(B),Statistics,7.5,7.9,7.9,8.7,9.1,9.2,10.2,9.0,9.4,10.2,10.1,10.5
고양시 - 상용근로자＜br＞(A),Statistics,245.9,253.6,270.5,281.8,279.4,291.4,299.3,309.5,333.2,349.9,336.4,342.8
고양시 - 상용직 비중＜br＞(A÷B×100),Statistics,71.7,72.3,75.5,75.2,74.1,77.6,77.0,80.5,80.0,79.9,78.5,79.1
고양시 - 임금근로자＜br＞(B),Statistics,342.9,350.7,358.3,374.6,376.9,375.3,388.6,384.3,416.7,437.9,428.7,433.2
고창군 - 상용근로자＜br＞(A),Statistics,7.5,9.0,8.0,8.8,8.1,7.2,6.9,6.6,7.3,7.7,8.2,8.9
고창군 - 상용직 비중＜br＞(A÷B×100),Statistics,67.6,66.7,66.7,70.4,68.6,63.2,60.0,66.7,72.3,70.6,71.9,73.0
고창군 - 임금근로자＜br＞(B),Statistics,11.1,13.5,12.0,12.5,11.8,11.4,11.5,9.9,10.1,10.9,11.4,12.2
고흥군 - 상용근로자＜br＞(A),Statistics,7.0,7.1,8.6,8.0,8.6,8.3,8.8,8.1,8.0,7.1,7.5,8.0
고흥군 - 상용직 비중＜br＞(A÷B×100),Statistics,68.0,61.2,74.1,75.5,72.3,70.9,66.2,67.5,66.7,63.4,56.0,57.6
고흥군 - 임금근로자＜br＞(B),Statistics,10.3,11.6,11.6,10.6,11.9,11.7,13.3,12.0,12.0,11.2,13.4,13.9
곡성군 - 상용근로자＜br＞(A),Statistics,3.7,4.5,3.6,3.7,4.3,4.2,4.4,3.9,4.1,4.5,4.2,4.8
곡성군 - 상용직 비중＜br＞(A÷B×100),Statistics,67.3,77.6,67.9,68.5,66.2,62.7,56.4,63.9,61.2,63.4,60.0,63.2
