item,category,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 상용 월평균 임금,Statistics,2360819.0,2437051.0,2483529.0,2569139.0,2727782.0,2804556.0,2931838.0,3049958.0,3053154.0,3166772.0,3285138.0,3373947.0,3433402.0
강원특별자치도 - 임금상승률,Statistics,5.3,3.2,1.9,3.4,6.2,2.8,4.5,4.0,0.1,3.7,3.7,2.7,1.8
경기도 - 상용 월평균 임금,Statistics,2654114.0,2735767.0,2784899.0,2853670.0,2970904.0,3102230.0,3236256.0,3384598.0,3467004.0,3611344.0,3751651.0,3880952.0,4044522.0
경기도 - 임금상승률,Statistics,7.5,3.1,1.8,2.5,4.1,4.4,4.3,4.6,2.4,4.2,3.9,3.4,4.2
경상남도 - 상용 월평균 임금,Statistics,2548570.0,2612430.0,2678468.0,2765647.0,2889391.0,2943459.0,3054555.0,3190336.0,3260329.0,3399502.0,3560180.0,3642165.0,3784975.0
경상남도 - 임금상승률,Statistics,4.6,2.5,2.5,3.3,4.5,1.9,3.8,4.4,2.2,4.3,4.7,2.3,3.9
경상북도 - 상용 월평균 임금,Statistics,2545702.0,2617508.0,2703967.0,2776589.0,2916120.0,2986091.0,3151486.0,3262945.0,3318498.0,3452111.0,3563537.0,3651423.0,3793757.0
경상북도 - 임금상승률,Statistics,4.3,2.8,3.3,2.7,5.0,2.4,5.5,3.5,1.7,4.0,3.2,2.5,3.9
광주광역시 - 상용 월평균 임금,Statistics,2319070.0,2417477.0,2493312.0,2562254.0,2630845.0,2731776.0,2803147.0,2942622.0,2989188.0,3141221.0,3284566.0,3373343.0,3508824.0
광주광역시 - 임금상승률,Statistics,4.2,4.2,3.1,2.8,2.7,3.8,2.6,5.0,1.6,5.1,4.6,2.7,4.0
대구광역시 - 상용 월평균 임금,Statistics,2263709.0,2315945.0,2352273.0,2415995.0,2472297.0,2634209.0,2766527.0,2908433.0,2939627.0,3094138.0,3202101.0,3335313.0,3447916.0
대구광역시 - 임금상승률,Statistics,4.6,2.3,1.6,2.7,2.3,6.5,5.0,5.1,1.1,5.3,3.5,4.2,3.4
대전광역시 - 상용 월평균 임금,Statistics,2642595.0,2722674.0,2805150.0,2857131.0,2985356.0,3071837.0,3189820.0,3287005.0,3301865.0,3401031.0,3556267.0,3648549.0,3758386.0
대전광역시 - 임금상승률,Statistics,6.2,3.0,3.0,1.9,4.5,2.9,3.8,3.0,0.5,3.0,4.6,2.6,3.0
부산광역시 - 상용 월평균 임금,Statistics,2453216.0,2520222.0,2558970.0,2620611.0,2694140.0,2786616.0,2962069.0,3050186.0,3124238.0,3288414.0,3404468.0,3510555.0,3679216.0
부산광역시 - 임금상승률,Statistics,4.1,2.7,1.5,2.4,2.8,3.4,6.3,3.0,2.4,5.3,3.5,3.1,4.8
서울특별시 - 상용 월평균 임금,Statistics,3007110.0,3168798.0,3199814.0,3261561.0,3364470.0,3445867.0,3563940.0,3704202.0,3745761.0,3904436.0,4082853.0,4263174.0,4430038.0
서울특별시 - 임금상승률,Statistics,2.9,5.4,1.0,1.9,3.2,2.4,3.4,3.9,1.1,4.2,4.6,4.4,3.9
세종특별자치시 - 상용 월평균 임금,Statistics,,,,,,,,,3423078.0,3530820.0,3685371.0,3647865.0,3833294.0
세종특별자치시 - 임금상승률,Statistics,,,,,,,,,,3.1,4.4,-1.0,5.1
울산광역시 - 상용 월평균 임금,Statistics,2936723.0,2834007.0,2952210.0,3084932.0,3122883.0,3169771.0,3279013.0,3377777.0,3438056.0,3515389.0,3725381.0,3896517.0,4073209.0
울산광역시 - 임금상승률,Statistics,4.1,-3.5,4.2,4.5,1.2,1.5,3.4,3.0,1.8,2.2,6.0,4.6,4.5
인천광역시 - 상용 월평균 임금,Statistics,2508165.0,2609457.0,2637047.0,2723424.0,2839944.0,2913439.0,3013149.0,3121843.0,3172498.0,3309353.0,3418862.0,3546307.0,3726835.0
인천광역시 - 임금상승률,Statistics,4.0,4.0,1.1,3.3,4.3,2.6,3.4,3.6,1.6,4.3,3.3,3.7,5.1
전국 - 상용 월평균 임금,Statistics,2619833.0,2736921.0,2838343.0,2926186.0,3030286.0,3125273.0,3259281.0,3405769.0,3447287.0,3581564.0,3717328.0,3843191.0,3988724.0
전국 - 임금상승률,Statistics,5.3,4.5,3.7,3.1,3.6,3.1,4.3,4.5,1.2,3.9,3.8,3.4,3.8
전라남도 - 상용 월평균 임금,Statistics,2661737.0,2723586.0,2780187.0,2856750.0,2938553.0,2996396.0,3145992.0,3235215.0,3252923.0,3352080.0,3445263.0,3566647.0,3658375.0
전라남도 - 임금상승률,Statistics,4.1,2.3,2.1,2.8,2.9,2.0,5.0,2.8,0.5,3.0,2.8,3.5,2.6
전북특별자치도 - 상용 월평균 임금,Statistics,2392166.0,2406045.0,2462123.0,2547426.0,2616967.0,2750571.0,2901251.0,2992628.0,3028036.0,3082279.0,3192759.0,3271052.0,3386856.0
전북특별자치도 - 임금상승률,Statistics,3.7,0.6,2.3,3.5,2.7,5.1,5.5,3.1,1.2,1.8,3.6,2.5,3.5
제주특별자치도 - 상용 월평균 임금,Statistics,2135156.0,2217146.0,2244777.0,2293505.0,2389239.0,2456978.0,2584690.0,2710704.0,2726806.0,2906566.0,3036703.0,3153209.0,3268276.0
제주특별자치도 - 임금상승률,Statistics,5.0,3.8,1.2,2.2,4.2,2.8,5.2,4.9,0.6,6.6,4.5,3.8,3.6
충청남도 - 상용 월평균 임금,Statistics,2609953.0,2734718.0,2841711.0,2937394.0,3073036.0,3139647.0,3246198.0,3372295.0,3397234.0,3564920.0,3669868.0,3812337.0,3967362.0
충청남도 - 임금상승률,Statistics,4.9,4.8,3.9,3.4,4.6,2.2,3.4,3.9,0.7,4.9,2.9,3.9,4.1
충청북도 - 상용 월평균 임금,Statistics,2409021.0,2513146.0,2535148.0,2631387.0,2774278.0,2888651.0,3035381.0,3142720.0,3203545.0,3313149.0,3439403.0,3561921.0,3669971.0
충청북도 - 임금상승률,Statistics,4.8,4.3,0.9,3.8,5.4,4.1,5.1,3.5,1.9,3.4,3.8,3.6,3.0
