item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 구직급여 신청자수,Statistics,10895.0,10517.0,10364.0,11713.0,12532.0,14706.0,16195.0,14161.0,14724.0,14352.0,13717.0
경기도 - 구직급여 신청자수,Statistics,73488.0,75080.0,70665.0,82490.0,92481.0,110801.0,118331.0,102392.0,114868.0,110250.0,116873.0
경상남도 - 구직급여 신청자수,Statistics,18556.0,19441.0,20535.0,24149.0,24970.0,29538.0,32595.0,28156.0,28501.0,26745.0,27372.0
경상북도 - 구직급여 신청자수,Statistics,14473.0,15628.0,15046.0,17881.0,19652.0,22585.0,24231.0,22105.0,23103.0,21862.0,22082.0
광주광역시 - 구직급여 신청자수,Statistics,8754.0,8227.0,7963.0,9132.0,10161.0,11583.0,12614.0,12098.0,12376.0,12520.0,12390.0
기타 - 구직급여 신청자수,Statistics,,,,,2.0,4.0,6.0,24.0,12.0,2.0,0.0
대구광역시 - 구직급여 신청자수,Statistics,13259.0,13622.0,13494.0,16109.0,17534.0,19570.0,21183.0,19355.0,20155.0,19953.0,20255.0
대전광역시 - 구직급여 신청자수,Statistics,9939.0,9376.0,9186.0,10830.0,11412.0,12972.0,13908.0,12806.0,13468.0,12465.0,12723.0
부산광역시 - 구직급여 신청자수,Statistics,21665.0,22302.0,22417.0,25786.0,27805.0,31260.0,33217.0,29813.0,29998.0,28520.0,29576.0
서울특별시 - 구직급여 신청자수,Statistics,63123.0,62048.0,59403.0,67974.0,71733.0,83615.0,87530.0,74457.0,78597.0,77555.0,77731.0
세종특별자치시 - 구직급여 신청자수,Statistics,,,866.0,1819.0,1965.0,2392.0,2713.0,2542.0,2908.0,2954.0,3002.0
울산광역시 - 구직급여 신청자수,Statistics,7996.0,9454.0,10232.0,10556.0,11607.0,12339.0,14308.0,12008.0,12849.0,12521.0,12534.0
인천광역시 - 구직급여 신청자수,Statistics,19372.0,18600.0,17432.0,20501.0,23013.0,26235.0,26894.0,23618.0,26507.0,25374.0,27340.0
전국 - 구직급여 신청자수,Statistics,303417.0,307270.0,298626.0,345314.0,376482.0,437343.0,470196.0,413704.0,439802.0,425614.0,439265.0
전라남도 - 구직급여 신청자수,Statistics,8035.0,8346.0,8340.0,9402.0,10449.0,11840.0,15057.0,13170.0,13075.0,12281.0,14076.0
전북특별자치도 - 구직급여 신청자수,Statistics,10785.0,10977.0,11058.0,12087.0,13080.0,14730.0,15549.0,14169.0,14425.0,14255.0,14586.0
제주특별자치도 - 구직급여 신청자수,Statistics,2548.0,2565.0,2905.0,3343.0,3650.0,5390.0,5625.0,5035.0,5150.0,5335.0,5403.0
충청남도 - 구직급여 신청자수,Statistics,10801.0,11473.0,10577.0,11410.0,12889.0,14913.0,16525.0,15077.0,15424.0,15653.0,16601.0
충청북도 - 구직급여 신청자수,Statistics,9728.0,9614.0,9009.0,10132.0,11547.0,12870.0,13715.0,12718.0,13662.0,13019.0,13004.0
