item,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 생산지수(2020＝100),Statistics,76.306,89.866,89.678,96.505,96.599,90.726,86.996,87.298,92.54,102.722,97.3,92.2,105.7,102.2,103.6,89.5
강원특별자치도 - 증감률,Statistics,33.3,17.8,-0.2,7.6,0.1,-6.1,-4.1,0.3,6.0,11.0,-5.3,-5.2,14.6,-3.3,1.4,-13.6
경기도 - 생산지수(2020＝100),Statistics,49.87,56.954,55.829,63.308,64.713,66.022,68.889,74.265,82.796,80.645,88.1,102.5,118.6,88.1,121.5,126.7
경기도 - 증감률,Statistics,45.6,14.2,-2.0,13.4,2.2,2.0,4.3,7.8,11.5,-2.6,9.2,16.3,15.7,-25.7,37.9,4.3
경상남도 - 생산지수(2020＝100),Statistics,118.283,127.497,112.058,135.216,121.272,118.906,113.436,108.68,105.826,109.512,99.3,99.1,104.9,99.2,120.0,103.6
경상남도 - 증감률,Statistics,34.6,7.8,-12.1,20.7,-10.3,-2.0,-4.6,-4.2,-2.6,3.5,-9.3,-0.2,5.9,-5.4,21.0,-13.7
경상북도 - 생산지수(2020＝100),Statistics,126.896,135.409,138.734,134.477,131.951,127.25,123.551,109.618,109.618,105.055,96.0,108.3,101.9,99.0,104.9,93.0
경상북도 - 증감률,Statistics,27.5,6.7,2.5,-3.1,-1.9,-3.6,-2.9,-11.3,0.0,-4.2,-8.6,12.8,-5.9,-2.8,6.0,-11.3
광주광역시 - 생산지수(2020＝100),Statistics,75.489,103.97,85.536,96.689,96.781,106.893,94.639,95.624,96.718,99.344,91.1,100.3,108.2,107.3,119.3,112.3
광주광역시 - 증감률,Statistics,65.6,37.7,-17.7,13.0,0.1,10.4,-11.5,1.0,1.1,2.7,-8.3,10.1,7.9,-0.8,11.2,-5.9
대구광역시 - 생산지수(2020＝100),Statistics,92.576,109.159,96.952,108.04,112.11,110.428,106.476,105.159,109.44,116.465,98.3,104.7,109.4,111.9,120.1,99.8
대구광역시 - 증감률,Statistics,50.0,17.9,-11.2,11.4,3.8,-1.5,-3.6,-1.2,4.1,6.4,-15.6,6.5,4.5,2.3,7.3,-16.9
대전광역시 - 생산지수(2020＝100),Statistics,78.518,87.548,89.01,95.031,87.635,93.632,104.179,106.468,106.368,104.378,98.9,93.8,93.0,92.1,103.4,91.8
