item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 생산지수(2020＝100),Statistics,87.8,89.3,90.4,91.9,93.8,96.5,98.2,101.8,100.8,96.6,96.3,102.8,108.6,107.1,106.9
강원특별자치도 - 증감률,Statistics,1.7,1.7,1.2,1.7,2.1,2.9,1.8,3.7,-1.0,-4.2,-0.3,6.7,5.6,-1.4,-0.2
경기도 - 생산지수(2020＝100),Statistics,80.3,83.2,83.3,86.0,88.2,90.6,92.9,94.8,96.8,98.3,98.5,106.2,111.2,112.9,112.6
경기도 - 증감률,Statistics,4.2,3.6,0.1,3.2,2.6,2.7,2.5,2.0,2.1,1.5,0.2,7.8,4.7,1.5,-0.3
경상남도 - 생산지수(2020＝100),Statistics,86.6,88.7,90.2,92.3,94.7,96.9,98.1,99.1,99.8,99.0,99.6,107.2,113.4,111.3,108.1
경상남도 - 증감률,Statistics,4.6,2.4,1.7,2.3,2.6,2.3,1.2,1.0,0.7,-0.8,0.6,7.6,5.8,-1.9,-2.9
경상북도 - 생산지수(2020＝100),Statistics,89.8,91.6,92.7,95.1,97.3,98.6,100.0,100.5,101.5,98.3,99.0,106.3,112.6,112.4,109.3
경상북도 - 증감률,Statistics,3.5,2.0,1.2,2.6,2.3,1.3,1.4,0.5,1.0,-3.2,0.7,7.4,5.9,-0.2,-2.8
광주광역시 - 생산지수(2020＝100),Statistics,84.8,87.2,88.3,90.1,91.6,93.9,95.5,98.5,99.2,100.8,99.0,104.8,110.4,113.7,111.8
광주광역시 - 증감률,Statistics,2.8,2.8,1.3,2.0,1.7,2.5,1.7,3.1,0.7,1.6,-1.8,5.9,5.3,3.0,-1.7
대구광역시 - 생산지수(2020＝100),Statistics,87.7,90.5,91.2,93.1,94.6,96.5,99.2,100.1,100.7,97.4,100.3,104.4,110.4,112.6,109.3
대구광역시 - 증감률,Statistics,5.7,3.2,0.8,2.1,1.6,2.0,2.8,0.9,0.6,-3.3,3.0,4.1,5.7,2.0,-2.9
