item,category,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 지방세,Statistics,1700.0,2335.0,3457.0,4729.0,6359.0,7853.0,11950.0,15925.0,20763.0,25002.0,28852.0,32453.0,37806.0,40410.0,48414.0,76067.0,131378.0,181519.0,215157.0,257018.0,276472.0,341100.0,401600.0,455980.0,500237.0,469465.0,470653.0,498217.0,643920.0,709719.0,762126.0,852116.0,889301.0,1055398.0,1097950.0,1074505.0,1065003.0,1222509.0,1272268.0,1344637.0,1330566.0,1473843.0,1594058.0,1859620.0,1944969.0,2057307.0,2168668.0,2653723.0,2875409.0,3222079.0,3075735.0
경기도 - 지방세,Statistics,6613.0,10002.0,15254.0,22050.0,34071.0,50762.0,73181.0,107700.0,89800.0,109921.0,150058.0,171498.0,204948.0,235014.0,287853.0,442598.0,681906.0,997723.0,1283473.0,1572188.0,2060796.0,2607957.0,3152939.0,3561397.0,3801650.0,3520307.0,3927530.0,4568691.0,6433095.0,8016993.0,8251187.0,8585194.0,8968594.0,10720678.0,11465307.0,11723657.0,11905905.0,12876723.0,12957501.0,13288767.0,13301235.0,15216198.0,17885557.0,19245126.0,20710614.0,22807183.0,24138048.0,25801039.0,29735913.0,30518263.0,28644318.0
경상남도 - 지방세,Statistics,4038.0,6979.0,9209.0,12725.0,20273.0,26788.0,38527.0,50931.0,63715.0,74660.0,91410.0,100335.0,114656.0,127087.0,164121.0,246270.0,392531.0,505622.0,660687.0,787918.0,867135.0,1069002.0,1195510.0,1387078.0,990847.0,963432.0,971730.0,1060249.0,1362762.0,1636180.0,1714012.0,1841713.0,2061172.0,2316613.0,2565187.0,2929103.0,2880091.0,3334664.0,3609075.0,3504746.0,3605279.0,4195428.0,4535227.0,4736834.0,4818215.0,4616070.0,5098712.0,5731861.0,6046173.0,6585873.0,6426449.0
경상북도 - 지방세,Statistics,8126.0,11080.0,15020.0,19574.0,28460.0,38233.0,54748.0,68777.0,45417.0,50608.0,60749.0,67275.0,76618.0,83971.0,101644.0,155096.0,242142.0,316979.0,407807.0,475797.0,538627.0,656207.0,723593.0,845789.0,864497.0,804326.0,859060.0,948694.0,1151561.0,1196264.0,1261304.0,1404386.0,1583213.0,1798727.0,1867464.0,1915009.0,2001834.0,2220366.0,2397531.0,2499249.0,2563701.0,2963881.0,3450733.0,3567765.0,3719931.0,3634277.0,3922794.0,4589594.0,4898316.0,5406745.0,5316604.0
광주광역시 - 지방세,Statistics,,,,,,,,,,,,,,5977.0,36532.0,59660.0,108907.0,146884.0,191700.0,237357.0,259407.0,322050.0,368392.0,413812.0,476169.0,445580.0,435397.0,484267.0,583547.0,673652.0,723552.0,699005.0,773481.0,885554.0,877200.0,901716.0,976111.0,1077114.0,1137184.0,1202985.0,1220622.0,1428496.0,1553789.0,1678987.0,1710868.0,1845600.0,2027885.0,2267962.0,2392719.0,2635299.0,2442204.0
대구광역시 - 지방세,Statistics,,,,,,,,,47091.0,57790.0,69102.0,74989.0,79415.0,92141.0,122026.0,146748.0,262836.0,327268.0,408667.0,484873.0,578199.0,723621.0,814937.0,925755.0,895670.0,825576.0,869060.0,931262.0,1107077.0,1292069.0,1466047.0,1402023.0,1523228.0,1659771.0,1598148.0,1627708.0,1573443.0,1818648.0,1924374.0,2073421.0,2148115.0,2591818.0,2862891.0,2979772.0,3156682.0,3227882.0,3476077.0,3959389.0,4246517.0,4363051.0,4186197.0
대전광역시 - 지방세,Statistics,,,,,,,,,,,,,,,,,123910.0,166352.0,231246.0,273534.0,351499.0,410748.0,443899.0,469598.0,488284.0,443743.0,507337.0,555674.0,687863.0,840070.0,904146.0,873172.0,919761.0,1080507.0,1022282.0,1064934.0,1000099.0,1162679.0,1332664.0,1320566.0,1258482.0,1549395.0,1626744.0,1683926.0,1713620.0,1735655.0,1991017.0,2252393.0,2511095.0,2635489.0,2465188.0
부산광역시 - 지방세,Statistics,8112.0,12345.0,15994.0,22106.0,35371.0,45355.0,66770.0,85503.0,96015.0,113204.0,129517.0,144218.0,153831.0,168963.0,215731.0,251462.0,447406.0,547630.0,688096.0,819875.0,953137.0,1071901.0,1214759.0,1423582.0,1407264.0,1311077.0,1383309.0,1433043.0,1795145.0,2159986.0,2255064.0,2183113.0,2265338.0,2579279.0,2580854.0,2594052.0,2739707.0,3062239.0,3352687.0,3386162.0,3401445.0,3973205.0,4784818.0,4625095.0,4947208.0,4935112.0,5191892.0,6199573.0,6468033.0,6806341.0,6573346.0
서울특별시 - 지방세,Statistics,32245.0,46001.0,70282.0,97149.0,151529.0,203982.0,251113.0,300431.0,354295.0,458391.0,592412.0,607364.0,656688.0,706010.0,840449.0,1156136.0,1757740.0,2091676.0,2540753.0,2907141.0,3259784.0,3849973.0,4339477.0,4890599.0,5332574.0,4944434.0,5566124.0,6204198.0,7934080.0,9430644.0,9813152.0,9726335.0,10011732.0,11306413.0,11885828.0,12537671.0,11922706.0,12074840.0,12913964.0,13436966.0,12980600.0,14502519.0,17038835.0,18024176.0,19296437.0,20695311.0,22268213.0,25531987.0,28382503.0,28782134.0,26306961.0
세종특별자치시 - 지방세,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119099.0,216598.0,386816.0,512028.0,499626.0,665142.0,670652.0,666939.0,795242.0,877116.0,860541.0,776430.0
