item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
가평군 - 계 - 종사자수,Statistics,,,,,,,,,,,25992.0,27728.0,28377.0
가평군 - 남자 - 종사자수,Statistics,,,,,,,,,,,13424.0,14246.0,14742.0
가평군 - 여자 - 종사자수,Statistics,,,,,,,,,,,12568.0,13482.0,13635.0
강남구 - 계 - 종사자수,Statistics,,,,,,,,,,,679047.0,694136.0,698840.0
강남구 - 남자 - 종사자수,Statistics,,,,,,,,,,,379008.0,384090.0,387884.0
강남구 - 여자 - 종사자수,Statistics,,,,,,,,,,,300039.0,310046.0,310956.0
강동구 - 계 - 종사자수,Statistics,,,,,,,,,,,146512.0,145990.0,141770.0
강동구 - 남자 - 종사자수,Statistics,,,,,,,,,,,77578.0,78357.0,74700.0
강동구 - 여자 - 종사자수,Statistics,,,,,,,,,,,68934.0,67633.0,67070.0
강릉시 - 계 - 종사자수,Statistics,,,,,,,,,,,87148.0,88448.0,92567.0
강릉시 - 남자 - 종사자수,Statistics,,,,,,,,,,,46570.0,47641.0,49003.0
강릉시 - 여자 - 종사자수,Statistics,,,,,,,,,,,40578.0,40807.0,43564.0
강북구 - 계 - 종사자수,Statistics,,,,,,,,,,,71752.0,72418.0,73904.0
강북구 - 남자 - 종사자수,Statistics,,,,,,,,,,,33422.0,33306.0,34134.0
강북구 - 여자 - 종사자수,Statistics,,,,,,,,,,,38330.0,39112.0,39770.0
강서구 - 계 - 종사자수,Statistics,,,,,,,,,,,234394.0,248204.0,257494.0
강서구 - 남자 - 종사자수,Statistics,,,,,,,,,,,130005.0,136215.0,142209.0
강서구 - 여자 - 종사자수,Statistics,,,,,,,,,,,104389.0,111989.0,115285.0
강원특별자치도 - 계 - 종사자수,Statistics,448200.0,466538.0,479165.0,490109.0,502315.0,520560.0,551182.0,565568.0,580331.0,596710.0,616250.0,639277.0,670247.0
강원특별자치도 - 남자 - 종사자수,Statistics,254469.0,266880.0,271848.0,276183.0,281326.0,290080.0,305471.0,313437.0,320137.0,328078.0,336000.0,348266.0,362919.0
