item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,409.3,411.0,417.3,422.9,418.4,405.9,393.0,379.6,376.8,373.3,364.7,362.0,351.5,340.1,330.2,327.2
강원특별자치도 - 경찰공무원 정원＜br＞(B),Statistics,3686.0,3681.0,3666.0,3633.0,3677.0,3800.0,3930.0,4082.0,4116.0,4152.0,4231.0,4258.0,4389.0,4524.0,4653.0,4670.0
강원특별자치도 - 주민등록인구＜br＞(A),Statistics,1508575.0,1512870.0,1529818.0,1536448.0,1538630.0,1542263.0,1544442.0,1549507.0,1550806.0,1550142.0,1543052.0,1541502.0,1542840.0,1538492.0,1536498.0,1527807.0
경기도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,719.9,675.4,655.5,663.3,662.9,635.4,612.5,601.6,594.6,580.0,572.4,564.3,553.8,550.0,546.4,546.3
경기도 - 경찰공무원 정원＜br＞(B),Statistics,15686.0,16969.0,17982.0,17997.0,18243.0,19255.0,20176.0,20816.0,21387.0,22197.0,22845.0,23462.0,24245.0,24663.0,24873.0,24952.0
경기도 - 주민등록인구＜br＞(A),Statistics,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경상남도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,591.0,589.3,596.7,599.5,595.2,576.5,550.6,529.5,523.4,512.7,498.1,483.1,469.0,454.6,445.9,440.7
경상남도 - 경찰공무원 정원＜br＞(B),Statistics,5457.0,5515.0,5515.0,5519.0,5577.0,5783.0,6085.0,6355.0,6446.0,6593.0,6774.0,6961.0,7122.0,7291.0,7357.0,7377.0
경상남도 - 주민등록인구＜br＞(A),Statistics,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,486.7,489.3,487.4,488.9,482.4,477.2,463.0,447.9,441.7,431.7,418.9,408.4,394.2,382.6,373.4,366.3
경상북도 - 경찰공무원 정원＜br＞(B),Statistics,5494.0,5456.0,5519.0,5521.0,5594.0,5657.0,5833.0,6034.0,6113.0,6235.0,6390.0,6528.0,6695.0,6866.0,6964.0,6973.0
경상북도 - 주민등록인구＜br＞(A),Statistics,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
광주광역시 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,518.7,525.3,512.2,514.9,510.9,494.6,476.7,458.6,454.6,447.5,439.6,423.8,419.0,404.0,401.0,398.9
광주광역시 - 경찰공무원 정원＜br＞(B),Statistics,2743.0,2729.0,2840.0,2842.0,2876.0,2978.0,3096.0,3210.0,3232.0,3271.0,3320.0,3437.0,3461.0,3568.0,3569.0,3558.0
광주광역시 - 주민등록인구＜br＞(A),Statistics,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
대구광역시 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,521.5,521.7,518.3,517.0,511.9,495.6,479.9,462.7,458.4,451.8,445.1,423.9,418.0,404.7,399.3,401.5
대구광역시 - 경찰공무원 정원＜br＞(B),Statistics,4780.0,4772.0,4846.0,4850.0,4895.0,5048.0,5195.0,5377.0,5420.0,5478.0,5531.0,5752.0,5786.0,5894.0,5919.0,5915.0
대구광역시 - 주민등록인구＜br＞(A),Statistics,2492724.0,2489781.0,2511676.0,2507271.0,2505644.0,2501588.0,2493264.0,2487829.0,2484557.0,2475231.0,2461769.0,2438031.0,2418346.0,2385412.0,2363691.0,2374960.0
대전광역시 - 경찰공무원 1인당 담당주민수＜br＞(A÷B),Statistics,627.8,635.4,648.7,651.9,646.6,618.8,574.4,524.6,512.3,495.6,484.5,457.7,450.4,430.9,429.1,438.8
대전광역시 - 경찰공무원 정원＜br＞(B),Statistics,2359.0,2336.0,2318.0,2325.0,2358.0,2477.0,2667.0,2895.0,2956.0,3031.0,3075.0,3222.0,3250.0,3370.0,3370.0,3287.0
대전광역시 - 주민등록인구＜br＞(A),Statistics,1480895.0,1484180.0,1503664.0,1515603.0,1524583.0,1532811.0,1531809.0,1518775.0,1514370.0,1502227.0,1489936.0,1474870.0,1463882.0,1452251.0,1446072.0,1442216.0
