item,category,2021,2022,2023
가평군 - 계,Statistics,30014.0,31400.0,32117.0
가평군 - 남자,Statistics,16249.0,17188.0,17439.0
가평군 - 여자,Statistics,13765.0,14212.0,14678.0
강남구 - 계,Statistics,801419.0,802907.0,772567.0
강남구 - 남자,Statistics,447809.0,444804.0,421270.0
강남구 - 여자,Statistics,353610.0,358103.0,351297.0
강동구 - 계,Statistics,157465.0,164833.0,162732.0
강동구 - 남자,Statistics,83415.0,88490.0,84770.0
강동구 - 여자,Statistics,74050.0,76343.0,77962.0
강릉시 - 계,Statistics,98995.0,100057.0,101653.0
강릉시 - 남자,Statistics,54158.0,54323.0,55030.0
강릉시 - 여자,Statistics,44837.0,45734.0,46623.0
강북구 - 계,Statistics,80222.0,79859.0,77797.0
강북구 - 남자,Statistics,38440.0,37916.0,36821.0
강북구 - 여자,Statistics,41782.0,41943.0,40976.0
강서구 - 계,Statistics,290473.0,299324.0,306659.0
강서구 - 남자,Statistics,164478.0,166326.0,170598.0
강서구 - 여자,Statistics,125995.0,132998.0,136061.0
강원특별자치도 - 계,Statistics,714310.0,727557.0,738221.0
강원특별자치도 - 남자,Statistics,394202.0,401547.0,404870.0
강원특별자치도 - 여자,Statistics,320108.0,326010.0,333351.0
강진군 - 계,Statistics,14529.0,14774.0,15959.0
강진군 - 남자,Statistics,8050.0,8193.0,8405.0
강진군 - 여자,Statistics,6479.0,6581.0,7554.0
강화군 - 계,Statistics,26249.0,25735.0,26261.0
강화군 - 남자,Statistics,14439.0,14300.0,14585.0
강화군 - 여자,Statistics,11810.0,11435.0,11676.0
거제시 - 계,Statistics,104753.0,107388.0,109755.0
거제시 - 남자,Statistics,67169.0,68065.0,69105.0
거제시 - 여자,Statistics,37584.0,39323.0,40650.0
거창군 - 계,Statistics,23806.0,23748.0,24284.0
거창군 - 남자,Statistics,13254.0,13200.0,13427.0
거창군 - 여자,Statistics,10552.0,10548.0,10857.0
경기도 - 계,Statistics,5994570.0,6103213.0,6187581.0
경기도 - 남자,Statistics,3511953.0,3564515.0,3583904.0
경기도 - 여자,Statistics,2482617.0,2538698.0,2603677.0
경산시 - 계,Statistics,119923.0,123137.0,127754.0
경산시 - 남자,Statistics,71045.0,72060.0,74091.0
경산시 - 여자,Statistics,48878.0,51077.0,53663.0
경상남도 - 계,Statistics,1511931.0,1529668.0,1547788.0
경상남도 - 남자,Statistics,882588.0,889729.0,890594.0
경상남도 - 여자,Statistics,629343.0,639939.0,657194.0
경상북도 - 계,Statistics,1234314.0,1255587.0,1263352.0
경상북도 - 남자,Statistics,736135.0,747106.0,750162.0
경상북도 - 여자,Statistics,498179.0,508481.0,513190.0
경주시 - 계,Statistics,131043.0,133997.0,138450.0
경주시 - 남자,Statistics,79386.0,80504.0,82925.0
경주시 - 여자,Statistics,51657.0,53493.0,55525.0
계룡시 - 계,Statistics,11808.0,11467.0,11930.0
계룡시 - 남자,Statistics,6131.0,5910.0,5869.0
계룡시 - 여자,Statistics,5677.0,5557.0,6061.0
계양구 - 계,Statistics,99226.0,98132.0,100562.0
계양구 - 남자,Statistics,51427.0,50048.0,50621.0
계양구 - 여자,Statistics,47799.0,48084.0,49941.0
고령군 - 계,Statistics,21479.0,22782.0,22796.0
고령군 - 남자,Statistics,14262.0,15153.0,15028.0
고령군 - 여자,Statistics,7217.0,7629.0,7768.0
