item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 보급률,Statistics,48.0,47.4,49.7,46.2,47.1,47.8,49.7,52.5,54.0,55.5,53.6,60.1,61.5
경기도 - 보급률,Statistics,81.2,84.0,85.7,85.5,86.3,87.0,87.9,88.1,87.7,86.0,84.9,85.5,85.4
경상남도 - 보급률,Statistics,58.4,60.2,61.8,63.7,66.4,67.4,71.8,75.3,78.3,79.0,79.2,77.7,78.6
경상북도 - 보급률,Statistics,48.9,51.5,53.8,56.1,59.1,61.6,63.7,65.9,66.9,67.6,68.6,69.0,70.2
광주광역시 - 보급률,Statistics,91.2,94.2,96.6,99.7,95.8,97.6,99.3,99.9,100.2,99.7,100.0,101.0,101.6
대구광역시 - 보급률,Statistics,77.8,81.7,84.6,87.5,90.7,94.0,95.7,96.4,97.1,97.3,97.4,97.5,97.6
대전광역시 - 보급률,Statistics,90.7,92.1,92.8,93.4,94.1,94.4,94.6,94.8,95.1,95.3,95.4,95.5,94.5
부산광역시 - 보급률,Statistics,72.6,76.2,79.8,82.9,85.4,87.6,89.9,92.3,94.8,95.5,96.8,97.0,97.3
서울특별시 - 보급률,Statistics,92.3,93.0,95.4,95.6,96.6,98.0,98.6,98.2,98.2,97.6,98.5,99.1,99.4
세종특별자치시 - 보급률,Statistics,,,52.5,72.2,79.1,79.3,81.4,81.0,80.1,76.9,72.9,71.3,69.9
울산광역시 - 보급률,Statistics,83.8,86.3,87.8,89.2,90.7,91.8,93.2,93.9,95.0,95.9,96.2,96.9,97.2
인천광역시 - 보급률,Statistics,91.5,89.5,89.6,90.4,91.2,92.0,92.8,92.9,92.5,91.1,90.6,90.4,90.2
전국 - 보급률,Statistics,75.0,76.5,78.6,79.4,80.8,82.0,83.1,84.4,85.0,84.7,85.3,85.4,85.7
전라남도 - 보급률,Statistics,50.2,44.0,45.1,47.0,48.4,49.8,51.3,53.4,55.6,57.1,58.8,60.6,62.4
전북특별자치도 - 보급률,Statistics,58.1,59.3,62.1,64.3,66.1,68.0,69.0,70.0,71.0,71.8,73.2,74.3,74.4
제주특별자치도 - 보급률,Statistics,5.6,6.2,9.3,10.1,11.6,12.6,9.2,14.0,14.3,15.1,16.8,20.9,19.8
충청남도 - 보급률,Statistics,45.3,48.8,52.2,54.8,57.7,61.2,64.5,67.3,68.8,70.0,70.9,72.7,74.2
충청북도 - 보급률,Statistics,53.4,56.2,59.1,61.8,63.5,62.9,65.6,66.8,67.5,68.2,69.1,69.6,70.4
