item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
강원특별자치도 - 자동차등록대수＜br＞(B),Statistics,620463.0,630860.0,646532.0,667144.0,694040.0,722333.0,745959.0,766374.0,782700.0,809099.0,828146.0,851553.0
강원특별자치도 - 주차장면수＜br＞(A),Statistics,522578.0,543499.0,552712.0,578677.0,631455.0,683971.0,805722.0,829223.0,922739.0,,,
강원특별자치도 - 주차장확보율＜br＞(A÷B×100),Statistics,84.2,86.2,85.5,86.7,91.0,94.7,108.0,108.2,117.9,,,
경기도 - 자동차등록대수＜br＞(B),Statistics,4303774.0,4402396.0,4525170.0,4694527.0,4917091.0,5160921.0,5386022.0,5617611.0,5765692.0,6004126.0,6204452.0,6378632.0
경기도 - 주차장면수＜br＞(A),Statistics,4263454.0,4509204.0,4721453.0,4843203.0,5138053.0,5205609.0,5321514.0,5713968.0,6354036.0,7088279.0,7105898.0,7426513.0
경기도 - 주차장확보율＜br＞(A÷B×100),Statistics,99.1,102.4,104.3,103.2,104.5,100.9,98.8,101.7,110.2,118.1,114.5,116.4
경상남도 - 자동차등록대수＜br＞(B),Statistics,1444721.0,1470733.0,1490651.0,1512207.0,1564192.0,1625244.0,1667809.0,1694448.0,1721503.0,1787867.0,1832049.0,1896515.0
경상남도 - 주차장면수＜br＞(A),Statistics,1058631.0,1115695.0,1208667.0,1311314.0,1455589.0,1499476.0,1552008.0,1593934.0,1637723.0,,,
경상남도 - 주차장확보율＜br＞(A÷B×100),Statistics,73.3,75.9,81.1,86.7,93.1,92.3,93.1,94.1,95.1,,,
경상북도 - 자동차등록대수＜br＞(B),Statistics,1142737.0,1172860.0,1210986.0,1255903.0,1307495.0,1353654.0,1392151.0,1422157.0,1446262.0,1475389.0,1499200.0,1523914.0
경상북도 - 주차장면수＜br＞(A),Statistics,815025.0,889269.0,884807.0,1007491.0,1090158.0,1105870.0,1183378.0,1361534.0,1309968.0,1374311.0,1367866.0,1382767.0
경상북도 - 주차장확보율＜br＞(A÷B×100),Statistics,71.3,75.8,73.1,80.2,83.4,81.7,85.0,95.7,90.6,93.1,91.2,90.7
광주광역시 - 자동차등록대수＜br＞(B),Statistics,535812.0,550821.0,568054.0,589334.0,611280.0,633375.0,649293.0,664316.0,676281.0,691740.0,700783.0,714401.0
광주광역시 - 주차장면수＜br＞(A),Statistics,488799.0,501763.0,518214.0,543622.0,604750.0,727081.0,607910.0,618848.0,665964.0,,,
광주광역시 - 주차장확보율＜br＞(A÷B×100),Statistics,91.2,91.1,91.2,92.2,98.9,114.8,93.6,93.2,98.5,,,
대구광역시 - 자동차등록대수＜br＞(B),Statistics,985349.0,1010065.0,1039225.0,1072305.0,1106002.0,1130811.0,1157053.0,1178353.0,1190154.0,1219196.0,1211095.0,1230183.0
