item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 계 - 건수,Statistics,107.0,120.0,135.0,129.0,118.0,118.0,122.0,110.0,116.0,125.0
가평군 - 계 - 농가수,Statistics,445.0,493.0,494.0,455.0,426.0,396.0,407.0,390.0,389.0,388.0
가평군 - 계 - 면적,Statistics,695.0,745.0,848.1,808.9,626.61,589.6,610.96,624.41,623.75,593.41
가평군 - 계 - 출하량,Statistics,3164.0,3277.0,2859.4,2067.9,2884.2,2160.82,2878.09,1893.37,2198.79,1879.65
가평군 - 무농약농산물 - 건수,Statistics,93.0,103.0,118.0,111.0,97.0,98.0,101.0,92.0,98.0,107.0
가평군 - 무농약농산물 - 농가수,Statistics,404.0,429.0,432.0,398.0,368.0,340.0,352.0,372.0,371.0,370.0
가평군 - 무농약농산물 - 면적,Statistics,475.0,396.0,501.2,464.4,321.58,298.3,360.6,425.22,459.25,400.51
가평군 - 무농약농산물 - 출하량,Statistics,2926.0,2847.0,2481.7,1793.7,2476.46,1884.04,2630.04,1824.79,2122.13,1805.15
가평군 - 유기농산물 - 건수,Statistics,14.0,17.0,17.0,18.0,21.0,20.0,21.0,18.0,18.0,18.0
가평군 - 유기농산물 - 농가수,Statistics,41.0,64.0,62.0,57.0,58.0,56.0,55.0,18.0,18.0,18.0
가평군 - 유기농산물 - 면적,Statistics,220.0,349.0,346.9,344.5,305.03,291.29,250.36,199.19,164.51,192.9
가평군 - 유기농산물 - 출하량,Statistics,238.0,430.0,377.7,274.2,407.74,276.79,248.05,68.58,76.67,74.5
강남구 - 계 - 건수,Statistics,8.0,11.0,8.0,9.0,11.0,12.0,8.0,9.0,8.0,8.0
강남구 - 계 - 농가수,Statistics,8.0,11.0,8.0,9.0,11.0,12.0,8.0,9.0,8.0,8.0
강남구 - 계 - 면적,Statistics,2.0,2.0,1.9,1.5,1.46,1.41,0.78,0.75,0.85,0.78
강남구 - 계 - 출하량,Statistics,80.0,120.0,64.6,92.1,99.83,92.08,31.35,99.36,104.11,81.95
강남구 - 무농약농산물 - 건수,Statistics,7.0,11.0,7.0,8.0,9.0,8.0,6.0,7.0,6.0,6.0
강남구 - 무농약농산물 - 농가수,Statistics,7.0,11.0,7.0,8.0,9.0,8.0,6.0,7.0,6.0,6.0
강남구 - 무농약농산물 - 면적,Statistics,2.0,2.0,1.9,1.5,1.46,1.41,0.78,0.75,0.85,0.78
강남구 - 무농약농산물 - 출하량,Statistics,80.0,120.0,61.6,89.1,94.78,87.98,30.17,95.87,102.63,80.95
강남구 - 유기농산물 - 건수,Statistics,1.0,,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0
강남구 - 유기농산물 - 농가수,Statistics,1.0,,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0
강남구 - 유기농산물 - 면적,Statistics,,,,,,,,,,0.0
강남구 - 유기농산물 - 출하량,Statistics,,,3.0,3.0,5.05,4.1,1.18,3.49,1.48,1.0
강동구 - 계 - 건수,Statistics,25.0,27.0,21.0,15.0,18.0,20.0,18.0,18.0,16.0,15.0
