item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 계 - 건수,Statistics,73.0,78.0,82.0,73.0,72.0,73.0,82.0,81.0,77.0,87.0
가평군 - 계 - 농가수,Statistics,73.0,78.0,82.0,73.0,72.0,73.0,82.0,81.0,77.0,87.0
가평군 - 계 - 출하량,Statistics,1704.0,4429.0,2111.7,1528.0,5729.87,3531.12,5062.76,6273.6,6412.19,6956.85
가평군 - 무항생제축산물 - 건수,Statistics,73.0,78.0,82.0,73.0,72.0,73.0,82.0,81.0,77.0,87.0
가평군 - 무항생제축산물 - 농가수,Statistics,73.0,78.0,82.0,73.0,72.0,73.0,82.0,81.0,77.0,87.0
가평군 - 무항생제축산물 - 출하량,Statistics,1704.0,4429.0,2111.7,1528.0,5729.87,3531.12,5062.76,6273.6,6412.19,6956.85
강남구 - 계 - 건수,Statistics,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
강남구 - 계 - 농가수,Statistics,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
강남구 - 계 - 출하량,Statistics,2621.0,2933.0,462.0,2819.0,2742.56,2932.61,2896.8,3046.08,3062.83,3181.09
강남구 - 무항생제축산물 - 건수,Statistics,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
강남구 - 무항생제축산물 - 농가수,Statistics,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
강남구 - 무항생제축산물 - 출하량,Statistics,2621.0,2933.0,462.0,2819.0,2742.56,2932.61,2896.8,3046.08,3062.83,3181.09
강동구 - 계 - 건수,Statistics,,1.0,,,,,,,,
강동구 - 계 - 농가수,Statistics,,1.0,,,,,,,,
강동구 - 무항생제축산물 - 건수,Statistics,,1.0,,,,,,,,
강동구 - 무항생제축산물 - 농가수,Statistics,,1.0,,,,,,,,
강릉시 - 계 - 건수,Statistics,14.0,24.0,14.0,8.0,18.0,11.0,13.0,13.0,11.0,10.0
강릉시 - 계 - 농가수,Statistics,35.0,43.0,20.0,8.0,18.0,11.0,13.0,13.0,11.0,10.0
강릉시 - 계 - 출하량,Statistics,1184.0,2489.0,2773.6,1584.0,2882.88,1184.62,1929.17,2593.85,2259.31,2755.64
강릉시 - 무항생제축산물 - 건수,Statistics,14.0,24.0,13.0,7.0,17.0,11.0,13.0,13.0,11.0,10.0
강릉시 - 무항생제축산물 - 농가수,Statistics,35.0,43.0,19.0,7.0,17.0,11.0,13.0,13.0,11.0,10.0
강릉시 - 무항생제축산물 - 출하량,Statistics,1184.0,2489.0,2771.5,1582.0,2882.88,1184.62,1929.17,2593.85,2259.31,2755.64
강릉시 - 유기축산물 - 건수,Statistics,,,1.0,1.0,1.0,,,,,
강릉시 - 유기축산물 - 농가수,Statistics,,,1.0,1.0,1.0,,,,,
강릉시 - 유기축산물 - 출하량,Statistics,,,2.1,2.0,,,,,,
강원특별자치도 - 계 - 건수,Statistics,235.0,360.0,298.0,279.0,312.0,301.0,362.0,425.0,478.0,500.0
강원특별자치도 - 계 - 농가수,Statistics,519.0,602.0,533.0,329.0,312.0,301.0,362.0,425.0,478.0,500.0
강원특별자치도 - 계 - 출하량,Statistics,45653.0,57326.0,253297.9,32454.0,42769.09,35959.37,42948.89,65030.2,71354.71,79680.36
강원특별자치도 - 무항생제축산물 - 건수,Statistics,223.0,346.0,283.0,266.0,301.0,291.0,347.0,410.0,464.0,485.0
강원특별자치도 - 무항생제축산물 - 농가수,Statistics,507.0,588.0,518.0,316.0,301.0,291.0,347.0,410.0,464.0,485.0
강원특별자치도 - 무항생제축산물 - 출하량,Statistics,41858.0,52970.0,249080.5,29128.0,39858.59,33357.09,39332.86,61095.21,66526.66,73991.38
강원특별자치도 - 유기축산물 - 건수,Statistics,12.0,14.0,15.0,13.0,11.0,10.0,15.0,15.0,14.0,15.0
강원특별자치도 - 유기축산물 - 농가수,Statistics,12.0,14.0,15.0,13.0,11.0,10.0,15.0,15.0,14.0,15.0
강원특별자치도 - 유기축산물 - 출하량,Statistics,3795.0,4356.0,4217.4,3326.0,2910.51,2602.28,3616.03,3935.0,4828.06,5688.98
