item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강남구 - 주택월세통합가격지수,Statistics,99.12906789,99.45146816,98.41964463,98.81580062,97.6113699,97.2897139,99.38322494,101.9941735,101.1568829,99.74305489,101.6802275
강동구 - 주택월세통합가격지수,Statistics,100.742199,101.1892422,98.96138024,98.86030783,98.17056166,97.52528309,99.29769121,102.1943136,100.8161779,100.5915995,100.5013973
강릉시 - 주택월세통합가격지수,Statistics,98.37188217,98.88191499,99.19883029,100.0813047,98.69499096,98.2687748,98.70577222,102.3595399,105.7010106,105.4158376,103.7768303
강북구 - 주택월세통합가격지수,Statistics,99.3425368,99.71987045,99.78591875,99.59402035,99.5238487,99.28852454,99.68428085,101.29241,101.9400044,102.0033856,102.8848806
강서구 - 주택월세통합가격지수,Statistics,98.95118483,99.12902124,99.32395687,99.36598204,98.99502374,99.05388201,99.75481862,100.5177517,100.585835,100.6626921,102.5998072
강원특별자치도 - 주택월세통합가격지수,Statistics,100.558233,100.8360358,100.9191588,101.2837509,99.60229566,97.87181415,99.15842114,101.0833429,102.1706943,102.5692518,103.8409148
거제시 - 주택월세통합가격지수,Statistics,141.9319266,141.6563555,135.7251208,124.7365942,100.4280399,99.54236866,99.81794211,100.0387893,101.1739641,100.5946697,99.66145811
경기도 - 주택월세통합가격지수,Statistics,98.43127822,98.71248088,98.8179283,98.88979755,98.07812833,97.45566207,99.12358228,102.4499582,102.7371592,102.4640603,104.4550709
경산시 - 주택월세통합가격지수,Statistics,100.5109569,100.9812146,100.1748387,99.86254569,99.36479904,99.12936582,99.59498409,100.2854426,100.2561503,98.19549307,96.74107442
경상남도 - 주택월세통합가격지수,Statistics,109.903744,110.1472838,109.076933,106.1181069,101.2155007,98.90905702,99.64803886,101.6301134,103.7826028,103.4264041,103.7103292
경상북도 - 주택월세통합가격지수,Statistics,104.0556984,104.1823483,103.1853819,102.2144065,100.3772742,99.22266309,99.55019966,101.1376842,102.6729074,102.9292668,103.2624541
경주시 - 주택월세통합가격지수,Statistics,108.1219993,108.5080679,108.0479622,106.9234285,101.1630709,98.72206262,99.61220525,100.852623,103.1194535,103.4166759,103.858406
계룡시 - 주택월세통합가격지수,Statistics,100.1273685,97.13848382,97.58104898,98.47432323,98.53930203,98.35479658,98.73120893,101.3320338,100.5083435,103.1696114,105.8977012
계양구 - 주택월세통합가격지수,Statistics,98.20219908,98.65260765,99.03000507,99.54593381,99.42440884,99.12580521,99.49383016,101.963857,102.6674091,101.5908805,103.6739323
고양시 - 주택월세통합가격지수,Statistics,98.54067445,98.72698141,99.50736566,99.60726999,98.79825193,98.33162048,99.50460423,102.5707505,101.9971902,100.9588404,104.7015795
공주시 - 주택월세통합가격지수,Statistics,99.25250939,98.73613728,98.06556076,97.92076536,97.78466222,97.7433851,99.00629533,100.9268367,101.7645844,101.8523991,102.709625
과천시 - 주택월세통합가격지수,Statistics,100.4909174,99.99346128,99.51010675,98.92306214,98.6714201,101.5306386,100.4137033,101.4962233,101.096815,100.6497627,103.2314065
관악구 - 주택월세통합가격지수,Statistics,98.0146426,98.47789122,99.01912427,99.17015929,99.2897892,99.01960556,99.70053308,100.3426808,100.5592819,100.4024292,102.2133315
광명시 - 주택월세통합가격지수,Statistics,98.35686823,98.734475,98.8707831,98.69788345,98.15872598,98.37198524,99.87925406,100.7510008,100.4804158,103.1383052,106.0010653
광산구 - 주택월세통합가격지수,Statistics,97.66740623,98.2972506,98.42814083,98.68542631,98.81374579,98.70197485,99.48402024,101.0821842,101.1420734,100.6111629,101.111244
광양시 - 주택월세통합가격지수,Statistics,97.64570314,97.5436622,97.23490826,96.94322175,96.94349674,97.75206425,99.27848367,100.5557936,99.59600164,99.10406398,98.75238232
광주광역시 - 주택월세통합가격지수,Statistics,99.37471943,99.51589513,99.2310811,99.19264633,99.2287536,98.98863616,99.54573511,100.8822862,100.6279707,100.0227076,100.8479828
광주시 - 주택월세통합가격지수,Statistics,97.69435864,97.87512588,98.17578758,98.48051623,98.05702648,97.89718275,98.67413263,102.6622727,103.6507898,102.494433,103.6330952
광진구 - 주택월세통합가격지수,Statistics,99.64999787,99.41776562,99.4717957,99.37938154,99.26818336,99.15952071,99.58859637,100.9035567,101.3678353,102.0354479,104.3319608
구로구 - 주택월세통합가격지수,Statistics,97.56729722,98.29824996,98.84145094,98.83492201,98.66647041,98.74857016,99.70055771,100.2895575,100.2784011,100.6812627,103.0693571
구리시 - 주택월세통합가격지수,Statistics,98.81505958,98.4804384,98.36632626,98.30262025,97.03810817,96.76313872,99.11013505,101.6802161,100.9287728,100.6343462,103.2905004
구미시 - 주택월세통합가격지수,Statistics,107.9145011,107.7732631,105.9006768,102.3079066,100.5628559,99.16027404,99.26212958,102.008892,105.6233376,105.7421221,104.4808627
군산시 - 주택월세통합가격지수,Statistics,103.2952812,103.085544,102.6537345,102.1872,100.4794858,99.36623468,99.45250942,102.8692667,106.7398344,106.869307,106.9493593
군포시 - 주택월세통합가격지수,Statistics,100.3903417,100.9797485,100.0191251,99.94032743,99.36256617,98.62003452,99.65422439,101.2495118,101.8568418,100.8031519,102.6781552
금정구 - 주택월세통합가격지수,Statistics,101.3956133,101.1348255,100.960638,100.8339694,99.74282343,98.87262003,99.63877795,100.9735446,102.7910442,101.2754578,100.6364694
금천구 - 주택월세통합가격지수,Statistics,99.24089138,99.28195816,99.38975756,99.57242129,99.28712632,99.21691052,99.75659486,100.5201561,101.0149191,101.2306497,103.594858
기장군 - 주택월세통합가격지수,Statistics,96.97968042,97.1958994,97.59158711,98.05173001,96.99144296,96.63188987,97.20595887,102.4461144,100.3807525,98.6148693,99.00109649
김제시 - 주택월세통합가격지수,Statistics,99.7611896,99.87005838,99.85815159,99.85852483,99.77964848,99.81899613,99.93206436,100.2252756,100.8729143,100.7671858,101.1501334
김천시 - 주택월세통합가격지수,Statistics,102.3578686,101.8285465,100.7689575,100.2171973,99.66678459,98.58292206,98.90496241,100.9353014,101.7660456,102.9208541,105.0645306
김포시 - 주택월세통합가격지수,Statistics,98.92656968,99.25167624,99.54024607,99.85908543,98.95796805,98.89138422,99.66793644,103.0856264,100.5271208,99.97194803,102.7474463
김해시 - 주택월세통합가격지수,Statistics,111.4018985,112.2208408,112.0610472,111.3069106,106.7504912,99.45421201,99.603487,102.3100445,103.7198182,103.1331656,103.5951488
나주시 - 주택월세통합가격지수,Statistics,101.5333751,101.6491221,100.8080946,100.5378133,100.4168839,100.2407223,99.93823942,101.3678503,100.3574283,98.76749346,98.77383374
남구 - 주택월세통합가격지수,Statistics,96.65901183,97.77032864,98.60527906,99.00376215,98.35113497,98.01907902,99.12272991,101.5893334,103.3026702,102.5898515,102.7231251
남동구 - 주택월세통합가격지수,Statistics,95.28697039,95.71771612,96.23099564,96.52370587,96.44256906,95.91199132,97.85941056,100.685419,100.2119789,98.46498781,102.4107654
남양주시 - 주택월세통합가격지수,Statistics,95.66912188,96.20990891,96.05438942,95.88307938,95.25092586,94.84903374,96.88809372,103.3991112,102.465716,100.2755027,101.5360496
남원시 - 주택월세통합가격지수,Statistics,99.94052921,99.58759878,99.54862606,99.94393256,100.3038562,100.3022797,100.0080147,100.0118901,100.6702706,100.3722189,100.6325603
노원구 - 주택월세통합가격지수,Statistics,98.78788652,98.60081828,98.57358191,98.56220685,98.26820507,98.34360713,99.35816493,101.2118222,103.075353,103.6955521,107.2979867
논산시 - 주택월세통합가격지수,Statistics,101.9849425,100.9947356,100.3000335,100.2278122,99.86994045,99.66077876,99.76956932,100.6346592,100.6341024,100.688991,101.0178088
달서구 - 주택월세통합가격지수,Statistics,96.80490636,97.10232339,96.37480457,95.96428046,95.89570205,96.25914306,98.72570601,100.2956921,93.98060532,89.18711736,87.05423621
달성군 - 주택월세통합가격지수,Statistics,99.09299528,99.34967077,96.21606168,96.01127293,95.77789462,97.7497898,98.92053371,100.9764298,98.13464719,95.84714823,94.54906276
당진시 - 주택월세통합가격지수,Statistics,104.7445982,105.7129413,104.5985874,104.0285692,102.3947794,100.8805399,100.1399455,100.8944944,101.8005155,101.0213221,99.6027909
대구광역시 - 주택월세통합가격지수,Statistics,97.82832236,98.44086816,97.60151544,97.27981253,97.15466794,97.60339151,98.94888435,100.5725817,97.77919688,94.35929406,92.14029526
대덕구 - 주택월세통합가격지수,Statistics,98.15303662,98.55245938,98.58068176,98.45575752,98.07577665,97.7731137,98.82201993,101.6678844,101.3251946,101.8262849,102.8605954
대전광역시 - 주택월세통합가격지수,Statistics,95.32179745,95.25286977,95.15859622,94.84666258,94.61643992,94.867534,97.75681008,102.2564708,101.5453647,102.2206549,103.1063559
도봉구 - 주택월세통합가격지수,Statistics,99.283281,99.72404926,99.63615411,99.20514359,98.92086424,98.90472302,99.48109337,102.0160115,103.5753039,103.5102451,105.4310413
동구 - 주택월세통합가격지수,Statistics,98.44076829,98.94347012,99.19375615,99.58744551,99.41498366,99.37615559,99.6682715,100.3179856,100.5340336,100.1347457,101.1457811
동대문구 - 주택월세통합가격지수,Statistics,98.84595131,99.20572859,99.2926358,99.07053096,98.9441549,98.80988623,99.65676537,101.7907554,102.1515852,102.9128327,105.3911338
동두천시 - 주택월세통합가격지수,Statistics,99.03736304,98.17899566,98.12865292,98.50149022,98.13541666,97.57480152,97.82364578,101.823579,101.3228538,98.1499118,98.11087514
동래구 - 주택월세통합가격지수,Statistics,101.9968681,102.1234869,102.480331,102.5210978,101.0154383,98.65324205,99.18857657,100.3815204,100.7865492,99.17835846,98.07104731
동작구 - 주택월세통합가격지수,Statistics,97.37062458,97.67229275,98.06845876,98.18523358,97.53291499,97.89694411,99.25297673,102.1174229,100.9729945,99.27325734,100.4657982
동해시 - 주택월세통합가격지수,Statistics,101.8634846,103.1160986,103.4501684,104.2169407,102.4477356,99.962325,99.87179974,100.9462775,101.8473679,103.124103,105.8695963
마포구 - 주택월세통합가격지수,Statistics,96.75915929,96.70247072,96.79096341,97.21821095,97.76011152,97.7243443,98.98120607,100.6747827,100.936827,101.2409161,104.2051071
목포시 - 주택월세통합가격지수,Statistics,100.2388913,100.7052942,101.0948933,101.0831977,100.9767211,100.7469881,100.1615139,100.4880683,100.3590452,100.0563277,99.9128359
무안군 - 주택월세통합가격지수,Statistics,99.9918708,99.76709281,100.0825677,100.519385,100.5124628,100.1612895,99.94160034,100.4220532,100.4829174,100.309647,100.143343
문경시 - 주택월세통합가격지수,Statistics,100.5167798,100.4709918,100.279835,100.1936954,100.1190765,100.1224234,99.97982823,100.227067,100.6021655,101.1145415,102.6170006
미추홀구 - 주택월세통합가격지수,Statistics,99.02338465,99.36156711,99.57840543,99.81263213,99.84993529,99.13054503,99.73642247,101.8931533,103.8114348,102.4504734,106.7154151
밀양시 - 주택월세통합가격지수,Statistics,100.3763391,100.5106856,100.7888702,101.0149236,100.8513179,100.077183,99.77286351,101.4590836,102.2900667,102.5797363,103.9456088
보령시 - 주택월세통합가격지수,Statistics,101.9320324,102.9921103,102.0360634,101.8542584,100.9313498,100.0523101,99.95974082,100.7951975,101.3596261,102.5611119,104.1902578
부산광역시 - 주택월세통합가격지수,Statistics,100.1308535,100.3049066,100.4484151,100.3962587,99.60664376,98.68108984,99.22765389,101.7094627,102.8122691,101.2389868,101.6092312
부산진구 - 주택월세통합가격지수,Statistics,102.8961346,102.3899906,102.1554349,101.8153609,100.9357229,99.47700644,99.75513487,102.2200828,103.1320479,98.91736585,98.94422511
부천시 - 주택월세통합가격지수,Statistics,96.58178426,97.08923647,97.49468922,97.77262776,97.65997545,97.75944626,98.9269976,100.4175862,102.7621813,103.4553058,106.0179114
부평구 - 주택월세통합가격지수,Statistics,99.45356625,99.12303577,99.83168254,100.0563475,99.79623704,99.34975655,99.64524063,101.255988,102.6238662,101.222905,106.5033219
북구 - 주택월세통합가격지수,Statistics,100.2173258,100.2368395,100.2773859,100.1166489,99.70259316,99.07585201,99.31019257,100.5962919,100.8116406,100.0326513,101.1496514
사상구 - 주택월세통합가격지수,Statistics,100.6328443,101.3084179,101.9184257,102.1649492,101.8807295,99.26416874,99.54794073,101.171698,104.2760144,103.0362912,104.3801155
사천시 - 주택월세통합가격지수,Statistics,96.79830629,98.38317318,99.99955847,101.3802641,100.8220099,100.1478265,99.82046094,100.142353,100.5973198,100.4437184,101.1333667
사하구 - 주택월세통합가격지수,Statistics,98.78983407,99.03657833,99.23427925,98.96257341,98.59353846,97.96609949,98.32999371,101.0286567,103.6927681,103.1799304,103.4104815
삼척시 - 주택월세통합가격지수,Statistics,100.8210066,100.8888542,100.7599252,100.767963,99.81826806,99.80623141,99.81662429,100.2865383,101.0094496,101.7510784,101.915591
상주시 - 주택월세통합가격지수,Statistics,100.7245686,100.8591069,100.3305226,100.1578596,100.1834683,100.2463606,99.98077564,100.0214597,100.1365831,100.2697731,103.3463449
서구 - 주택월세통합가격지수,Statistics,97.17483688,97.46798357,97.52832666,97.49656303,97.07909733,97.13311276,98.18690282,101.9418755,101.4023338,100.7059301,107.6872751
서귀포시 - 주택월세통합가격지수,Statistics,101.6945294,104.3686295,104.6006827,104.693615,103.2445031,101.0111422,99.83559282,101.5791256,102.7154957,102.1007633,101.0454432
서대문구 - 주택월세통합가격지수,Statistics,98.77688945,98.85486641,98.76784834,99.19940903,99.38014221,99.17734864,99.75292143,101.3927904,101.548835,101.8439446,104.5019795
서산시 - 주택월세통합가격지수,Statistics,104.2725607,104.8137224,104.3750026,103.4255036,99.36149004,97.54845903,98.75269964,101.939335,103.9801078,102.8031019,104.6148874
서울특별시 - 주택월세통합가격지수,Statistics,98.67599511,98.93650901,98.80041935,98.85124895,98.50334465,98.44791038,99.51996599,101.3269924,101.3051573,101.2078532,103.3977179
서초구 - 주택월세통합가격지수,Statistics,98.03107271,98.37361026,97.51646056,97.2085058,96.64080766,96.78785658,98.96922393,102.5762374,101.1148468,99.3880379,102.2602207
성남시 - 주택월세통합가격지수,Statistics,96.57670776,96.90771604,96.96415683,97.76386258,97.31405929,97.52917719,99.68632132,100.8911344,99.89072568,102.1814804,105.2639012
성동구 - 주택월세통합가격지수,Statistics,98.15443562,98.08027747,98.03930815,97.83185977,97.75373123,97.87934653,99.50258514,101.4437743,101.2475777,102.1267434,106.678554
성북구 - 주택월세통합가격지수,Statistics,98.49193776,98.85495993,98.69838961,98.68013196,98.76382979,98.42168985,99.35265067,100.8741347,101.2263536,101.2131294,103.5872711
세종특별자치시 - 주택월세통합가격지수,Statistics,90.85806256,90.65686928,91.02658049,84.89250078,85.31985181,84.96380712,98.52376138,98.85076551,92.90797574,94.0246842,91.8099593
속초시 - 주택월세통합가격지수,Statistics,101.1608574,101.7130816,101.5085486,102.0719357,101.1328947,99.75893834,99.64442474,102.4412813,104.3411048,102.4024064,103.8773917
송파구 - 주택월세통합가격지수,Statistics,97.83372244,99.25485168,99.01617833,99.35340423,97.57659383,97.9827764,99.69133197,102.6765427,101.143965,100.2827832,101.6697143
수성구 - 주택월세통합가격지수,Statistics,96.70667318,97.73673906,97.47239419,97.526446,97.4769011,97.61242266,99.03549655,101.1514697,98.18098719,94.18944706,90.69862409
수영구 - 주택월세통합가격지수,Statistics,99.74574412,100.3564133,100.2842372,99.9132442,99.41149126,99.21981531,99.64930103,101.1691126,101.9040474,100.6249587,103.3790376
수원시 - 주택월세통합가격지수,Statistics,96.57953161,97.38673176,97.70582472,97.77086036,97.21142023,96.15848034,99.24830922,102.4917452,103.481244,104.9091625,108.0830424
순천시 - 주택월세통합가격지수,Statistics,97.42620881,96.93541412,97.07669887,97.11284125,97.50805253,97.89264309,99.56806726,101.3965171,100.7425421,100.1046675,100.4839744
시흥시 - 주택월세통합가격지수,Statistics,99.44950039,99.78244501,99.3784246,99.3054385,98.50922251,97.90357824,98.70428956,106.4108342,106.9171245,105.3570914,109.1806599
아산시 - 주택월세통합가격지수,Statistics,101.4750656,102.3877503,101.8180716,100.4256787,98.33193391,98.02877444,99.28217877,102.1158208,103.6279202,102.4635983,102.39635
안동시 - 주택월세통합가격지수,Statistics,105.9378289,103.7294177,102.5616933,102.1740375,99.80146655,99.46051538,99.61476812,101.4774035,103.17754,102.8756932,104.6443984
안산시 - 주택월세통합가격지수,Statistics,100.9159526,101.3219853,100.8727329,100.8091217,99.35896595,99.29377465,99.59193208,102.704123,104.7591732,106.4114607,109.1872183
안성시 - 주택월세통합가격지수,Statistics,100.0549941,101.7518969,101.8380962,101.9170225,99.15222975,98.81548156,99.32729677,106.2852709,110.165491,107.0641787,102.6711403
안양시 - 주택월세통합가격지수,Statistics,98.39371113,98.73946578,98.21231753,98.2705903,97.95645918,98.01403217,99.64141838,101.0134957,103.1487759,103.8200546,105.3847983
양산시 - 주택월세통합가격지수,Statistics,96.91650293,96.83399138,96.9653341,96.4622045,95.957213,95.23598788,97.8942634,101.4965755,101.4976413,99.80728787,98.96770386
양주시 - 주택월세통합가격지수,Statistics,101.183613,100.221911,100.2433649,100.4682812,100.0450122,98.62008439,98.74684659,101.1631338,97.18625854,91.15710009,92.50667522
양천구 - 주택월세통합가격지수,Statistics,99.9437037,100.1050728,100.1128243,100.1760397,99.22308366,98.9447338,99.71915582,100.8256877,101.0530745,102.0278286,104.002442
여수시 - 주택월세통합가격지수,Statistics,96.37492424,96.28564438,96.49310131,97.19254836,97.61378962,97.82664217,98.92118063,101.8748186,101.240485,100.1134504,100.9037419
여주시 - 주택월세통합가격지수,Statistics,99.60335276,99.75173654,100.0276298,100.3478152,100.0586278,99.81357813,99.78914774,100.9015969,101.3236942,100.1823638,101.2200122
연수구 - 주택월세통합가격지수,Statistics,91.93497774,92.257266,92.8005947,93.00913139,91.80108278,90.18876062,95.35872381,110.7249429,110.9497327,111.0858602,112.4788256
연제구 - 주택월세통합가격지수,Statistics,103.3422344,102.3631781,101.7568337,101.0302956,99.08416936,98.28387468,99.3029531,101.8969527,101.4882986,100.0862078,100.2244695
영도구 - 주택월세통합가격지수,Statistics,100.5949994,100.9427204,100.941708,101.0943403,100.5749346,99.9636706,99.93108941,100.986079,100.9424578,99.30438173,99.59642787
영등포구 - 주택월세통합가격지수,Statistics,98.50677431,98.47271512,98.52608249,98.64458365,99.32539775,99.0265806,99.72578012,100.6858349,100.7797608,100.5524695,103.8038243
영주시 - 주택월세통합가격지수,Statistics,100.221491,100.3918346,99.62934428,99.26910422,99.152016,99.40845615,99.66937009,100.4626796,101.609168,102.2026375,103.5591235
영천시 - 주택월세통합가격지수,Statistics,101.8666093,101.9659257,101.4789329,100.9655095,100.872144,100.43734,99.87568157,100.2227032,100.7393405,100.9607492,103.1632243
예산군 - 주택월세통합가격지수,Statistics,97.10274027,98.58112109,98.25124281,98.60347723,98.51392589,98.56585808,99.46411229,100.468022,100.9387555,100.589204,100.4071795
오산시 - 주택월세통합가격지수,Statistics,100.1565291,100.1247783,100.6355489,100.2464563,97.31313222,95.71756953,98.3913392,102.9886358,102.1864184,102.9930757,104.2703089
용산구 - 주택월세통합가격지수,Statistics,98.33492693,98.41952092,98.66030931,98.72775685,98.62893005,98.587895,99.4606269,100.7028299,100.4727954,101.3232566,105.0823322
용인시 - 주택월세통합가격지수,Statistics,98.72623805,98.99040901,99.15414226,99.00407619,97.56411012,96.23935464,99.18005933,101.7980826,100.5057847,100.3392886,101.8969143
울산광역시 - 주택월세통합가격지수,Statistics,107.3795163,107.6169827,106.2975288,105.3042197,97.1369908,93.78333861,98.56891607,104.3393494,108.1199886,107.1079209,108.6911515
울주군 - 주택월세통합가격지수,Statistics,104.888251,105.2952221,104.716017,104.6469872,100.4004756,97.90962521,99.32073125,104.0372203,107.8448448,107.4994251,109.3477186
원주시 - 주택월세통합가격지수,Statistics,102.7791349,102.7679869,102.8464149,103.0105925,99.37392793,95.35193061,98.63073372,100.9157445,100.9757407,101.4221669,103.6782519
유성구 - 주택월세통합가격지수,Statistics,93.95118151,93.80346472,93.63826762,93.03371054,92.77699864,92.97724812,97.4794034,102.7849391,101.9583865,102.7207354,103.8856542
은평구 - 주택월세통합가격지수,Statistics,98.80383395,98.55816413,98.60270192,98.511311,98.32907645,98.42030705,99.37429341,100.7030534,100.9793304,100.6988194,102.7465188
음성군 - 주택월세통합가격지수,Statistics,105.6019173,105.3467468,104.9399946,102.5456172,98.891047,97.75937946,98.41823391,102.9921425,104.10214,105.8770454,108.1131098
