item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강남구 - 주택월세가격지수,Statistics,105.0385205,103.6904012,102.0988874,100.9842494,100.7981787,99.91236689,99.80083104,101.709058,101.8753722,102.5143935,105.0968317
강동구 - 주택월세가격지수,Statistics,104.6081179,103.9665158,101.0318075,99.14059446,99.07717896,99.53652818,99.69491945,104.3295247,102.1154061,105.1943661,105.1774026
강릉시 - 주택월세가격지수,Statistics,101.7760454,101.465122,101.5599139,101.1575912,99.32469253,99.28680987,99.10708074,101.0377077,103.7638917,105.3453966,104.1202869
강북구 - 주택월세가격지수,Statistics,101.9757167,101.4794316,101.2384804,100.8638937,100.5492667,100.4632341,100.0603076,102.4112427,103.7355374,105.5167179,106.3859559
강서구 - 주택월세가격지수,Statistics,103.3517235,102.1165782,101.6840905,101.031546,100.2984783,100.0166908,100.0195197,99.08330654,101.3164684,102.8475578,105.0246872
강원특별자치도 - 주택월세가격지수,Statistics,101.7799887,101.6287309,101.2597874,101.073509,99.84553026,98.76442498,99.52354112,100.2541147,101.1807938,102.6715119,104.3004813
거제시 - 주택월세가격지수,Statistics,143.0075736,142.294056,135.6042248,125.14446,100.8215464,100.0633234,100.0714005,99.74594438,101.7253694,101.8485617,100.5253337
경기도 - 주택월세가격지수,Statistics,101.8619181,101.1741967,100.6815455,100.5225927,100.5676785,99.803279,99.74169718,102.0054964,104.3364123,106.095321,107.8278436
경산시 - 주택월세가격지수,Statistics,99.68314942,99.84813948,99.67773369,99.62186001,99.4978792,99.59976944,99.80294143,100.1321601,100.4063581,99.36525587,98.34764354
경상남도 - 주택월세가격지수,Statistics,111.1220231,111.1138548,109.2692925,106.3947845,101.578396,99.85490527,99.82738028,101.1519197,103.5305168,104.9385332,104.970252
경상북도 - 주택월세가격지수,Statistics,103.781322,103.6207142,102.8083461,102.0209763,100.555584,99.75345124,99.84593015,100.8870713,102.6471988,104.1013212,104.7884496
경주시 - 주택월세가격지수,Statistics,108.232144,108.5077398,108.1082356,107.0736577,101.5354084,99.21958003,99.84642319,100.7505738,103.1334284,104.0058837,104.8985419
계룡시 - 주택월세가격지수,Statistics,101.9415291,99.04903287,99.59139686,100.1228738,100.1047722,99.8207655,99.42382545,101.0977129,100.9110856,105.3539636,107.6999977
