item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강남구 - 아파트월세통합가격지수,Statistics,98.62884079,98.96484577,97.67926748,98.28713885,96.85787253,96.50921602,99.25351702,102.2587285,101.0610778,99.13785782,101.5788681
강동구 - 아파트월세통합가격지수,Statistics,101.3243848,101.6910874,98.60970794,98.33806439,97.33459585,96.52914496,99.11287291,103.1864356,101.0308922,101.1175672,101.4556857
강릉시 - 아파트월세통합가격지수,Statistics,95.49642699,96.22865264,96.72789355,98.32588099,97.26701466,96.80367427,97.67382177,103.361855,107.7504767,107.2074053,104.4652089
강북구 - 아파트월세통합가격지수,Statistics,97.74241566,98.62799657,98.89586512,98.55793627,98.8738668,98.71049033,99.73724491,103.2731099,104.8716195,105.1617305,107.0687781
강서구 - 아파트월세통합가격지수,Statistics,98.36626058,98.88684284,98.85386941,98.76649672,98.3702045,98.56654435,99.65568159,100.8391853,100.9851793,101.2341935,103.9328269
강원특별자치도 - 아파트월세통합가격지수,Statistics,100.6155776,101.0376397,101.3845176,101.9674102,99.56266313,96.75575884,98.73923979,101.6612602,103.2341273,103.7177601,105.4170741
거제시 - 아파트월세통합가격지수,Statistics,161.4108156,161.045015,151.6049812,134.552436,99.85197646,99.3118495,99.73000225,100.0683613,101.9136177,101.2658586,99.56199302
경기도 - 아파트월세통합가격지수,Statistics,97.81827527,98.17990851,98.33890452,98.34498843,97.21237532,96.41199652,98.78991994,103.2695234,103.3911956,103.0662953,105.5129717
경산시 - 아파트월세통합가격지수,Statistics,101.0421085,101.5984458,100.3552694,99.86951129,99.07914055,98.74526478,99.41737918,100.399945,100.374103,97.91577652,96.00499326
경상남도 - 아파트월세통합가격지수,Statistics,113.8374699,114.0768614,112.8373533,108.2161579,101.2916235,98.05503313,99.40994258,102.4876306,105.7260976,105.3393879,105.6020301
경상북도 - 아파트월세통합가격지수,Statistics,107.3734756,107.6044869,105.6866087,103.7188333,100.4183043,98.46729948,99.11330745,102.2134054,105.2828131,105.7871448,106.1764278
