item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강남구 - 아파트월세가격지수,Statistics,106.2812469,104.516434,102.5623943,101.2541063,101.2705749,100.1113886,99.8209716,102.1243713,102.1753466,102.9281246,105.7067628
강동구 - 아파트월세가격지수,Statistics,106.5177143,105.2731777,101.2238725,98.72126027,98.62753311,99.55151434,99.5944261,107.5916577,103.3583105,107.1745053,107.2693845
강릉시 - 아파트월세가격지수,Statistics,101.4305358,100.8307909,100.9671644,100.2360908,98.5353708,98.70958448,98.40578863,101.1474252,104.6331351,107.0372312,104.9150914
강북구 - 아파트월세가격지수,Statistics,103.1050297,102.2881807,101.9022441,101.029668,100.4767267,100.7455554,100.3200644,107.5750762,111.5829571,112.1107192,113.60491
강서구 - 아파트월세가격지수,Statistics,105.5876165,103.8421122,102.6786962,101.5976413,100.5313212,100.0752843,100.0265377,98.29624759,102.6380251,104.4910149,105.8638654
강원특별자치도 - 아파트월세가격지수,Statistics,102.5412482,102.2378711,101.8301741,101.5172295,99.95561063,98.25388822,99.33790997,100.1763953,101.5431652,103.8180876,106.080064
거제시 - 아파트월세가격지수,Statistics,163.3267322,162.3305598,151.5575946,135.3519842,100.4753216,100.0927912,100.1020761,99.88564246,103.1270021,103.4971785,101.2104748
경기도 - 아파트월세가격지수,Statistics,102.6160988,101.6366887,100.9408223,100.694331,100.8349513,99.79641487,99.67359481,102.6514201,105.5674942,107.7250079,109.4710809
경산시 - 아파트월세가격지수,Statistics,99.67805217,99.79937507,99.5706989,99.49002641,99.25751942,99.41598971,99.71371547,100.1838523,100.6756419,99.73017362,98.25285511
경상남도 - 아파트월세가격지수,Statistics,115.4062524,115.24708,112.9772384,108.5976329,101.8893115,99.56252404,99.67929028,101.8768972,105.7987026,108.2687297,108.1631474
경상북도 - 아파트월세가격지수,Statistics,106.4394572,106.2241131,104.8396073,103.3087465,100.7658178,99.50037941,99.69777007,101.772742,105.5195258,108.3976733,109.3251968
경주시 - 아파트월세가격지수,Statistics,116.7795757,117.180564,116.3239477,114.0311541,102.2016085,98.06256665,99.63246088,101.5691636,106.800237,108.5993313,110.5483299
계룡시 - 아파트월세가격지수,Statistics,101.7755349,98.95065186,99.65784738,100.0811047,100.0347908,99.76197664,99.33128496,101.258803,101.1446134,106.1325643,108.7190951
계양구 - 아파트월세가격지수,Statistics,102.5309781,101.2885565,101.1465532,101.4197103,101.4769398,100.9035474,100.2421582,103.5841017,105.087621,104.6922482,107.5446564
고양시 - 아파트월세가격지수,Statistics,102.7479239,101.287283,101.2065251,101.2134267,101.1283856,101.2638146,100.325654,103.2027238,105.5826494,106.324662,110.0727692
공주시 - 아파트월세가격지수,Statistics,101.7642635,100.3314803,98.76661887,98.31503128,99.53639805,99.52806794,99.55136394,100.4429515,99.59975653,107.3269349,108.6964273
과천시 - 아파트월세가격지수,Statistics,106.6845112,103.7624627,102.069855,102.5404334,101.4734046,97.22786175,99.18418562,101.9451259,108.0822672,111.7219512,112.5247804
관악구 - 아파트월세가격지수,Statistics,106.3103045,104.3407046,102.7825201,100.5154815,100.8746625,100.4236494,100.2259484,100.5056464,103.4388042,104.0980132,104.5266777
광명시 - 아파트월세가격지수,Statistics,105.8583116,104.7350871,103.291572,101.6392905,101.8124237,101.2388062,100.2928225,101.1656718,101.993541,107.7008917,110.0015433
광산구 - 아파트월세가격지수,Statistics,102.2031644,101.40546,100.7743404,100.3102974,100.1985273,100.1611519,99.99417098,101.2663163,102.3275687,103.3641911,103.945153
광양시 - 아파트월세가격지수,Statistics,99.61652512,99.38650176,98.95031453,98.24611991,97.60688776,98.04239758,99.50402487,101.5279251,97.82014546,98.62995226,100.7887779
광주광역시 - 아파트월세가격지수,Statistics,102.7047378,101.7949985,100.9497583,100.3528513,100.0622201,99.80222317,99.83438224,101.4561853,101.7050718,102.3333628,103.6382546
광주시 - 아파트월세가격지수,Statistics,97.55478514,96.65972407,96.58508126,96.94388857,96.80442652,96.67226527,97.8566692,103.8008782,107.8656993,110.5441919,111.2321356
광진구 - 아파트월세가격지수,Statistics,109.6464469,105.5752232,104.0618686,102.0391285,101.8389737,100.8659554,100.1875266,100.6980111,102.9298965,108.0876076,111.679123
구로구 - 아파트월세가격지수,Statistics,103.5292181,102.6682839,102.213993,101.0680794,100.9787514,100.9165128,100.4073079,100.2246856,101.8723973,103.3103384,106.9956799
구리시 - 아파트월세가격지수,Statistics,103.8401012,100.6930856,100.2017045,100.0152091,100.6407992,100.8114584,99.51775242,102.4847666,104.4684815,105.6678295,106.9521066
구미시 - 아파트월세가격지수,Statistics,109.0358537,108.7468335,106.9857485,102.4034532,100.8338579,99.77039596,99.62547116,102.4614803,107.8314863,110.3075134,108.9491313
군산시 - 아파트월세가격지수,Statistics,105.1845288,104.3079525,103.3479967,102.177694,101.8136375,101.0742745,100.3003047,98.17156711,100.1462841,102.7806222,105.8469819
군포시 - 아파트월세가격지수,Statistics,105.4623895,104.0566361,101.0686862,100.744911,100.8968459,101.1661898,100.3432711,101.0056313,103.4786962,106.3707083,108.1917461
금정구 - 아파트월세가격지수,Statistics,104.5407156,103.000459,101.2776398,100.9623792,100.4875045,99.94746392,100.0539668,100.5757107,104.1556005,104.2127031,104.5746276
금천구 - 아파트월세가격지수,Statistics,102.435598,102.0675422,101.7558597,101.2421788,100.6060654,99.92937542,99.83283208,99.64550135,102.8856304,105.4770654,108.9761038
기장군 - 아파트월세가격지수,Statistics,100.7738835,99.82525699,99.17859472,100.0106702,98.0058561,98.11645327,97.0843812,102.3116303,104.2863528,104.6080441,105.2934581
김제시 - 아파트월세가격지수,Statistics,101.0560438,100.9108739,100.4246549,100.1604558,100.3416338,100.300861,100.1920593,99.6922855,100.8363693,102.5621324,104.8933847
김천시 - 아파트월세가격지수,Statistics,100.9178584,99.72681734,97.85905184,97.4103274,97.28583704,97.45413097,98.75859452,101.1450021,103.5548217,107.8386318,112.1176522
김포시 - 아파트월세가격지수,Statistics,101.5629497,100.5893252,100.2699773,100.461234,100.6271919,100.6471345,100.1557268,103.6879277,107.3251801,106.989092,109.6198894
