item,category,2020,2021,2022,2023,2024
가평군 - 등록장애인수,Statistics,5226.0,5219.0,5175.0,5064.0,5079.0
강남구 - 등록장애인수,Statistics,15197.0,15174.0,15103.0,15354.0,15434.0
강동구 - 등록장애인수,Statistics,18291.0,18556.0,18570.0,18581.0,18967.0
강릉시 - 등록장애인수,Statistics,13503.0,13546.0,13509.0,13348.0,13199.0
강북구 - 등록장애인수,Statistics,17441.0,17388.0,17155.0,16937.0,16810.0
강서구 - 등록장애인수,Statistics,28708.0,28515.0,28293.0,28168.0,27946.0
강원특별자치도 - 등록장애인수,Statistics,101607.0,101675.0,101498.0,100321.0,99542.0
강진군 - 등록장애인수,Statistics,3329.0,3269.0,3202.0,3130.0,3051.0
강화군 - 등록장애인수,Statistics,5878.0,5890.0,5983.0,5848.0,5833.0
거제시 - 등록장애인수,Statistics,11161.0,11272.0,11378.0,11438.0,11481.0
거창군 - 등록장애인수,Statistics,5052.0,5043.0,5035.0,5018.0,4958.0
경기도 - 등록장애인수,Statistics,569491.0,578120.0,582359.0,583750.0,587910.0
경산시 - 등록장애인수,Statistics,14606.0,14995.0,15160.0,15147.0,15363.0
경상남도 - 등록장애인수,Statistics,188713.0,189499.0,189569.0,188250.0,187756.0
경상북도 - 등록장애인수,Statistics,181322.0,182452.0,182180.0,177997.0,177436.0
경주시 - 등록장애인수,Statistics,16560.0,16627.0,16521.0,16360.0,16273.0
계룡시 - 등록장애인수,Statistics,1615.0,1674.0,1663.0,1747.0,1747.0
계양구 - 등록장애인수,Statistics,14538.0,14888.0,14808.0,14731.0,14739.0
고령군 - 등록장애인수,Statistics,3173.0,3220.0,3232.0,3229.0,3210.0
고성군 - 등록장애인수,Statistics,2254.0,2254.0,2266.0,2230.0,2219.0
고양시덕양구 - 등록장애인수,Statistics,20056.0,20439.0,20683.0,20585.0,20372.0
고양시일산동구 - 등록장애인수,Statistics,10900.0,10969.0,11071.0,11001.0,11080.0
고양시일산서구 - 등록장애인수,Statistics,10884.0,10773.0,10628.0,10563.0,10615.0
고창군 - 등록장애인수,Statistics,5634.0,5618.0,5531.0,5415.0,5274.0
고흥군 - 등록장애인수,Statistics,7493.0,7392.0,7260.0,7042.0,6909.0
곡성군 - 등록장애인수,Statistics,3279.0,3210.0,3151.0,3092.0,3030.0
공주시 - 등록장애인수,Statistics,8803.0,8716.0,8693.0,8559.0,8524.0
과천시 - 등록장애인수,Statistics,1962.0,2173.0,2238.0,2280.0,2424.0
관악구 - 등록장애인수,Statistics,20253.0,20171.0,20151.0,19984.0,19959.0
광명시 - 등록장애인수,Statistics,12927.0,12757.0,12579.0,12289.0,12151.0
광산구 - 등록장애인수,Statistics,17646.0,17591.0,17507.0,17461.0,17516.0
광양시 - 등록장애인수,Statistics,7760.0,7716.0,7794.0,7786.0,7801.0
광주광역시 - 등록장애인수,Statistics,70054.0,69801.0,69388.0,69202.0,69175.0
광주시 - 등록장애인수,Statistics,16539.0,16959.0,17321.0,17452.0,17786.0
광진구 - 등록장애인수,Statistics,12351.0,12249.0,12142.0,12096.0,12023.0
괴산군 - 등록장애인수,Statistics,3833.0,3771.0,3723.0,3619.0,3523.0
구례군 - 등록장애인수,Statistics,2803.0,2745.0,2718.0,2564.0,2571.0
구로구 - 등록장애인수,Statistics,18267.0,18350.0,18444.0,18817.0,19228.0
구리시 - 등록장애인수,Statistics,8750.0,8669.0,8529.0,8522.0,8524.0
구미시 - 등록장애인수,Statistics,16610.0,16774.0,16893.0,17083.0,17310.0
군산시 - 등록장애인수,Statistics,17880.0,17850.0,17779.0,17477.0,17371.0
군위군 - 등록장애인수,Statistics,2544.0,2557.0,2579.0,,
군포시 - 등록장애인수,Statistics,11654.0,11614.0,11655.0,11654.0,11673.0
금산군 - 등록장애인수,Statistics,4790.0,4761.0,4702.0,4606.0,4498.0
금정구 - 등록장애인수,Statistics,11763.0,11682.0,11590.0,11414.0,11275.0
금천구 - 등록장애인수,Statistics,11390.0,11454.0,11562.0,11782.0,11993.0
기장군 - 등록장애인수,Statistics,8404.0,8517.0,8595.0,8644.0,8580.0
김제시 - 등록장애인수,Statistics,9336.0,9326.0,9250.0,9140.0,8958.0
김천시 - 등록장애인수,Statistics,11025.0,10961.0,10919.0,10594.0,10448.0
김포시 - 등록장애인수,Statistics,17894.0,18311.0,18420.0,18676.0,18820.0
김해시 - 등록장애인수,Statistics,24823.0,25079.0,25168.0,25137.0,25212.0
나주시 - 등록장애인수,Statistics,8600.0,8531.0,8425.0,8379.0,8255.0
남구 - 등록장애인수,Statistics,13151.0,13100.0,12772.0,12698.0,12712.0
남동구 - 등록장애인수,Statistics,26482.0,26655.0,26716.0,26676.0,26776.0
남양주시 - 등록장애인수,Statistics,31901.0,32899.0,33148.0,33036.0,33166.0
남원시 - 등록장애인수,Statistics,7777.0,7681.0,7594.0,7451.0,7371.0
남해군 - 등록장애인수,Statistics,4344.0,4294.0,4217.0,4079.0,4000.0
노원구 - 등록장애인수,Statistics,27278.0,26815.0,26432.0,26118.0,25807.0
논산시 - 등록장애인수,Statistics,10615.0,10497.0,10303.0,10085.0,9889.0
단양군 - 등록장애인수,Statistics,2837.0,2770.0,2728.0,2683.0,2658.0
달서구 - 등록장애인수,Statistics,28352.0,28419.0,28326.0,28259.0,28256.0
달성군 - 등록장애인수,Statistics,12401.0,12680.0,12925.0,12997.0,13018.0
담양군 - 등록장애인수,Statistics,3991.0,4023.0,4008.0,3940.0,3887.0
당진시 - 등록장애인수,Statistics,10388.0,10482.0,10608.0,10637.0,10639.0
대구광역시 - 등록장애인수,Statistics,126383.0,127245.0,127332.0,130288.0,130674.0
대덕구 - 등록장애인수,Statistics,10933.0,10901.0,10847.0,10705.0,10693.0
대전광역시 - 등록장애인수,Statistics,72840.0,72461.0,71858.0,71342.0,71344.0
도봉구 - 등록장애인수,Statistics,15422.0,15270.0,15207.0,15087.0,15105.0
