item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 30년 이상 노후주택(A),Statistics,3992.0,4114.0,4195.0,4258.0,4666.0,5297.0,6030.0,6627.0
가평군 - 노후주택비율(A÷B×100),Statistics,16.8,16.9,16.7,16.4,17.6,19.8,21.8,22.8
가평군 - 전체주택(B),Statistics,23823.0,24390.0,25083.0,25995.0,26538.0,26761.0,27601.0,29008.0
강남구 - 30년 이상 노후주택(A),Statistics,47712.0,44790.0,44879.0,40192.0,40971.0,40252.0,50161.0,58670.0
강남구 - 노후주택비율(A÷B×100),Statistics,27.1,25.8,26.2,23.6,23.6,22.9,28.1,31.8
강남구 - 전체주택(B),Statistics,176135.0,173282.0,171431.0,170444.0,173745.0,175536.0,178493.0,184608.0
강동구 - 30년 이상 노후주택(A),Statistics,25293.0,25202.0,26818.0,20878.0,21870.0,22922.0,24810.0,26012.0
강동구 - 노후주택비율(A÷B×100),Statistics,21.8,20.8,21.9,17.0,15.9,15.7,16.7,17.2
강동구 - 전체주택(B),Statistics,116063.0,120940.0,122718.0,123014.0,137876.0,146249.0,148323.0,151178.0
강릉시 - 30년 이상 노후주택(A),Statistics,21895.0,22639.0,24103.0,25640.0,26360.0,28826.0,30948.0,32944.0
강릉시 - 노후주택비율(A÷B×100),Statistics,28.2,28.4,29.4,29.9,30.1,32.3,34.4,36.1
강릉시 - 전체주택(B),Statistics,77779.0,79769.0,81928.0,85780.0,87579.0,89259.0,89894.0,91183.0
강북구 - 30년 이상 노후주택(A),Statistics,11850.0,12113.0,13289.0,15064.0,17017.0,25790.0,28767.0,32058.0
강북구 - 노후주택비율(A÷B×100),Statistics,12.7,12.8,14.0,15.5,17.5,26.4,28.9,31.9
강북구 - 전체주택(B),Statistics,93623.0,94526.0,95097.0,97070.0,97452.0,97840.0,99477.0,100418.0
강서구 - 30년 이상 노후주택(A),Statistics,8341.0,9020.0,9550.0,10898.0,12290.0,15424.0,19811.0,38610.0
강서구 - 노후주택비율(A÷B×100),Statistics,4.5,4.8,5.0,5.6,6.3,7.7,9.8,18.9
강서구 - 전체주택(B),Statistics,184422.0,188176.0,190525.0,193551.0,195383.0,199556.0,201611.0,203887.0
강원특별자치도 - 30년 이상 노후주택(A),Statistics,133285.0,136087.0,141153.0,147405.0,158734.0,174338.0,191155.0,207326.0
강원특별자치도 - 노후주택비율(A÷B×100),Statistics,23.1,23.2,23.4,23.5,24.6,26.6,28.7,30.7
강원특별자치도 - 전체주택(B),Statistics,575967.0,586383.0,603644.0,627376.0,644023.0,654719.0,665631.0,674829.0
강진군 - 30년 이상 노후주택(A),Statistics,8862.0,8959.0,8934.0,9015.0,9275.0,9384.0,9542.0,9729.0
강진군 - 노후주택비율(A÷B×100),Statistics,53.8,54.3,53.7,53.5,53.8,54.3,54.8,55.9
강진군 - 전체주택(B),Statistics,16467.0,16509.0,16627.0,16843.0,17241.0,17267.0,17417.0,17392.0
강화군 - 30년 이상 노후주택(A),Statistics,8501.0,8685.0,8731.0,8808.0,9132.0,9836.0,10194.0,10537.0
강화군 - 노후주택비율(A÷B×100),Statistics,31.9,31.8,31.2,30.7,31.1,32.6,33.3,33.8
강화군 - 전체주택(B),Statistics,26660.0,27350.0,27991.0,28714.0,29323.0,30214.0,30652.0,31136.0
거제시 - 30년 이상 노후주택(A),Statistics,13444.0,13703.0,13433.0,14407.0,15544.0,17424.0,18448.0,20778.0
거제시 - 노후주택비율(A÷B×100),Statistics,15.2,14.8,13.8,14.6,15.6,17.3,18.5,20.8
거제시 - 전체주택(B),Statistics,88240.0,92670.0,97425.0,98994.0,99797.0,100541.0,99916.0,99839.0
거창군 - 30년 이상 노후주택(A),Statistics,9524.0,9631.0,9731.0,9790.0,10179.0,10796.0,11803.0,12234.0
거창군 - 노후주택비율(A÷B×100),Statistics,36.3,36.3,35.8,36.3,37.7,39.8,43.3,44.4
거창군 - 전체주택(B),Statistics,26248.0,26498.0,27188.0,26961.0,27014.0,27149.0,27272.0,27536.0
경기도 - 30년 이상 노후주택(A),Statistics,308651.0,325340.0,352418.0,393542.0,465351.0,530645.0,626059.0,760589.0
경기도 - 노후주택비율(A÷B×100),Statistics,8.1,8.2,8.5,9.0,10.4,11.5,13.2,15.7
경기도 - 전체주택(B),Statistics,3814834.0,3949829.0,4169100.0,4354776.0,4495115.0,4608126.0,4725372.0,4859873.0
경산시 - 30년 이상 노후주택(A),Statistics,10816.0,11326.0,11890.0,12143.0,13968.0,15373.0,17391.0,21167.0
경산시 - 노후주택비율(A÷B×100),Statistics,12.4,12.5,12.8,12.8,14.4,15.3,17.0,20.2
경산시 - 전체주택(B),Statistics,86957.0,90340.0,92790.0,94957.0,96711.0,100790.0,102223.0,104832.0
경상남도 - 30년 이상 노후주택(A),Statistics,236906.0,244810.0,254140.0,269413.0,294400.0,319604.0,361276.0,396895.0
경상남도 - 노후주택비율(A÷B×100),Statistics,20.6,20.5,20.7,21.3,22.7,24.5,27.5,30.0
경상남도 - 전체주택(B),Statistics,1151057.0,1193912.0,1226708.0,1266739.0,1296944.0,1306263.0,1311971.0,1321044.0
경상북도 - 30년 이상 노후주택(A),Statistics,271818.0,278175.0,285437.0,292390.0,314649.0,338585.0,367008.0,395022.0
경상북도 - 노후주택비율(A÷B×100),Statistics,26.9,26.8,26.9,27.0,28.8,30.7,33.1,35.7
경상북도 - 전체주택(B),Statistics,1009941.0,1038274.0,1060505.0,1081216.0,1094306.0,1103666.0,1108186.0,1106957.0
경주시 - 30년 이상 노후주택(A),Statistics,26350.0,27109.0,27501.0,28340.0,30376.0,32320.0,35822.0,41910.0
경주시 - 노후주택비율(A÷B×100),Statistics,27.1,27.0,25.8,25.9,27.7,29.3,32.4,37.4
경주시 - 전체주택(B),Statistics,97285.0,100224.0,106584.0,109332.0,109481.0,110340.0,110705.0,112162.0
계룡시 - 30년 이상 노후주택(A),Statistics,2362.0,808.0,743.0,744.0,998.0,1027.0,1030.0,1074.0
계룡시 - 노후주택비율(A÷B×100),Statistics,14.3,5.0,4.6,4.6,5.8,6.0,5.5,5.3
계룡시 - 전체주택(B),Statistics,16517.0,16277.0,16174.0,16225.0,17152.0,17156.0,18660.0,20206.0
계양구 - 30년 이상 노후주택(A),Statistics,12439.0,13746.0,15761.0,19578.0,26325.0,34266.0,38023.0,41714.0
