item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 빈집비율(A÷B×100),Statistics,12.9,13.2,14.6,16.1,15.6,14.9,15.7,17.9
가평군 - 빈집수(A),Statistics,3077.0,3219.0,3665.0,4175.0,4143.0,3978.0,4344.0,5190.0
가평군 - 전체주택(B),Statistics,23823.0,24390.0,25083.0,25995.0,26538.0,26761.0,27601.0,29008.0
강남구 - 빈집비율(A÷B×100),Statistics,8.1,7.3,8.7,6.4,7.1,6.4,6.7,6.0
강남구 - 빈집수(A),Statistics,14317.0,12603.0,14952.0,10855.0,12417.0,11151.0,11872.0,10998.0
강남구 - 전체주택(B),Statistics,176135.0,173282.0,171431.0,170444.0,173745.0,175536.0,178493.0,184608.0
강동구 - 빈집비율(A÷B×100),Statistics,2.8,5.7,7.1,3.2,3.4,3.7,3.5,3.8
강동구 - 빈집수(A),Statistics,3296.0,6868.0,8685.0,3929.0,4712.0,5371.0,5183.0,5751.0
강동구 - 전체주택(B),Statistics,116063.0,120940.0,122718.0,123014.0,137876.0,146249.0,148323.0,151178.0
강릉시 - 빈집비율(A÷B×100),Statistics,8.4,9.5,11.4,12.1,11.8,11.3,11.4,11.8
강릉시 - 빈집수(A),Statistics,6524.0,7616.0,9367.0,10377.0,10300.0,10065.0,10215.0,10716.0
강릉시 - 전체주택(B),Statistics,77779.0,79769.0,81928.0,85780.0,87579.0,89259.0,89894.0,91183.0
강북구 - 빈집비율(A÷B×100),Statistics,3.3,2.5,2.3,3.4,2.5,2.4,2.5,2.9
강북구 - 빈집수(A),Statistics,3046.0,2391.0,2218.0,3282.0,2482.0,2342.0,2457.0,2870.0
강북구 - 전체주택(B),Statistics,93623.0,94526.0,95097.0,97070.0,97452.0,97840.0,99477.0,100418.0
강서구 - 빈집비율(A÷B×100),Statistics,4.4,3.8,3.6,3.8,3.8,4.2,4.0,4.8
강서구 - 빈집수(A),Statistics,8105.0,7146.0,6896.0,7353.0,7461.0,8392.0,8157.0,9821.0
강서구 - 전체주택(B),Statistics,184422.0,188176.0,190525.0,193551.0,195383.0,199556.0,201611.0,203887.0
강원특별자치도 - 빈집비율(A÷B×100),Statistics,9.7,10.6,12.0,13.4,13.1,12.3,12.1,12.2
강원특별자치도 - 빈집수(A),Statistics,55709.0,62109.0,72384.0,84382.0,84106.0,80738.0,80609.0,82552.0
강원특별자치도 - 전체주택(B),Statistics,575967.0,586383.0,603644.0,627376.0,644023.0,654719.0,665631.0,674829.0
강진군 - 빈집비율(A÷B×100),Statistics,16.0,17.0,17.9,18.8,18.8,18.2,19.0,18.7
강진군 - 빈집수(A),Statistics,2634.0,2799.0,2972.0,3159.0,3238.0,3149.0,3313.0,3260.0
강진군 - 전체주택(B),Statistics,16467.0,16509.0,16627.0,16843.0,17241.0,17267.0,17417.0,17392.0
강화군 - 빈집비율(A÷B×100),Statistics,13.1,13.8,14.0,14.9,14.5,14.9,14.5,15.3
