item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 면적,Statistics,33538.0,38297.0,29383.0,24639.0,16915.0,10086.0,11949.0,11455.0,16166.0,12406.0,22183.0,14715.0,11483.0,12690.0,18245.0,15478.0,10336.0,8624.0
강남구 - 면적,Statistics,1951.0,950.0,1324.0,1663.0,951.0,854.0,1091.0,1994.0,1345.0,1339.0,1312.0,2593.0,906.0,1151.0,1614.0,1892.0,402.0,1135.0
강동구 - 면적,Statistics,779.0,1279.0,880.0,608.0,528.0,387.0,455.0,608.0,1366.0,3050.0,1759.0,1013.0,1597.0,2457.0,1416.0,629.0,1121.0,634.0
강릉시 - 면적,Statistics,15632.0,14262.0,11393.0,12251.0,11359.0,11631.0,10027.0,11161.0,12463.0,12725.0,14125.0,13019.0,11625.0,10705.0,14917.0,11062.0,11009.0,7717.0
강북구 - 면적,Statistics,2461.0,837.0,349.0,293.0,309.0,272.0,390.0,406.0,787.0,501.0,457.0,964.0,423.0,483.0,465.0,259.0,156.0,202.0
강서구 - 면적,Statistics,1041.0,1070.0,3008.0,662.0,757.0,912.0,1046.0,1483.0,1663.0,1252.0,1716.0,1123.0,949.0,1309.0,1661.0,1626.0,460.0,481.0
강원특별자치도 - 면적,Statistics,294240.0,255385.0,250318.0,209838.0,220341.0,172070.0,161233.0,184887.0,190873.0,205121.0,208591.0,213205.0,184388.0,189091.0,210680.0,175240.0,144156.0,128178.0
강진군 - 면적,Statistics,10532.0,8571.0,7884.0,8052.0,8174.0,9344.0,6852.0,8691.0,9673.0,11557.0,11425.0,10240.0,9045.0,9131.0,9685.0,6974.0,7518.0,6028.0
강화군 - 면적,Statistics,10439.0,13002.0,15690.0,11326.0,8123.0,7203.0,7466.0,7653.0,8920.0,9819.0,11839.0,12124.0,11449.0,11137.0,13692.0,9849.0,6567.0,6381.0
거제시 - 면적,Statistics,12383.0,12963.0,14273.0,17906.0,11247.0,11423.0,11754.0,14259.0,14754.0,9417.0,9161.0,6514.0,5377.0,7575.0,10165.0,6304.0,4466.0,5666.0
거창군 - 면적,Statistics,13448.0,11452.0,15779.0,14935.0,16195.0,17507.0,12717.0,14218.0,16302.0,15934.0,19431.0,14207.0,12117.0,16131.0,13564.0,12673.0,14381.0,10020.0
경기도 - 면적,Statistics,376812.0,330132.0,299964.0,238784.0,243575.0,212107.0,217866.0,232470.0,290900.0,296323.0,330812.0,311038.0,303662.0,349614.0,376838.0,282924.0,189403.0,175680.0
