item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원 - 이용 - 인터넷 이용률,Statistics,70.2,70.7,71.2,71.2,72.1,75.8,71.5,74.1,74.6,83.1,83.7,84.9,80.6,82.0,83.1,90.9
강원 - 이용안함 - 인터넷 이용률,Statistics,29.8,29.3,28.8,28.8,27.9,24.2,28.5,25.9,25.4,16.9,16.3,15.1,19.4,18.0,16.9,9.1
경기 - 이용 - 인터넷 이용률,Statistics,82.0,82.6,82.9,82.9,83.1,84.3,84.9,86.1,88.8,90.3,91.7,91.1,92.3,94.3,93.0,93.2
경기 - 이용안함 - 인터넷 이용률,Statistics,18.0,17.4,17.1,17.1,16.9,15.7,15.1,13.9,11.2,9.7,8.3,8.9,7.7,5.7,7.0,6.8
경남 - 이용 - 인터넷 이용률,Statistics,72.0,72.2,72.5,72.6,73.2,81.9,82.9,86.0,90.8,91.0,90.7,88.7,89.5,94.9,94.0,94.7
경남 - 이용안함 - 인터넷 이용률,Statistics,28.0,27.8,27.5,27.4,26.8,18.1,17.1,14.0,9.2,9.0,9.3,11.3,10.5,5.1,6.0,5.3
경북 - 이용 - 인터넷 이용률,Statistics,66.4,67.3,68.4,68.5,69.0,76.6,87.5,86.6,86.6,89.0,92.3,94.4,93.3,91.4,93.9,94.9
경북 - 이용안함 - 인터넷 이용률,Statistics,33.6,32.7,31.6,31.5,31.0,23.4,12.5,13.4,13.4,11.0,7.7,5.6,6.7,8.6,6.1,5.1
경상 - 이용 - 인터넷 이용률,Statistics,69.5,70.0,70.7,70.7,71.3,79.5,84.9,86.3,88.9,90.1,91.4,91.2,91.2,93.3,94.0,94.8
경상 - 이용안함 - 인터넷 이용률,Statistics,30.5,30.0,29.3,29.3,28.7,20.5,15.1,13.7,11.1,9.9,8.6,8.8,8.8,6.7,6.0,5.2
광주 - 이용 - 인터넷 이용률,Statistics,79.6,80.2,81.0,81.0,81.4,83.0,88.1,90.1,91.4,93.9,94.5,91.5,92.0,95.2,98.6,96.7
광주 - 이용안함 - 인터넷 이용률,Statistics,20.4,19.8,19.0,19.0,18.6,17.0,11.9,9.9,8.6,6.1,5.5,8.5,8.0,4.8,1.4,3.3
대구 - 이용 - 인터넷 이용률,Statistics,74.1,74.7,75.9,76.0,76.5,84.7,92.1,91.1,91.7,93.6,94.9,98.2,96.5,93.5,95.6,98.4
대구 - 이용안함 - 인터넷 이용률,Statistics,25.9,25.3,24.1,24.0,23.5,15.3,7.9,8.9,8.3,6.4,5.1,1.8,3.5,6.5,4.4,1.6
대전 - 이용 - 인터넷 이용률,Statistics,77.3,78.8,80.4,80.9,81.4,87.9,83.8,85.3,90.6,91.8,94.1,94.7,94.1,92.1,93.8,96.8
대전 - 이용안함 - 인터넷 이용률,Statistics,22.7,21.2,19.6,19.1,18.6,12.1,16.2,14.7,9.4,8.2,5.9,5.3,5.9,7.9,6.2,3.2
부산 - 이용 - 인터넷 이용률,Statistics,74.2,75.0,75.8,75.9,76.3,84.3,83.8,87.2,92.7,93.3,92.8,92.8,93.0,96.1,95.5,94.8
부산 - 이용안함 - 인터넷 이용률,Statistics,25.8,25.0,24.2,24.1,23.7,15.7,16.2,12.8,7.3,6.7,7.2,7.2,7.0,3.9,4.5,5.2
서울 - 이용 - 인터넷 이용률,Statistics,80.1,80.6,80.9,81.1,81.5,83.2,86.2,86.7,87.9,90.5,91.4,92.2,92.3,93.2,92.0,93.2
서울 - 이용안함 - 인터넷 이용률,Statistics,19.9,19.4,19.1,18.9,18.5,16.8,13.8,13.3,12.1,9.5,8.6,7.8,7.7,6.8,8.0,6.8
세종 - 이용 - 인터넷 이용률,Statistics,,,,,,,70.9,81.5,91.0,92.4,95.5,97.9,99.1,89.4,89.7,95.6
세종 - 이용안함 - 인터넷 이용률,Statistics,,,,,,,29.1,18.5,9.0,7.6,4.5,2.1,0.9,10.6,10.3,4.4
