item,category,2020,2021,2022,2023,2024
가평군 - 미충족의료율(표준화율),Statistics,10.6,3.1,2.9,3.7,6.4
강남구 - 미충족의료율(표준화율),Statistics,6.7,5.2,2.7,3.3,3.0
강동구 - 미충족의료율(표준화율),Statistics,4.4,4.3,4.4,4.0,3.4
강릉시 - 미충족의료율(표준화율),Statistics,8.3,8.1,9.4,7.4,5.0
강북구 - 미충족의료율(표준화율),Statistics,3.3,3.6,3.1,4.9,4.2
강서구 - 미충족의료율(표준화율),Statistics,5.4,3.2,3.5,3.3,4.4
강원특별자치도 - 미충족의료율(표준화율),Statistics,6.5,6.3,7.2,7.4,6.5
강진군 - 미충족의료율(표준화율),Statistics,5.7,3.4,3.9,4.1,3.2
강화군 - 미충족의료율(표준화율),Statistics,6.7,5.7,2.0,3.3,6.7
거제시 - 미충족의료율(표준화율),Statistics,9.1,8.7,12.3,10.7,7.3
거창군 - 미충족의료율(표준화율),Statistics,9.5,6.7,4.8,5.7,8.3
경기도 - 미충족의료율(표준화율),Statistics,5.1,4.9,5.3,5.9,4.9
경산시 - 미충족의료율(표준화율),Statistics,11.5,5.6,14.7,18.0,4.8
경상남도 - 미충족의료율(표준화율),Statistics,8.4,7.2,9.1,9.3,5.6
경상북도 - 미충족의료율(표준화율),Statistics,7.3,5.0,6.3,6.5,4.7
경주시 - 미충족의료율(표준화율),Statistics,10.3,4.4,3.1,5.8,3.7
계룡시 - 미충족의료율(표준화율),Statistics,4.8,3.2,4.1,1.7,4.5
계양구 - 미충족의료율(표준화율),Statistics,7.9,10.0,10.5,8.7,4.0
고령군 - 미충족의료율(표준화율),Statistics,10.7,4.6,4.1,3.7,5.3
고성군 - 미충족의료율(표준화율),Statistics,2.3,2.1,2.3,2.4,3.0
고양시 - 미충족의료율(표준화율),Statistics,5.2,5.8,4.8,7.1,4.4
고창군 - 미충족의료율(표준화율),Statistics,2.9,6.8,13.9,12.6,6.7
고흥군 - 미충족의료율(표준화율),Statistics,1.1,4.2,3.1,2.9,4.2
곡성군 - 미충족의료율(표준화율),Statistics,10.6,13.2,4.9,6.8,9.6
공주시 - 미충족의료율(표준화율),Statistics,3.2,3.1,4.4,4.6,8.4
과천시 - 미충족의료율(표준화율),Statistics,6.6,4.8,3.1,4.6,2.2
관악구 - 미충족의료율(표준화율),Statistics,3.4,2.8,3.3,4.5,6.0
광명시 - 미충족의료율(표준화율),Statistics,3.7,1.4,3.2,2.6,3.3
광산구 - 미충족의료율(표준화율),Statistics,8.8,6.0,6.4,9.5,3.4
광양시 - 미충족의료율(표준화율),Statistics,9.0,4.3,5.7,8.2,9.9
광주광역시 - 미충족의료율(표준화율),Statistics,5.8,5.6,5.8,6.1,4.3
광주시 - 미충족의료율(표준화율),Statistics,7.7,2.7,4.0,3.6,7.9
광진구 - 미충족의료율(표준화율),Statistics,4.9,6.5,4.7,4.1,5.7
괴산군 - 미충족의료율(표준화율),Statistics,12.0,7.1,11.6,10.5,8.4
구례군 - 미충족의료율(표준화율),Statistics,4.8,5.9,7.3,9.4,14.7
구로구 - 미충족의료율(표준화율),Statistics,2.3,3.6,5.4,4.5,2.6
구리시 - 미충족의료율(표준화율),Statistics,3.0,6.0,3.2,4.8,3.9
구미 - 미충족의료율(표준화율),Statistics,7.0,3.6,3.3,6.2,7.3
구미시 - 미충족의료율(표준화율),Statistics,6.5,3.9,3.6,6.0,6.6
군산시 - 미충족의료율(표준화율),Statistics,3.7,6.5,4.0,3.1,3.8
군위군 - 미충족의료율(표준화율),Statistics,7.6,3.1,4.9,,
군포시 - 미충족의료율(표준화율),Statistics,3.6,3.2,3.3,4.9,3.6
권선구 - 미충족의료율(표준화율),Statistics,6.5,6.1,8.3,10.2,5.9
금산군 - 미충족의료율(표준화율),Statistics,3.6,6.0,1.4,4.1,4.6
금정구 - 미충족의료율(표준화율),Statistics,2.6,4.5,5.3,3.8,6.1
금천구 - 미충족의료율(표준화율),Statistics,8.3,7.1,5.7,5.9,6.4
기장군 - 미충족의료율(표준화율),Statistics,4.6,3.8,5.7,5.7,10.9
기흥구 - 미충족의료율(표준화율),Statistics,5.9,5.2,6.3,5.4,3.9
김제시 - 미충족의료율(표준화율),Statistics,4.2,10.1,4.8,7.2,4.5
김천시 - 미충족의료율(표준화율),Statistics,4.8,4.2,8.5,3.3,1.1
김포시 - 미충족의료율(표준화율),Statistics,7.7,6.5,6.3,5.4,3.6
김해시 - 미충족의료율(표준화율),Statistics,8.2,8.4,17.6,13.5,3.4
나주시 - 미충족의료율(표준화율),Statistics,7.3,9.9,8.2,9.3,4.2
남구 - 미충족의료율(표준화율),Statistics,3.0,3.4,2.9,2.5,3.4
남동구 - 미충족의료율(표준화율),Statistics,6.3,4.1,7.2,7.4,5.3
남양주 - 미충족의료율(표준화율),Statistics,3.5,4.5,5.1,7.2,4.5
남양주 풍양 - 미충족의료율(표준화율),Statistics,5.1,7.7,4.0,9.8,6.4
남양주시 - 미충족의료율(표준화율),Statistics,4.0,5.5,4.7,8.1,5.1
남원시 - 미충족의료율(표준화율),Statistics,3.7,9.1,4.6,8.2,5.7
남해군 - 미충족의료율(표준화율),Statistics,14.4,18.1,6.6,18.7,6.4
노원구 - 미충족의료율(표준화율),Statistics,3.5,2.6,2.8,8.1,3.7
논산시 - 미충족의료율(표준화율),Statistics,2.6,3.4,7.9,8.5,11.3
단양군 - 미충족의료율(표준화율),Statistics,2.9,0.3,9.6,4.5,3.3
