item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 녹지지역 - 면적,Statistics,76386063.0,76386063.0,76365467.0,75570121.0,75570266.0,75570266.0,75570266.0,75532356.0,75532501.0,75531823.0,75524987.0,75447073.0,75447073.0,75404773.0,75352643.0
가평군 - 녹지지역 - 비율,Statistics,93.28,93.28,93.25,92.28,92.28,92.28,92.28,92.24,92.24,92.24,92.23,92.13,92.13,92.08,92.02
가평군 - 도시지역 - 면적,Statistics,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0
강남구 - 녹지지역 - 면적,Statistics,16384937.0,15212471.0,15212471.0,15212471.0,15212471.0,15212471.0,15212471.0,15212471.0,13631009.0,13631009.0,13631009.0,13631009.0,13631009.0,13631009.0,13631009.0
강남구 - 녹지지역 - 비율,Statistics,41.43,38.46,38.46,38.46,38.46,38.46,38.46,38.46,34.51,34.51,34.51,34.51,34.51,34.51,34.51
강남구 - 도시지역 - 면적,Statistics,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39497268.0,39497268.0,39497268.0,39497268.0,39497268.0,39497452.0,39497452.0
강동구 - 녹지지역 - 면적,Statistics,10886516.0,10886516.0,10886516.0,10839743.0,9923454.0,9923454.0,10910074.0,10910074.0,10910074.0,10910074.0,10910074.0,10910074.0,10910074.0,10831938.0,10831938.0
강동구 - 녹지지역 - 비율,Statistics,44.29,44.29,44.29,44.1,40.37,40.37,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.11,44.11
강동구 - 도시지역 - 면적,Statistics,24580000.0,24580000.0,24580000.0,24580000.0,24580000.0,24580000.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0
강릉시 - 녹지지역 - 면적,Statistics,57625906.0,54668379.0,54668379.0,54668379.0,54159958.0,54159958.0,54120919.0,54120919.0,53865829.0,53865829.0,53865829.0,53746927.0,53746927.0,53746927.0,53746927.0
강릉시 - 녹지지역 - 비율,Statistics,74.91,65.04,65.04,65.04,64.44,64.44,64.27,63.85,63.53,63.53,63.53,63.26,63.26,63.26,68.56
강릉시 - 도시지역 - 면적,Statistics,76931330.0,84047505.0,84047505.0,84047505.0,84047505.0,84047505.0,84204778.0,84762822.0,84783347.0,84783347.0,84783347.0,84958649.0,84958649.0,84958649.0,78392991.0
강북구 - 녹지지역 - 면적,Statistics,14190000.0,14190000.0,14190000.0,14190000.0,14190000.0,14190000.0,12380402.0,12380402.0,12380402.0,12380402.0,12380402.0,12384780.0,12464840.0,12464840.0,12464840.0
강북구 - 녹지지역 - 비율,Statistics,60.18,60.18,60.18,60.18,60.18,60.18,52.38,52.38,52.38,52.38,52.38,52.4,52.74,52.74,52.74
강북구 - 도시지역 - 면적,Statistics,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23580000.0,23635959.0,23635959.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0,23636019.0
강서구 - 녹지지역 - 면적,Statistics,23409142.0,23368950.0,23369411.0,23365488.0,23365488.0,23365488.0,23284731.0,23284731.0,22500881.0,22500637.0,22500605.0,22500605.0,22500605.0,22500605.0,22500605.0
강서구 - 녹지지역 - 비율,Statistics,56.54,56.45,56.45,56.44,56.44,56.44,56.24,56.24,54.27,54.27,54.27,54.27,54.27,54.27,54.27
강서구 - 도시지역 - 면적,Statistics,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41400000.0,41462497.0,41462415.0,41463274.0,41463274.0,41463273.0,41463273.0,41463248.0
강원특별자치도 - 녹지지역 - 면적,Statistics,793749561.0,790907463.0,790379370.0,793075663.0,796174959.0,795380297.0,794860369.0,796360419.0,795311127.0,794355604.0,793902730.0,794017929.0,794197506.0,794115753.0,793264771.0
강원특별자치도 - 녹지지역 - 비율,Statistics,79.78,78.35,78.1,77.99,77.9,77.82,77.73,77.53,77.42,77.21,77.19,77.11,77.11,77.1,78.95
강원특별자치도 - 도시지역 - 면적,Statistics,994892241.0,1009506443.0,1012011361.0,1016937071.0,1022102313.0,1022114847.0,1022563285.0,1027198470.0,1027228237.0,1028778399.0,1028522877.0,1029687366.0,1030004376.0,1030008274.0,1004738631.0
강진군 - 녹지지역 - 면적,Statistics,19856327.0,19856327.0,19856327.0,19856327.0,19856327.0,19856327.0,19856327.0,19856327.0,19855441.0,19463513.0,19463513.0,19463513.0,19463513.0,19463513.0,19817443.0
강진군 - 녹지지역 - 비율,Statistics,71.26,71.26,73.43,73.43,73.43,73.43,73.43,73.43,73.43,71.98,71.98,71.98,71.98,71.98,72.18
강진군 - 도시지역 - 면적,Statistics,27865730.0,27865730.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27456039.0
강화군 - 녹지지역 - 면적,Statistics,14582500.0,14582500.0,14582500.0,14565640.0,14433300.0,14433300.0,14578700.0,14578700.0,14568800.0,14558900.0,14558900.0,14558900.0,14558900.0,14558900.0,14545855.0
강화군 - 녹지지역 - 비율,Statistics,86.56,86.56,86.56,83.5,84.1,84.09,84.24,84.24,84.18,84.12,84.12,84.12,84.12,84.12,83.06
강화군 - 도시지역 - 면적,Statistics,16845800.0,16845800.0,16845800.0,17442884.0,17161142.0,17163475.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306303.0,17511613.0
거제시 - 녹지지역 - 면적,Statistics,63143238.0,62755654.0,61814454.0,61814454.0,65356213.0,62260291.0,62165438.0,62266480.0,62266480.0,62456146.0,62413020.0,62411257.0,62411257.0,62411257.0,62411257.0
거제시 - 녹지지역 - 비율,Statistics,64.32,63.76,62.98,63.01,64.42,63.24,63.93,64.03,64.03,63.34,63.29,63.72,63.72,63.72,63.72
거제시 - 도시지역 - 면적,Statistics,98172373.0,98431308.0,98145201.0,98095202.0,101452549.0,98454173.0,97244221.0,97244221.0,97244221.0,98609973.0,98620051.0,97944801.0,97944801.0,97944801.0,97944801.0
거창군 - 녹지지역 - 면적,Statistics,25354389.0,25354389.0,25410348.0,25417323.0,25417323.0,25418787.0,25418787.0,25417317.0,25413367.0,25413367.0,25413367.0,25413367.0,25413367.0,25413367.0,25413400.0
거창군 - 녹지지역 - 비율,Statistics,81.37,81.37,79.65,79.65,79.65,79.67,79.67,79.66,79.65,79.65,79.65,79.65,79.65,79.65,78.9
거창군 - 도시지역 - 면적,Statistics,31158735.0,31158735.0,31904168.0,31911143.0,31911143.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,32210186.0
경기도 - 녹지지역 - 면적,Statistics,2590446155.0,2570617120.0,2624121608.0,2617993548.0,2613340929.0,2608324142.0,2610369452.0,2609977121.0,2609046640.0,2609090987.0,2603756858.0,2600686964.0,2579325673.0,2575728972.0,2555858725.0
경기도 - 녹지지역 - 비율,Statistics,79.97,78.75,78.8,78.59,78.25,77.9,77.75,77.51,77.4,77.28,77.1,76.97,76.19,76.05,75.82
경기도 - 도시지역 - 면적,Statistics,3239452978.0,3264237533.0,3330278692.0,3331056000.0,3339583747.0,3348294610.0,3357453240.0,3367486105.0,3371075153.0,3376013136.0,3377274307.0,3378712218.0,3385441488.0,3386898994.0,3370827754.0
