item,category,2021,2022,2023
강원특별자치도 - 연도별 피해현황,Statistics,3637731.0,37911101.0,25813150.0
경기도 - 연도별 피해현황,Statistics,270786.0,159640161.0,14166148.0
경상남도 - 연도별 피해현황,Statistics,5600090.0,12426789.0,30731556.0
경상북도 - 연도별 피해현황,Statistics,15529209.0,206767796.0,365339498.0
광주광역시 - 연도별 피해현황,Statistics,150176.0,174459.0,1737788.0
대구광역시 - 연도별 피해현황,Statistics,35000.0,30800.0,10758115.0
대전광역시 - 연도별 피해현황,Statistics,4243.0,2554865.0,1302171.0
부산광역시 - 연도별 피해현황,Statistics,1834404.0,11823906.0,251881.0
서울특별시 - 연도별 피해현황,Statistics,0.0,69630498.0,1173718.0
세종특별자치시 - 연도별 피해현황,Statistics,,374479.0,25028631.0
울산광역시 - 연도별 피해현황,Statistics,2457802.0,6931859.0,1728018.0
인천광역시 - 연도별 피해현황,Statistics,301020.0,1696165.0,316013.0
전라남도 - 연도별 피해현황,Statistics,30779345.0,7307692.0,58800665.0
전북특별자치도 - 연도별 피해현황,Statistics,1066787.0,9264951.0,74566625.0
제주특별자치도 - 연도별 피해현황,Statistics,73973.0,2261584.0,3573070.0
총계 - 연도별 피해현황,Statistics,66053654.0,592656221.0,958220919.0
충청남도 - 연도별 피해현황,Statistics,3424301.0,62333890.0,188051545.0
충청북도 - 연도별 피해현황,Statistics,888787.0,1525226.0,154882327.0
