item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 부상자수,Statistics,57.0,54.0,50.0,51.0,25.0,35.0,41.0,23.0,28.0,31.0,33.0,32.0,24.0,28.0,16.0,31.0,33.0,32.0,14.0
가평군 - 사고건수,Statistics,36.0,41.0,35.0,38.0,22.0,24.0,30.0,17.0,24.0,24.0,26.0,27.0,16.0,23.0,12.0,19.0,23.0,24.0,12.0
가평군 - 사망자수,Statistics,,,1.0,,,,,,,,1.0,,,,,,,,
강남구 - 부상자수,Statistics,102.0,101.0,90.0,101.0,91.0,87.0,118.0,87.0,124.0,110.0,111.0,123.0,118.0,126.0,94.0,95.0,123.0,110.0,109.0
강남구 - 사고건수,Statistics,90.0,83.0,85.0,94.0,79.0,77.0,101.0,75.0,96.0,90.0,92.0,103.0,86.0,107.0,76.0,81.0,111.0,99.0,93.0
강남구 - 사망자수,Statistics,,2.0,,1.0,,,,,,,,,1.0,,,,2.0,,
강동구 - 부상자수,Statistics,109.0,110.0,140.0,112.0,88.0,115.0,97.0,93.0,99.0,106.0,92.0,71.0,64.0,87.0,42.0,47.0,63.0,60.0,91.0
강동구 - 사고건수,Statistics,100.0,106.0,124.0,101.0,81.0,100.0,85.0,80.0,89.0,92.0,78.0,62.0,58.0,69.0,40.0,40.0,53.0,54.0,74.0
강동구 - 사망자수,Statistics,1.0,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,
강릉시 - 부상자수,Statistics,129.0,159.0,111.0,113.0,102.0,133.0,109.0,78.0,61.0,61.0,68.0,74.0,57.0,70.0,49.0,49.0,36.0,42.0,34.0
강릉시 - 사고건수,Statistics,101.0,118.0,91.0,89.0,81.0,89.0,86.0,64.0,53.0,53.0,59.0,60.0,47.0,57.0,40.0,35.0,31.0,30.0,28.0
강릉시 - 사망자수,Statistics,,,1.0,,,,2.0,,,,2.0,1.0,1.0,,,,1.0,,
강북구 - 부상자수,Statistics,92.0,98.0,84.0,95.0,69.0,67.0,60.0,48.0,62.0,67.0,49.0,53.0,52.0,69.0,43.0,29.0,50.0,41.0,35.0
강북구 - 사고건수,Statistics,86.0,84.0,77.0,81.0,65.0,62.0,55.0,41.0,56.0,59.0,42.0,47.0,42.0,59.0,33.0,25.0,47.0,36.0,29.0
강북구 - 사망자수,Statistics,,,,1.0,1.0,,,,,,,,,,,,,1.0,
강서구 - 부상자수,Statistics,122.0,120.0,139.0,116.0,109.0,104.0,86.0,95.0,99.0,94.0,89.0,73.0,73.0,110.0,50.0,71.0,67.0,79.0,56.0
강서구 - 사고건수,Statistics,112.0,99.0,123.0,106.0,102.0,94.0,79.0,90.0,86.0,85.0,73.0,62.0,64.0,90.0,43.0,58.0,63.0,59.0,49.0
강서구 - 사망자수,Statistics,2.0,1.0,2.0,2.0,2.0,,1.0,,,1.0,1.0,,,1.0,,,,,
강원특별자치도 - 부상자수,Statistics,1116.0,1136.0,941.0,986.0,938.0,921.0,869.0,794.0,682.0,710.0,835.0,645.0,483.0,477.0,424.0,419.0,498.0,368.0,429.0
강원특별자치도 - 사고건수,Statistics,865.0,882.0,725.0,756.0,723.0,698.0,652.0,606.0,543.0,551.0,599.0,502.0,381.0,367.0,346.0,319.0,368.0,273.0,319.0
강원특별자치도 - 사망자수,Statistics,12.0,16.0,5.0,10.0,3.0,5.0,6.0,4.0,2.0,2.0,5.0,3.0,2.0,3.0,1.0,,2.0,,
강진군 - 부상자수,Statistics,27.0,39.0,26.0,25.0,26.0,22.0,19.0,25.0,22.0,12.0,15.0,14.0,34.0,28.0,8.0,13.0,10.0,15.0,7.0
강진군 - 사고건수,Statistics,22.0,25.0,16.0,19.0,19.0,16.0,15.0,22.0,15.0,11.0,15.0,11.0,18.0,18.0,5.0,12.0,9.0,14.0,7.0
강진군 - 사망자수,Statistics,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
강화군 - 부상자수,Statistics,45.0,22.0,43.0,18.0,10.0,10.0,13.0,14.0,15.0,22.0,26.0,12.0,8.0,13.0,9.0,15.0,5.0,9.0,17.0
강화군 - 사고건수,Statistics,28.0,19.0,27.0,17.0,12.0,9.0,8.0,12.0,11.0,14.0,16.0,11.0,7.0,12.0,8.0,12.0,4.0,7.0,15.0
강화군 - 사망자수,Statistics,,3.0,,,2.0,,,,1.0,,,,,1.0,1.0,,,,
거제시 - 부상자수,Statistics,148.0,129.0,143.0,130.0,112.0,116.0,118.0,116.0,114.0,91.0,70.0,71.0,57.0,85.0,48.0,68.0,51.0,32.0,47.0
거제시 - 사고건수,Statistics,113.0,99.0,117.0,97.0,81.0,91.0,97.0,92.0,91.0,74.0,59.0,60.0,48.0,69.0,37.0,58.0,42.0,26.0,45.0
거제시 - 사망자수,Statistics,3.0,3.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,
거창군 - 부상자수,Statistics,28.0,25.0,17.0,25.0,18.0,25.0,17.0,19.0,18.0,14.0,14.0,14.0,10.0,9.0,12.0,14.0,13.0,11.0,3.0
거창군 - 사고건수,Statistics,26.0,18.0,15.0,21.0,13.0,22.0,16.0,17.0,17.0,10.0,13.0,12.0,9.0,8.0,12.0,12.0,8.0,11.0,2.0
경기 여주군 - 부상자수,Statistics,59.0,74.0,62.0,39.0,31.0,46.0,31.0,,,,,,,,,,,,
경기 여주군 - 사고건수,Statistics,45.0,55.0,40.0,32.0,30.0,37.0,28.0,,,,,,,,,,,,
경기 여주군 - 사망자수,Statistics,,3.0,,,,,,,,,,,,,,,,,
경기도 - 부상자수,Statistics,4369.0,4199.0,3872.0,4041.0,3641.0,3421.0,3462.0,3186.0,3389.0,3843.0,3767.0,3379.0,3598.0,3802.0,2834.0,3207.0,3345.0,3150.0,3348.0
경기도 - 사고건수,Statistics,3478.0,3332.0,3062.0,3225.0,2948.0,2760.0,2720.0,2563.0,2763.0,3030.0,2881.0,2748.0,2835.0,2920.0,2258.0,2605.0,2663.0,2517.0,2690.0
경기도 - 사망자수,Statistics,54.0,37.0,29.0,33.0,16.0,19.0,21.0,16.0,17.0,13.0,15.0,10.0,14.0,1.0,4.0,5.0,2.0,6.0,3.0
경남 마산시 - 부상자수,Statistics,136.0,125.0,118.0,143.0,,,,,,,,,,,,,,,
경남 마산시 - 사고건수,Statistics,114.0,109.0,105.0,114.0,,,,,,,,,,,,,,,
경남 마산시 - 사망자수,Statistics,,3.0,1.0,,,,,,,,,,,,,,,,
경남 진해시 - 부상자수,Statistics,89.0,64.0,67.0,75.0,,,,,,,,,,,,,,,
경남 진해시 - 사고건수,Statistics,61.0,57.0,56.0,66.0,,,,,,,,,,,,,,,
경남 진해시 - 사망자수,Statistics,,1.0,,,,,,,,,,,,,,,,,
경남 창원시 - 부상자수,Statistics,148.0,187.0,130.0,124.0,,,,,,,,,,,,,,,
경남 창원시 - 사고건수,Statistics,132.0,144.0,116.0,112.0,,,,,,,,,,,,,,,
경남 창원시 - 사망자수,Statistics,1.0,2.0,1.0,,,,,,,,,,,,,,,,
경산시 - 부상자수,Statistics,122.0,118.0,98.0,96.0,74.0,91.0,74.0,90.0,92.0,66.0,69.0,60.0,44.0,76.0,60.0,56.0,53.0,37.0,57.0
경산시 - 사고건수,Statistics,101.0,103.0,84.0,83.0,61.0,71.0,52.0,80.0,76.0,55.0,63.0,49.0,41.0,62.0,47.0,47.0,44.0,33.0,49.0
경산시 - 사망자수,Statistics,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,
경상남도 - 부상자수,Statistics,1364.0,1385.0,1228.0,1243.0,1127.0,1161.0,1029.0,1043.0,954.0,912.0,748.0,749.0,638.0,784.0,649.0,583.0,623.0,554.0,550.0
경상남도 - 사고건수,Statistics,1122.0,1118.0,1029.0,1039.0,925.0,955.0,854.0,860.0,790.0,729.0,620.0,617.0,528.0,608.0,502.0,489.0,487.0,468.0,446.0
경상남도 - 사망자수,Statistics,23.0,18.0,13.0,9.0,13.0,6.0,12.0,11.0,6.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
경상북도 - 부상자수,Statistics,1731.0,1452.0,1385.0,1301.0,1327.0,1208.0,1073.0,965.0,1042.0,1010.0,886.0,893.0,826.0,867.0,646.0,676.0,625.0,602.0,602.0
경상북도 - 사고건수,Statistics,1315.0,1229.0,1096.0,1012.0,1068.0,980.0,855.0,795.0,829.0,826.0,710.0,724.0,648.0,689.0,519.0,516.0,499.0,475.0,475.0
경상북도 - 사망자수,Statistics,24.0,20.0,8.0,13.0,10.0,10.0,5.0,6.0,2.0,7.0,7.0,5.0,4.0,1.0,5.0,3.0,4.0,,
경주시 - 부상자수,Statistics,248.0,167.0,194.0,198.0,212.0,170.0,159.0,162.0,185.0,137.0,102.0,109.0,91.0,99.0,59.0,83.0,82.0,59.0,93.0
경주시 - 사고건수,Statistics,168.0,133.0,141.0,134.0,151.0,134.0,121.0,126.0,135.0,108.0,79.0,94.0,71.0,75.0,44.0,68.0,60.0,45.0,54.0
경주시 - 사망자수,Statistics,2.0,2.0,1.0,2.0,1.0,,,,,1.0,,2.0,1.0,,1.0,1.0,1.0,,
계룡시 - 부상자수,Statistics,12.0,16.0,18.0,19.0,4.0,10.0,13.0,10.0,5.0,11.0,7.0,7.0,5.0,8.0,1.0,4.0,5.0,3.0,12.0
계룡시 - 사고건수,Statistics,10.0,16.0,17.0,16.0,4.0,8.0,9.0,9.0,5.0,9.0,7.0,7.0,5.0,5.0,1.0,3.0,4.0,3.0,8.0
계룡시 - 사망자수,Statistics,,,,,,,,,1.0,,,,,,,,,,
계양구 - 부상자수,Statistics,119.0,147.0,122.0,99.0,100.0,61.0,62.0,86.0,81.0,89.0,67.0,56.0,51.0,50.0,49.0,35.0,20.0,59.0,25.0
계양구 - 사고건수,Statistics,101.0,126.0,110.0,78.0,92.0,57.0,55.0,68.0,69.0,73.0,55.0,50.0,48.0,41.0,41.0,30.0,16.0,28.0,22.0
계양구 - 사망자수,Statistics,1.0,,,,,,,,,,,,1.0,,,,,,
고령군 - 부상자수,Statistics,22.0,12.0,13.0,17.0,14.0,9.0,19.0,11.0,13.0,14.0,8.0,6.0,10.0,14.0,3.0,8.0,9.0,2.0,2.0
고령군 - 사고건수,Statistics,22.0,10.0,10.0,13.0,13.0,6.0,10.0,9.0,10.0,11.0,7.0,6.0,8.0,12.0,3.0,7.0,6.0,2.0,2.0
고령군 - 사망자수,Statistics,2.0,,,,,,,,,,,,,,,,,,
고성군 - 부상자수,Statistics,30.0,25.0,23.0,13.0,25.0,22.0,16.0,28.0,12.0,20.0,7.0,12.0,8.0,10.0,10.0,10.0,20.0,5.0,14.0
고성군 - 사고건수,Statistics,25.0,19.0,16.0,11.0,16.0,15.0,14.0,19.0,10.0,14.0,6.0,10.0,6.0,9.0,9.0,7.0,16.0,4.0,9.0
고성군 - 사망자수,Statistics,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,
고양시 - 부상자수,Statistics,327.0,290.0,278.0,307.0,238.0,236.0,227.0,205.0,230.0,239.0,208.0,219.0,220.0,246.0,163.0,211.0,216.0,215.0,159.0
고양시 - 사고건수,Statistics,270.0,233.0,228.0,267.0,202.0,198.0,188.0,176.0,189.0,192.0,168.0,184.0,181.0,192.0,133.0,180.0,186.0,179.0,140.0
고양시 - 사망자수,Statistics,1.0,3.0,1.0,4.0,,1.0,2.0,1.0,,,1.0,,,,,,,,
고창군 - 부상자수,Statistics,49.0,22.0,29.0,23.0,29.0,18.0,15.0,18.0,23.0,12.0,10.0,5.0,8.0,11.0,12.0,6.0,4.0,10.0,8.0
고창군 - 사고건수,Statistics,31.0,20.0,26.0,18.0,19.0,14.0,12.0,13.0,15.0,9.0,8.0,5.0,6.0,8.0,7.0,5.0,4.0,8.0,5.0
고창군 - 사망자수,Statistics,1.0,,,,,,,,,,,,,,,,,,
고흥군 - 부상자수,Statistics,44.0,22.0,20.0,27.0,16.0,35.0,18.0,22.0,23.0,14.0,22.0,35.0,21.0,19.0,21.0,16.0,15.0,5.0,3.0
고흥군 - 사고건수,Statistics,34.0,16.0,21.0,24.0,13.0,22.0,15.0,21.0,19.0,12.0,12.0,22.0,16.0,10.0,13.0,12.0,11.0,4.0,3.0
고흥군 - 사망자수,Statistics,,,2.0,1.0,,,,1.0,,,,,,,,1.0,,,
곡성군 - 부상자수,Statistics,12.0,12.0,13.0,16.0,8.0,14.0,10.0,19.0,8.0,16.0,9.0,14.0,4.0,3.0,6.0,11.0,5.0,6.0,4.0
곡성군 - 사고건수,Statistics,10.0,12.0,9.0,15.0,7.0,11.0,8.0,13.0,7.0,14.0,6.0,9.0,4.0,2.0,5.0,6.0,4.0,4.0,3.0
곡성군 - 사망자수,Statistics,,1.0,,1.0,,1.0,,,,,,,,,,,,,
공주시 - 부상자수,Statistics,48.0,80.0,54.0,54.0,61.0,44.0,41.0,29.0,34.0,24.0,38.0,55.0,55.0,54.0,34.0,33.0,37.0,25.0,32.0
공주시 - 사고건수,Statistics,42.0,45.0,43.0,45.0,43.0,31.0,30.0,18.0,24.0,20.0,30.0,38.0,37.0,37.0,26.0,24.0,27.0,15.0,22.0
공주시 - 사망자수,Statistics,3.0,1.0,,,,,1.0,,,,,2.0,,2.0,,,,,
과천시 - 부상자수,Statistics,20.0,14.0,15.0,20.0,12.0,20.0,8.0,10.0,17.0,24.0,12.0,18.0,29.0,31.0,8.0,11.0,14.0,8.0,9.0
과천시 - 사고건수,Statistics,16.0,12.0,13.0,14.0,12.0,17.0,7.0,8.0,13.0,16.0,10.0,16.0,22.0,22.0,7.0,10.0,9.0,8.0,6.0
과천시 - 사망자수,Statistics,,,,,,1.0,,,,,,,,,,,,,
관악구 - 부상자수,Statistics,118.0,91.0,102.0,103.0,103.0,83.0,73.0,87.0,55.0,53.0,63.0,34.0,37.0,45.0,41.0,39.0,29.0,19.0,43.0
관악구 - 사고건수,Statistics,108.0,79.0,92.0,92.0,89.0,76.0,65.0,72.0,48.0,50.0,42.0,32.0,35.0,37.0,34.0,32.0,23.0,16.0,29.0
관악구 - 사망자수,Statistics,,1.0,2.0,,1.0,,,,,,4.0,,,,,,,,
광명시 - 부상자수,Statistics,90.0,62.0,54.0,67.0,51.0,59.0,66.0,56.0,76.0,86.0,87.0,88.0,93.0,81.0,39.0,42.0,42.0,62.0,65.0
광명시 - 사고건수,Statistics,77.0,60.0,48.0,58.0,46.0,52.0,61.0,49.0,72.0,75.0,70.0,59.0,68.0,61.0,33.0,38.0,37.0,46.0,55.0
광명시 - 사망자수,Statistics,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,
광산구 - 부상자수,Statistics,249.0,261.0,243.0,220.0,235.0,221.0,256.0,195.0,231.0,158.0,197.0,175.0,180.0,232.0,176.0,170.0,126.0,149.0,145.0
광산구 - 사고건수,Statistics,208.0,211.0,190.0,172.0,185.0,179.0,199.0,148.0,178.0,133.0,159.0,144.0,124.0,161.0,128.0,148.0,102.0,117.0,122.0
광산구 - 사망자수,Statistics,2.0,1.0,,2.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,
광양시 - 부상자수,Statistics,115.0,84.0,110.0,95.0,77.0,41.0,62.0,74.0,81.0,67.0,60.0,65.0,39.0,30.0,49.0,46.0,39.0,40.0,47.0
광양시 - 사고건수,Statistics,85.0,62.0,78.0,77.0,67.0,36.0,50.0,58.0,66.0,51.0,48.0,48.0,30.0,26.0,36.0,38.0,33.0,32.0,39.0
광양시 - 사망자수,Statistics,2.0,,1.0,1.0,,,,2.0,,,1.0,,,1.0,,,,,
광주광역시 - 부상자수,Statistics,833.0,813.0,795.0,753.0,757.0,702.0,714.0,596.0,657.0,564.0,594.0,558.0,556.0,590.0,486.0,452.0,431.0,451.0,418.0
광주광역시 - 사고건수,Statistics,705.0,679.0,633.0,608.0,620.0,573.0,560.0,486.0,522.0,469.0,479.0,463.0,419.0,442.0,368.0,374.0,353.0,350.0,347.0
광주광역시 - 사망자수,Statistics,4.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,6.0,,,1.0,,1.0,,
광주시 - 부상자수,Statistics,120.0,150.0,107.0,105.0,93.0,86.0,109.0,106.0,101.0,103.0,100.0,115.0,133.0,142.0,143.0,175.0,182.0,179.0,163.0
광주시 - 사고건수,Statistics,101.0,98.0,83.0,84.0,76.0,64.0,76.0,83.0,83.0,86.0,78.0,89.0,105.0,98.0,105.0,131.0,129.0,133.0,130.0
광주시 - 사망자수,Statistics,2.0,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,
광진구 - 부상자수,Statistics,70.0,117.0,110.0,83.0,91.0,78.0,60.0,74.0,106.0,46.0,56.0,45.0,51.0,54.0,25.0,44.0,38.0,29.0,28.0
광진구 - 사고건수,Statistics,66.0,105.0,105.0,76.0,79.0,69.0,51.0,66.0,68.0,41.0,49.0,42.0,43.0,45.0,22.0,39.0,32.0,27.0,23.0
광진구 - 사망자수,Statistics,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,
괴산군 - 부상자수,Statistics,22.0,25.0,11.0,17.0,11.0,15.0,24.0,19.0,24.0,8.0,11.0,18.0,18.0,4.0,13.0,13.0,9.0,7.0,9.0
괴산군 - 사고건수,Statistics,15.0,18.0,9.0,14.0,8.0,11.0,11.0,17.0,17.0,5.0,7.0,13.0,14.0,4.0,8.0,8.0,8.0,6.0,6.0
괴산군 - 사망자수,Statistics,1.0,1.0,,,,,,,2.0,,,,,,,,,,
구례군 - 부상자수,Statistics,19.0,28.0,7.0,13.0,18.0,14.0,5.0,15.0,10.0,7.0,7.0,6.0,6.0,7.0,3.0,5.0,4.0,3.0,
구례군 - 사고건수,Statistics,14.0,8.0,6.0,11.0,15.0,10.0,5.0,10.0,9.0,6.0,5.0,3.0,4.0,7.0,3.0,4.0,2.0,3.0,
구례군 - 사망자수,Statistics,1.0,3.0,,,,,,,,,,,,,,,,,
구로구 - 부상자수,Statistics,104.0,112.0,103.0,98.0,80.0,86.0,103.0,75.0,97.0,88.0,79.0,94.0,77.0,94.0,39.0,36.0,62.0,54.0,42.0
구로구 - 사고건수,Statistics,92.0,80.0,91.0,86.0,73.0,63.0,85.0,67.0,88.0,68.0,66.0,68.0,63.0,81.0,32.0,33.0,50.0,48.0,36.0
구로구 - 사망자수,Statistics,,,1.0,,,,1.0,,,,,,,,,,,,
구리시 - 부상자수,Statistics,62.0,61.0,43.0,50.0,73.0,54.0,41.0,51.0,42.0,37.0,34.0,32.0,35.0,53.0,30.0,41.0,50.0,36.0,50.0
구리시 - 사고건수,Statistics,56.0,55.0,42.0,42.0,61.0,44.0,35.0,43.0,35.0,33.0,31.0,24.0,34.0,43.0,26.0,33.0,34.0,29.0,42.0
구리시 - 사망자수,Statistics,,,,1.0,1.0,1.0,,,,,,1.0,2.0,,,,,,
구미시 - 부상자수,Statistics,256.0,243.0,209.0,249.0,215.0,219.0,182.0,148.0,152.0,160.0,150.0,179.0,132.0,143.0,91.0,82.0,82.0,95.0,79.0
구미시 - 사고건수,Statistics,217.0,206.0,171.0,192.0,174.0,182.0,150.0,121.0,126.0,140.0,121.0,150.0,111.0,122.0,79.0,66.0,71.0,79.0,69.0
