item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원 - 도서관 수(관),Statistics,45.0,50.0,47.0,47.0,47.0,47.0,50.0,53.0,54.0,56.0,57.0,58.0,59.0,60.0,61.0,65.0
강원 - 총 연면적(천㎡),Statistics,88.0,95.0,93.0,93.0,94.0,95.0,101.0,106.0,115.0,125.0,127.0,127.0,126.0,128.0,130.0,141228.0
경기 - 도서관 수(관),Statistics,130.0,143.0,163.0,169.0,184.0,194.0,217.0,228.0,244.0,250.0,264.0,277.0,286.0,300.0,309.0,319.0
경기 - 총 연면적(천㎡),Statistics,446.0,476.0,558.0,566.0,613.0,632.0,711.0,747.0,788.0,811.0,847.0,895.0,922.0,999.0,982.0,994423.0
경남 - 도서관 수(관),Statistics,46.0,50.0,53.0,55.0,58.0,59.0,63.0,65.0,65.0,67.0,71.0,72.0,75.0,76.0,79.0,79.0
경남 - 총 연면적(천㎡),Statistics,106.0,124.0,137.0,145.0,154.0,159.0,165.0,166.0,166.0,170.0,183.0,186.0,191.0,193.0,199.0,202782.0
경북 - 도서관 수(관),Statistics,54.0,55.0,58.0,60.0,62.0,63.0,64.0,64.0,64.0,65.0,65.0,66.0,69.0,70.0,71.0,71.0
경북 - 총 연면적(천㎡),Statistics,105.0,113.0,117.0,123.0,125.0,129.0,128.0,139.0,141.0,143.0,148.0,155.0,167.0,166.0,174.0,175543.0
광주 - 도서관 수(관),Statistics,16.0,16.0,16.0,16.0,17.0,17.0,20.0,21.0,22.0,23.0,23.0,23.0,24.0,24.0,27.0,30.0
광주 - 총 연면적(천㎡),Statistics,66.0,65.0,53.0,54.0,57.0,57.0,72.0,74.0,93.0,96.0,96.0,96.0,97.0,96.0,93.0,109487.0
대구 - 도서관 수(관),Statistics,18.0,20.0,26.0,27.0,27.0,28.0,30.0,33.0,35.0,36.0,41.0,43.0,44.0,44.0,44.0,46.0
대구 - 총 연면적(천㎡),Statistics,58.0,61.0,71.0,71.0,72.0,80.0,82.0,86.0,89.0,90.0,100.0,100.0,101.0,91.0,92.0,99383.0
대전 - 도서관 수(관),Statistics,17.0,19.0,22.0,22.0,22.0,23.0,23.0,24.0,24.0,24.0,24.0,26.0,25.0,26.0,25.0,26.0
대전 - 총 연면적(천㎡),Statistics,57.0,58.0,68.0,64.0,64.0,67.0,67.0,72.0,72.0,72.0,72.0,81.0,80.0,80.0,77.0,77982.0
부산 - 도서관 수(관),Statistics,24.0,27.0,30.0,31.0,31.0,31.0,32.0,36.0,40.0,40.0,43.0,44.0,47.0,49.0,51.0,52.0
부산 - 총 연면적(천㎡),Statistics,78.0,83.0,94.0,95.0,95.0,96.0,100.0,109.0,114.0,114.0,120.0,121.0,139.0,145.0,148.0,148916.0
서울 - 도서관 수(관),Statistics,78.0,94.0,101.0,109.0,116.0,123.0,132.0,146.0,147.0,160.0,173.0,180.0,188.0,195.0,199.0,207.0
서울 - 총 연면적(천㎡),Statistics,215.0,231.0,236.0,244.0,263.0,279.0,290.0,301.0,303.0,331.0,336.0,341.0,357.0,370.0,378.0,395389.0
세종 - 도서관 수(관),Statistics,,,,,1.0,1.0,3.0,4.0,5.0,5.0,10.0,11.0,12.0,13.0,15.0,16.0
세종 - 총 연면적(천㎡),Statistics,,,,,1.0,5.0,6.0,7.0,7.0,7.0,14.0,14.0,15.0,25.0,28.0,36089.0
울산 - 도서관 수(관),Statistics,9.0,9.0,11.0,11.0,12.0,13.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,20.0,21.0
울산 - 총 연면적(천㎡),Statistics,20.0,20.0,24.0,24.0,24.0,26.0,35.0,35.0,35.0,34.0,49.0,54.0,52.0,51.0,55.0,56047.0
인천 - 도서관 수(관),Statistics,17.0,24.0,26.0,31.0,36.0,39.0,42.0,46.0,47.0,48.0,50.0,53.0,55.0,58.0,58.0,60.0
인천 - 총 연면적(천㎡),Statistics,51.0,70.0,74.0,80.0,88.0,92.0,97.0,108.0,109.0,112.0,123.0,130.0,131.0,134.0,139.0,141547.0
전국 - 도서관 수(관),Statistics,644.0,703.0,759.0,786.0,828.0,865.0,930.0,978.0,1010.0,1042.0,1096.0,1134.0,1172.0,1208.0,1236.0,1271.0
전국 - 총 연면적(천㎡),Statistics,1659.0,1795.0,1954.0,1993.0,2111.0,2204.0,2347.0,2465.0,2561.0,2648.0,2791.0,2899.0,3001.0,3136.0,3155.0,3246970.0
전남 - 도서관 수(관),Statistics,52.0,52.0,57.0,57.0,59.0,60.0,63.0,64.0,64.0,67.0,69.0,70.0,71.0,71.0,73.0,74.0
전남 - 총 연면적(천㎡),Statistics,101.0,101.0,108.0,110.0,130.0,132.0,128.0,134.0,138.0,142.0,142.0,147.0,153.0,163.0,170.0,174892.0
전북 - 도서관 수(관),Statistics,42.0,43.0,45.0,47.0,49.0,53.0,55.0,56.0,58.0,58.0,58.0,59.0,63.0,64.0,66.0,66.0
전북 - 총 연면적(천㎡),Statistics,79.0,81.0,93.0,98.0,101.0,112.0,118.0,123.0,127.0,133.0,133.0,136.0,149.0,153.0,157.0,156929.0
제주 - 도서관 수(관),Statistics,22.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0
제주 - 총 연면적(천㎡),Statistics,46.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0,51.0,51.0,53.0,54.0,53782.0
충남 - 도서관 수(관),Statistics,46.0,50.0,51.0,51.0,50.0,55.0,57.0,58.0,59.0,59.0,62.0,63.0,63.0,63.0,62.0,62.0
충남 - 총 연면적(천㎡),Statistics,83.0,105.0,107.0,106.0,104.0,114.0,118.0,119.0,122.0,123.0,153.0,159.0,159.0,159.0,158.0,161825.0
충북 - 도서관 수(관),Statistics,28.0,30.0,32.0,32.0,36.0,38.0,41.0,42.0,44.0,45.0,45.0,48.0,50.0,54.0,54.0,55.0
충북 - 총 연면적(천㎡),Statistics,62.0,66.0,75.0,74.0,80.0,82.0,82.0,91.0,93.0,97.0,100.0,107.0,112.0,123.0,121.0,120727.0
