item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 무주택가구,Statistics,10241.0,10244.0,10279.0,10248.0,10406.0,10611.0,10757.0,10751.0
가평군 - 무주택가구비율,Statistics,43.3,42.3,41.6,41.1,40.6,40.5,40.2,39.5
가평군 - 주택소유가구,Statistics,13387.0,13957.0,14445.0,14702.0,15246.0,15610.0,16015.0,16490.0
가평군 - 주택소유가구비율,Statistics,56.7,57.7,58.4,58.9,59.4,59.5,59.8,60.5
가평군 - 총가구(일반가구),Statistics,23628.0,24201.0,24724.0,24950.0,25652.0,26221.0,26772.0,27241.0
강남구 - 무주택가구,Statistics,107594.0,106571.0,103473.0,106076.0,107431.0,106166.0,104290.0,108181.0
강남구 - 무주택가구비율,Statistics,51.5,51.4,51.0,51.4,51.4,50.3,49.1,49.4
강남구 - 주택소유가구,Statistics,101310.0,100798.0,99610.0,100448.0,101402.0,105002.0,108209.0,110714.0
강남구 - 주택소유가구비율,Statistics,48.5,48.6,49.0,48.6,48.6,49.7,50.9,50.6
강남구 - 총가구(일반가구),Statistics,208904.0,207369.0,203083.0,206524.0,208833.0,211168.0,212499.0,218895.0
강동구 - 무주택가구,Statistics,84487.0,85327.0,84100.0,86784.0,91003.0,94908.0,96855.0,98743.0
강동구 - 무주택가구비율,Statistics,52.8,53.1,52.8,53.2,51.4,51.2,51.6,52.1
강동구 - 주택소유가구,Statistics,75534.0,75353.0,75133.0,76192.0,86145.0,90533.0,90760.0,90856.0
강동구 - 주택소유가구비율,Statistics,47.2,46.9,47.2,46.8,48.6,48.8,48.4,47.9
강동구 - 총가구(일반가구),Statistics,160021.0,160680.0,159233.0,162976.0,177148.0,185441.0,187615.0,189599.0
강릉시 - 무주택가구,Statistics,41283.0,41429.0,41847.0,40857.0,44955.0,44048.0,41974.0,42792.0
강릉시 - 무주택가구비율,Statistics,46.6,46.1,46.2,44.4,45.9,44.4,43.0,43.3
강릉시 - 주택소유가구,Statistics,47339.0,48445.0,48817.0,51236.0,53077.0,55057.0,55689.0,56126.0
강릉시 - 주택소유가구비율,Statistics,53.4,53.9,53.8,55.6,54.1,55.6,57.0,56.7
강릉시 - 총가구(일반가구),Statistics,88622.0,89874.0,90664.0,92093.0,98032.0,99105.0,97663.0,98918.0
강북구 - 무주택가구,Statistics,63181.0,63975.0,63832.0,64377.0,65403.0,65464.0,66503.0,66758.0
강북구 - 무주택가구비율,Statistics,50.3,50.3,50.0,50.3,50.4,50.2,50.7,50.8
강북구 - 주택소유가구,Statistics,62399.0,63306.0,63719.0,63635.0,64402.0,64865.0,64772.0,64605.0
강북구 - 주택소유가구비율,Statistics,49.7,49.7,50.0,49.7,49.6,49.8,49.3,49.2
강북구 - 총가구(일반가구),Statistics,125580.0,127281.0,127551.0,128012.0,129805.0,130329.0,131275.0,131363.0
강서구 - 무주택가구,Statistics,113173.0,119831.0,122997.0,127815.0,131807.0,135209.0,139622.0,140744.0
강서구 - 무주택가구비율,Statistics,50.8,51.7,52.2,53.2,54.0,54.1,54.9,55.1
강서구 - 주택소유가구,Statistics,109479.0,111908.0,112757.0,112320.0,112290.0,114775.0,114918.0,114873.0
강서구 - 주택소유가구비율,Statistics,49.2,48.3,47.8,46.8,46.0,45.9,45.1,44.9
강서구 - 총가구(일반가구),Statistics,222652.0,231739.0,235754.0,240135.0,244097.0,249984.0,254540.0,255617.0
강원특별자치도 - 무주택가구,Statistics,277522.0,274774.0,275449.0,270390.0,282343.0,283355.0,284658.0,291185.0
강원특별자치도 - 무주택가구비율,Statistics,45.0,44.3,43.8,42.7,42.7,42.0,41.6,41.7
강원특별자치도 - 주택소유가구,Statistics,338824.0,345955.0,353035.0,363552.0,378696.0,391373.0,400237.0,407225.0
