item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bio-SRF - 강원 - 생산량,Statistics,654.0,686.0,684.0,570.0,663.0,498.0,390.0,434.453081359,303.0
Bio-SRF - 경기 - 생산량,Statistics,310.0,89.0,453.0,865.0,1076.0,1002.0,1077.0,1484.134798718,1532.0
Bio-SRF - 경남 - 생산량,Statistics,4.0,,,1.0,29.0,23.0,82.0,113.4047073773,403.0
Bio-SRF - 대구 - 생산량,Statistics,71.0,,,,,,,,
Bio-SRF - 세종 - 생산량,Statistics,,15.0,173.0,177.0,168.0,177.0,247.0,285.6,294.0
Bio-SRF - 인천 - 생산량,Statistics,136.0,188.0,356.0,431.0,181.0,236.0,546.0,581.62002422,656.0
Bio-SRF - 전국 - 생산량,Statistics,2084.0,2814.0,4377.0,5329.0,5102.0,5014.0,5229.0,6418.8301143813,9848.0
Bio-SRF - 전남 - 생산량,Statistics,13.0,28.0,21.0,22.0,32.0,59.0,50.0,55.8393339888,3.0
Bio-SRF - 전북 - 생산량,Statistics,104.0,350.0,849.0,1032.0,1111.0,1307.0,1270.0,1243.0059324687,1792.0
Bio-SRF - 제주 - 생산량,Statistics,,,,,,6.0,3.0,18.00324895,60.0
Bio-SRF - 충남 - 생산량,Statistics,786.0,1450.0,1814.0,2203.0,1818.0,1690.0,1550.0,2191.5808872994,4796.0
Bio-SRF - 충북 - 생산량,Statistics,6.0,8.0,27.0,27.0,23.0,16.0,16.0,11.1881,8.0
IGCC - 전국 - 생산량,Statistics,,,,1702006.0,1031272.0,2377374.0,2190755.0,1964827.3,996517.0
IGCC - 충남 - 생산량,Statistics,,,,1702006.0,1031272.0,2377374.0,2190755.0,1964827.3,996517.0
SRF - 강원 - 생산량,Statistics,443.0,82.0,85.0,142.0,115.0,46.0,43.0,23.7637430818,48.0
SRF - 경기 - 생산량,Statistics,195.0,512.0,590.0,768.0,553.0,222.0,216.0,364.1099375435,504.0
SRF - 경남 - 생산량,Statistics,,,236.0,244.0,197.0,76.0,58.0,70.1117328313,68.0
SRF - 경북 - 생산량,Statistics,58.0,,34.0,41.0,116.0,55.0,50.0,29.5364435896,110.0
SRF - 대구 - 생산량,Statistics,,,18.0,23.0,18.0,8.0,7.0,,129.0
SRF - 대전 - 생산량,Statistics,,,,198.0,208.0,89.0,88.0,121.5715157966,82.0
