item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bio-SRF - 강원 - 생산량,Statistics,,,,,,,,,67463.0,65372.0,68636.0,68425.0,57030.0,66281.0,49817.0,38963.0,43445.3081359029,30267.0
Bio-SRF - 경기 - 생산량,Statistics,,,,,,,,,117725.0,30975.0,8929.0,45345.0,86454.0,107586.0,100196.0,107699.0,148413.4798718,153173.0
Bio-SRF - 경남 - 생산량,Statistics,,,,,,,,,186982.0,390.0,,,142.0,2927.0,2336.0,8165.0,11340.470737728,40318.0
Bio-SRF - 대구 - 생산량,Statistics,,,,,,,,,33176.0,7138.0,,,,,,,,
Bio-SRF - 세종 - 생산량,Statistics,,,,,,,,,8955.0,,1489.0,17288.0,17703.0,16840.0,17682.0,24657.0,28560.0,29423.0
Bio-SRF - 인천 - 생산량,Statistics,,,,,,,,,8726.0,13593.0,18793.0,35638.0,43144.0,18118.0,23594.0,54602.0,58162.002422,65614.0
Bio-SRF - 전국 - 생산량,Statistics,,,,,,,,,527270.0,208392.0,281394.0,437734.0,532943.0,510194.0,501406.0,522913.0,641883.0114381273,984798.0
Bio-SRF - 전남 - 생산량,Statistics,,,,,,,,,,1296.0,2811.0,2141.0,2205.0,3151.0,5901.0,4980.0,5583.93339888,299.0
Bio-SRF - 전북 - 생산량,Statistics,,,,,,,,,62398.0,10397.0,34987.0,84861.0,103240.0,111143.0,130656.0,126973.0,124300.593246874,179232.0
Bio-SRF - 제주 - 생산량,Statistics,,,,,,,,,,,,,,,570.0,316.0,1800.3248950025,6032.0
Bio-SRF - 충남 - 생산량,Statistics,,,,,,,,,38760.0,78635.0,144995.0,181377.0,220347.0,181826.0,169048.0,154953.0,219158.08872994,479620.0
Bio-SRF - 충북 - 생산량,Statistics,,,,,,,,,3085.0,596.0,754.0,2659.0,2677.0,2321.0,1605.0,1605.0,1118.81,821.0
IGCC - 전국 - 생산량,Statistics,,,,,,,,,,,,,362527.0,219661.0,506381.0,466631.0,418508.2149,212258.0
IGCC - 충남 - 생산량,Statistics,,,,,,,,,,,,,362527.0,219661.0,506381.0,466631.0,418508.2149,212258.0
RDF/RPF/TDF - 강원 - 생산량,Statistics,28841.0,33506.0,39884.0,29708.0,2929.0,5082.0,5155.0,17991.0,,,,,,,,,,
RDF/RPF/TDF - 경기 - 생산량,Statistics,0.0,,0.0,0.0,40654.0,78732.0,98882.0,61611.0,,,,,,,,,,
RDF/RPF/TDF - 경남 - 생산량,Statistics,0.0,,0.0,0.0,4020.0,31176.0,41770.0,,,,,,,,,,,
RDF/RPF/TDF - 경북 - 생산량,Statistics,0.0,,0.0,0.0,5040.0,6378.0,5852.0,877.0,,,,,,,,,,
RDF/RPF/TDF - 광주 - 생산량,Statistics,0.0,,0.0,0.0,,,,,,,,,,,,,,
RDF/RPF/TDF - 대구 - 생산량,Statistics,0.0,,0.0,0.0,1140.0,1218.0,1178.0,5852.0,,,,,,,,,,
RDF/RPF/TDF - 대전 - 생산량,Statistics,0.0,,0.0,0.0,1860.0,1740.0,1890.0,,,,,,,,,,,
RDF/RPF/TDF - 부산 - 생산량,Statistics,0.0,,0.0,0.0,840.0,1374.0,1535.0,11421.0,,,,,,,,,,
RDF/RPF/TDF - 서울 - 생산량,Statistics,0.0,,0.0,0.0,,,,,,,,,,,,,,
RDF/RPF/TDF - 세종 - 생산량,Statistics,,,,,,,,1092.0,,,,,,,,,,
RDF/RPF/TDF - 울산 - 생산량,Statistics,0.0,,0.0,0.0,4620.0,4476.0,2967.0,12120.0,,,,,,,,,,
RDF/RPF/TDF - 인천 - 생산량,Statistics,0.0,,0.0,0.0,5712.0,11584.0,6858.0,7107.0,,,,,,,,,,
RDF/RPF/TDF - 전국 - 생산량,Statistics,36980.0,42984.0,60584.0,45393.0,93275.0,220171.0,261022.0,286419.0,,,,,,,,,,
RDF/RPF/TDF - 전남 - 생산량,Statistics,0.0,,0.0,0.0,9480.0,13714.0,17997.0,4058.0,,,,,,,,,,
RDF/RPF/TDF - 전북 - 생산량,Statistics,0.0,,0.0,0.0,2760.0,3348.0,6777.0,124799.0,,,,,,,,,,
RDF/RPF/TDF - 제주 - 생산량,Statistics,0.0,,0.0,0.0,,,,,,,,,,,,,,
RDF/RPF/TDF - 충남 - 생산량,Statistics,0.0,,0.0,0.0,180.0,2274.0,9893.0,3950.0,,,,,,,,,,
RDF/RPF/TDF - 충북 - 생산량,Statistics,8139.0,9478.0,20700.0,15685.0,14040.0,59075.0,60269.0,35541.0,,,,,,,,,,
SRF - 강원 - 생산량,Statistics,,,,,,,,,72.0,44349.0,8188.0,8469.0,14162.0,11497.0,4594.0,4265.0,2376.3743081847,4764.0
SRF - 경기 - 생산량,Statistics,,,,,,,,,3061.0,19514.0,51183.0,58991.0,76830.0,55299.0,22238.0,21570.0,36410.9937543457,50441.0
SRF - 경남 - 생산량,Statistics,,,,,,,,,,,,23597.0,24440.0,19680.0,7607.0,5778.0,7011.1732831302,6839.0
SRF - 경북 - 생산량,Statistics,,,,,,,,,621.0,5770.0,,3445.0,4106.0,11648.0,5523.0,5032.0,2953.6443589551,11048.0
SRF - 대구 - 생산량,Statistics,,,,,,,,,,,,1784.0,2330.0,1802.0,790.0,720.0,,12942.0
