item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 1급 - 공무원 수,Statistics,433.0,450.0,496.0,530.0,545.0,549.0,551.0,,,,,,
강원특별자치도 - 2급 - 공무원 수,Statistics,80.0,162.0,190.0,257.0,281.0,323.0,361.5,,,,,,
강원특별자치도 - 3급 - 공무원 수,Statistics,8.0,7.0,6.0,7.0,7.0,6.0,4.0,,,,,,
강원특별자치도 - 정원 - 공무원 수,Statistics,550.0,660.0,715.0,841.0,841.0,928.0,1057.0,1055.0,1171.0,1328.0,1368.0,1495.0,1547.0
강원특별자치도 - 현원 - 공무원 수,Statistics,521.0,619.0,692.0,794.0,833.0,878.0,916.5,1008.0,1051.0,1161.0,1291.0,1322.0,1328.0
경기도 - 1급 - 공무원 수,Statistics,1427.0,1571.0,1736.0,1828.0,1923.0,1991.0,2063.0,,,,,,
경기도 - 2급 - 공무원 수,Statistics,323.0,477.0,633.0,810.0,925.0,1092.0,1257.0,,,,,,
경기도 - 3급 - 공무원 수,Statistics,3.0,12.0,15.0,14.0,11.0,11.0,9.0,,,,,,
경기도 - 정원 - 공무원 수,Statistics,1898.0,2624.0,2429.0,2642.0,2809.0,3341.5,3708.0,4263.0,4516.9,5017.5,5521.3,6158.0,6348.0
경기도 - 현원 - 공무원 수,Statistics,1753.0,2060.0,2384.0,2652.0,2859.0,3094.0,3330.0,3917.5,4331.5,4709.0,5150.0,5400.0,5736.0
경상남도 - 1급 - 공무원 수,Statistics,725.0,801.0,863.0,909.0,927.0,936.0,944.0,,,,,,
경상남도 - 2급 - 공무원 수,Statistics,135.0,193.0,247.0,312.0,305.0,409.0,459.0,,,,,,
경상남도 - 3급 - 공무원 수,Statistics,19.0,2.0,6.0,2.0,6.0,2.0,2.0,,,,,,
경상남도 - 정원 - 공무원 수,Statistics,890.0,1005.0,1140.0,1388.0,1320.0,1466.0,1625.0,1679.0,1733.0,1937.0,2069.0,2110.0,2126.0
경상남도 - 현원 - 공무원 수,Statistics,879.0,996.0,1116.0,1223.0,1238.0,1349.0,1405.0,1583.0,1703.0,1861.0,1866.0,1857.0,1957.0
경상북도 - 1급 - 공무원 수,Statistics,752.0,865.0,850.0,984.0,961.0,956.0,973.0,,,,,,
경상북도 - 2급 - 공무원 수,Statistics,150.0,269.0,321.0,381.0,410.0,485.0,561.0,,,,,,
경상북도 - 3급 - 공무원 수,Statistics,3.0,3.0,5.0,4.0,3.0,10.0,6.0,,,,,,
경상북도 - 정원 - 공무원 수,Statistics,961.0,1189.0,1213.0,1346.0,1390.0,1495.0,1653.0,1767.0,1882.0,1950.0,2102.0,2198.0,2170.0
경상북도 - 현원 - 공무원 수,Statistics,905.0,1137.0,1176.0,1369.0,1374.0,1451.0,1540.0,1671.0,1787.0,1923.0,2040.0,1982.0,1972.0
광주광역시 - 1급 - 공무원 수,Statistics,255.0,306.0,318.0,371.0,362.0,344.0,365.0,,,,,,
광주광역시 - 2급 - 공무원 수,Statistics,36.0,60.0,102.0,124.0,187.0,238.0,299.0,,,,,,
광주광역시 - 정원 - 공무원 수,Statistics,291.0,470.0,441.0,501.0,565.0,609.0,697.0,715.0,846.0,850.0,972.0,973.0,939.0
광주광역시 - 현원 - 공무원 수,Statistics,291.0,366.0,420.0,495.0,549.0,582.0,664.0,714.0,812.0,893.0,923.0,932.0,922.0
