item,category,2016,2017,2018,2019,2020,2021,2022
강원특별자치도 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
강원특별자치도 - 계 - 종사자수,Statistics,23526.0,20543.0,21004.0,23405.0,24676.0,26092.0,25322.0
강원특별자치도 - 노숙인 - 종사자수,Statistics,58.0,62.0,62.0,65.0,74.0,134.0,79.0
강원특별자치도 - 노인 - 종사자수,Statistics,8625.0,8738.0,9058.0,10991.0,12047.0,13397.0,12186.0
강원특별자치도 - 사회복지관 - 종사자수,Statistics,223.0,242.0,253.0,261.0,405.0,352.0,424.0
강원특별자치도 - 아동 - 종사자수,Statistics,3914.0,689.0,722.0,775.0,802.0,779.0,1091.0
강원특별자치도 - 어린이집 - 종사자수,Statistics,8978.0,9022.0,9075.0,9429.0,9449.0,9472.0,9361.0
강원특별자치도 - 장애인 - 종사자수,Statistics,1603.0,1661.0,1705.0,1761.0,1746.0,1798.0,1946.0
강원특별자치도 - 정신보건 - 종사자수,Statistics,12.0,12.0,13.0,13.0,13.0,13.0,150.0
강원특별자치도 - 지역자활센터 - 종사자수,Statistics,113.0,117.0,116.0,110.0,140.0,147.0,85.0
경기도 - 결핵 및 한센 - 종사자수,Statistics,13.0,12.0,13.0,14.0,14.0,13.0,14.0
경기도 - 계 - 종사자수,Statistics,152425.0,144331.0,151121.0,157764.0,166365.0,179424.0,113981.0
경기도 - 노숙인 - 종사자수,Statistics,243.0,161.0,231.0,181.0,186.0,184.0,175.0
경기도 - 노인 - 종사자수,Statistics,37507.0,41658.0,45483.0,50239.0,58389.0,70764.0,16957.0
경기도 - 사회복지관 - 종사자수,Statistics,1499.0,1569.0,1641.0,1711.0,1930.0,2113.0,2401.0
경기도 - 아동 - 종사자수,Statistics,19018.0,3199.0,3302.0,3440.0,3792.0,4095.0,916.0
경기도 - 어린이집 - 종사자수,Statistics,86934.0,90246.0,92580.0,93803.0,93164.0,92320.0,91158.0
경기도 - 장애인 - 종사자수,Statistics,6550.0,6826.0,7086.0,7595.0,8036.0,8999.0,1992.0
경기도 - 정신보건 - 종사자수,Statistics,388.0,374.0,470.0,462.0,467.0,510.0,208.0
경기도 - 지역자활센터 - 종사자수,Statistics,273.0,286.0,315.0,319.0,387.0,426.0,160.0
경상남도 - 결핵 및 한센 - 종사자수,Statistics,15.0,15.0,16.0,20.0,18.0,21.0,23.0
경상남도 - 계 - 종사자수,Statistics,39708.0,34959.0,35821.0,35995.0,37416.0,40263.0,25443.0
경상남도 - 노숙인 - 종사자수,Statistics,69.0,71.0,73.0,72.0,80.0,80.0,83.0
