item,category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 강력범죄 (강제추행) - 검거건수,Statistics,356.0,348.0,348.0,398.0,470.0,437.0,392.0,344.0,389.0,440.0
강원특별자치도 - 강력범죄 (강제추행) - 검거인원,Statistics,362.0,350.0,365.0,434.0,498.0,468.0,439.0,371.0,404.0,452.0
강원특별자치도 - 강력범죄 (강제추행) - 발생건수,Statistics,375.0,369.0,365.0,424.0,485.0,462.0,408.0,372.0,431.0,471.0
강원특별자치도 - 강력범죄 (기타 강간 등) - 검거건수,Statistics,38.0,29.0,14.0,10.0,11.0,5.0,7.0,9.0,9.0,5.0
강원특별자치도 - 강력범죄 (기타 강간 등) - 검거인원,Statistics,53.0,40.0,21.0,17.0,12.0,8.0,9.0,8.0,10.0,5.0
강원특별자치도 - 강력범죄 (기타 강간 등) - 발생건수,Statistics,28.0,29.0,14.0,10.0,12.0,7.0,9.0,9.0,10.0,6.0
강원특별자치도 - 강력범죄 (방화) - 검거건수,Statistics,50.0,47.0,43.0,50.0,43.0,42.0,36.0,36.0,33.0,28.0
강원특별자치도 - 강력범죄 (방화) - 검거인원,Statistics,52.0,45.0,51.0,53.0,43.0,44.0,44.0,36.0,33.0,28.0
강원특별자치도 - 강력범죄 (방화) - 발생건수,Statistics,52.0,49.0,47.0,55.0,45.0,43.0,38.0,39.0,34.0,30.0
강원특별자치도 - 강력범죄 (살인기수) - 검거건수,Statistics,10.0,11.0,13.0,13.0,16.0,7.0,18.0,7.0,9.0,11.0
강원특별자치도 - 강력범죄 (살인기수) - 검거인원,Statistics,10.0,12.0,12.0,15.0,19.0,7.0,25.0,10.0,16.0,15.0
강원특별자치도 - 강력범죄 (살인기수) - 발생건수,Statistics,11.0,12.0,13.0,13.0,17.0,7.0,17.0,7.0,10.0,12.0
강원특별자치도 - 강력범죄 소계 - 검거건수,Statistics,689.0,657.0,671.0,699.0,748.0,739.0,659.0,580.0,742.0,668.0
강원특별자치도 - 강력범죄 소계 - 검거인원,Statistics,809.0,690.0,753.0,768.0,820.0,821.0,785.0,625.0,796.0,702.0
강원특별자치도 - 강력범죄 소계 - 발생건수,Statistics,715.0,694.0,706.0,741.0,785.0,779.0,679.0,627.0,801.0,722.0
강원특별자치도 - 강력범죄(강간) - 검거건수,Statistics,162.0,137.0,189.0,159.0,157.0,180.0,141.0,136.0,232.0,139.0
강원특별자치도 - 강력범죄(강간) - 검거인원,Statistics,227.0,158.0,223.0,179.0,195.0,213.0,180.0,148.0,260.0,150.0
강원특별자치도 - 강력범죄(강간) - 발생건수,Statistics,175.0,150.0,202.0,169.0,173.0,188.0,146.0,144.0,245.0,154.0
강원특별자치도 - 강력범죄(강도) - 검거건수,Statistics,55.0,35.0,29.0,26.0,16.0,26.0,21.0,10.0,18.0,10.0
강원특별자치도 - 강력범죄(강도) - 검거인원,Statistics,86.0,33.0,43.0,27.0,18.0,34.0,34.0,11.0,23.0,12.0
강원특별자치도 - 강력범죄(강도) - 발생건수,Statistics,56.0,35.0,28.0,27.0,16.0,25.0,21.0,11.0,19.0,10.0
강원특별자치도 - 강력범죄(살인미수 등) - 검거건수,Statistics,14.0,20.0,16.0,19.0,8.0,14.0,19.0,9.0,16.0,14.0
강원특별자치도 - 강력범죄(살인미수 등) - 검거인원,Statistics,14.0,19.0,16.0,19.0,8.0,15.0,26.0,10.0,16.0,20.0
강원특별자치도 - 강력범죄(살인미수 등) - 발생건수,Statistics,14.0,21.0,15.0,19.0,8.0,15.0,18.0,8.0,16.0,15.0
강원특별자치도 - 강력범죄(유사강간) - 검거건수,Statistics,4.0,30.0,19.0,24.0,27.0,28.0,25.0,29.0,36.0,21.0
강원특별자치도 - 강력범죄(유사강간) - 검거인원,Statistics,5.0,33.0,22.0,24.0,27.0,32.0,28.0,31.0,34.0,20.0
강원특별자치도 - 강력범죄(유사강간) - 발생건수,Statistics,4.0,29.0,22.0,24.0,29.0,32.0,22.0,37.0,36.0,24.0
