item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 계 - 지수,Statistics,75.84,68.03,72.69,73.57,78.62,81.66,81.14,73.32,75.67,78.5,83.09,85.33,73.69,73.73
가평군 - 교통안전영역 - 지수,Statistics,26.47,22.4,24.45,16.27,17.95,27.34,20.05,7.27,11.57,13.75,18.24,18.24,10.94,12.51
가평군 - 교통약자영역 - 지수,Statistics,8.81,7.13,8.91,7.3,14.88,,,,,,,,,
가평군 - 보행행태영역 - 지수,Statistics,9.84,8.32,9.27,14.3,13.42,14.8,13.91,17.55,16.44,16.81,17.68,17.52,15.57,16.66
가평군 - 운전행태영역 - 지수,Statistics,30.72,30.18,30.06,35.7,32.93,39.52,47.18,48.5,47.66,47.94,47.18,49.57,47.18,44.56
강남구 - 계 - 지수,Statistics,83.25,80.05,81.08,87.38,84.67,90.27,84.84,73.87,78.35,73.79,83.56,82.57,71.31,72.21
강남구 - 교통안전영역 - 지수,Statistics,32.25,31.31,31.28,24.4,25.23,34.78,25.76,10.42,15.64,11.48,19.2,18.58,9.09,9.46
강남구 - 교통약자영역 - 지수,Statistics,9.69,9.6,9.52,14.61,13.14,,,,,,,,,
강남구 - 보행행태영역 - 지수,Statistics,9.65,9.13,9.3,14.09,12.96,13.67,11.39,16.64,16.81,16.92,18.03,17.69,17.14,18.12
강남구 - 운전행태영역 - 지수,Statistics,31.66,30.02,30.98,34.28,34.64,41.81,47.69,46.81,45.91,45.39,46.34,46.31,45.08,44.62
강동구 - 계 - 지수,Statistics,84.82,84.91,81.83,80.05,82.15,82.89,82.59,76.68,76.58,77.38,83.9,83.73,73.27,80.58
강동구 - 교통안전영역 - 지수,Statistics,35.36,35.74,34.6,27.64,27.22,34.48,24.93,15.5,14.6,12.43,18.72,18.67,10.93,15.52
강동구 - 교통약자영역 - 지수,Statistics,9.7,9.68,9.66,7.38,9.49,,,,,,,,,
강동구 - 보행행태영역 - 지수,Statistics,9.82,9.89,9.53,14.95,13.95,12.74,13.77,16.81,17.51,17.19,17.29,17.32,16.28,17.5
강동구 - 운전행태영역 - 지수,Statistics,29.94,29.6,28.04,30.08,31.67,35.67,43.89,44.38,44.47,47.75,47.88,47.75,46.05,47.57
강릉시 - 계 - 지수,Statistics,77.55,74.38,71.81,77.36,87.14,81.46,82.23,75.08,79.84,78.57,81.08,77.32,77.46,80.42
강릉시 - 교통안전영역 - 지수,Statistics,29.08,30.11,28.65,22.76,23.95,33.26,21.8,9.61,17.9,16.52,18.73,17.21,17.38,18.88
강릉시 - 교통약자영역 - 지수,Statistics,8.74,8.9,7.85,7.31,13.9,,,,,,,,,
강릉시 - 보행행태영역 - 지수,Statistics,8.89,6.24,8.07,12.75,13.9,13.11,13.61,17.21,17.47,15.15,16.64,16.17,15.64,15.56
강릉시 - 운전행태영역 - 지수,Statistics,30.83,29.14,27.24,34.55,36.24,35.09,46.82,48.26,44.47,46.9,45.71,43.94,44.43,45.98
강북구 - 계 - 지수,Statistics,83.29,81.66,84.11,81.78,83.51,83.52,78.6,74.11,78.51,79.09,81.82,78.05,76.5,79.5
강북구 - 교통안전영역 - 지수,Statistics,32.76,35.15,33.68,26.8,26.2,34.32,21.97,10.24,14.18,15.66,20.02,12.85,12.79,16.01
강북구 - 교통약자영역 - 지수,Statistics,9.56,9.67,9.56,14.18,10.57,,,,,,,,,
강북구 - 보행행태영역 - 지수,Statistics,8.91,8.96,8.84,13.77,14.26,14.05,13.49,17.11,17.38,16.17,16.41,18.05,17.34,17.78
강북구 - 운전행태영역 - 지수,Statistics,32.07,27.89,32.03,27.04,33.11,35.15,43.15,46.75,46.96,47.25,45.39,47.15,46.37,45.71
강서구 - 계 - 지수,Statistics,82.7,83.23,81.8,81.49,88.57,85.92,92.46,84.94,77.75,79.96,82.5,81.44,71.4,83.49
강서구 - 교통안전영역 - 지수,Statistics,34.69,35.43,34.25,26.29,26.09,37.25,27.25,20.74,18.63,17.83,18.51,17.67,9.89,19.45
강서구 - 교통약자영역 - 지수,Statistics,9.36,9.45,9.35,12.93,13.59,,,,,,,,,
강서구 - 보행행태영역 - 지수,Statistics,7.06,9.25,8.15,12.52,14.82,13.09,13.99,17.16,13.57,16.66,15.54,17.29,16.04,16.73
강서구 - 운전행태영역 - 지수,Statistics,31.59,29.09,30.05,29.75,35.48,35.58,51.21,47.04,45.55,45.47,48.44,46.48,45.47,47.31
