item,category,2016,2017,2018,2019,2020,2021,2022,2023
강원 강릉시 - 감염병 - 등급,Statistics,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0
강원 강릉시 - 교통사고 - 등급,Statistics,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0
강원 강릉시 - 범죄 - 등급,Statistics,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0
강원 강릉시 - 생활안전 - 등급,Statistics,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
강원 강릉시 - 자살 - 등급,Statistics,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
강원 강릉시 - 화재 - 등급,Statistics,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0
강원 고성군 - 감염병 - 등급,Statistics,2.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
강원 고성군 - 교통사고 - 등급,Statistics,2.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0
강원 고성군 - 범죄 - 등급,Statistics,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0
강원 고성군 - 생활안전 - 등급,Statistics,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0
강원 고성군 - 자살 - 등급,Statistics,4.0,2.0,2.0,3.0,2.0,4.0,5.0,5.0
강원 고성군 - 화재 - 등급,Statistics,2.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0
강원 동해시 - 감염병 - 등급,Statistics,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
강원 동해시 - 교통사고 - 등급,Statistics,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
강원 동해시 - 범죄 - 등급,Statistics,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0
강원 동해시 - 생활안전 - 등급,Statistics,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
강원 동해시 - 자살 - 등급,Statistics,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0
강원 동해시 - 화재 - 등급,Statistics,2.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0
강원 삼척시 - 감염병 - 등급,Statistics,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0
강원 삼척시 - 교통사고 - 등급,Statistics,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0
강원 삼척시 - 범죄 - 등급,Statistics,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0
강원 삼척시 - 생활안전 - 등급,Statistics,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0
강원 삼척시 - 자살 - 등급,Statistics,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0
강원 삼척시 - 화재 - 등급,Statistics,4.0,5.0,5.0,5.0,3.0,4.0,5.0,2.0
강원 속초시 - 감염병 - 등급,Statistics,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0
강원 속초시 - 교통사고 - 등급,Statistics,3.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0
강원 속초시 - 범죄 - 등급,Statistics,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
강원 속초시 - 생활안전 - 등급,Statistics,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0
강원 속초시 - 자살 - 등급,Statistics,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0
강원 속초시 - 화재 - 등급,Statistics,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0
강원 양구군 - 감염병 - 등급,Statistics,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0
강원 양구군 - 교통사고 - 등급,Statistics,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0
강원 양구군 - 범죄 - 등급,Statistics,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0
강원 양구군 - 생활안전 - 등급,Statistics,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
강원 양구군 - 자살 - 등급,Statistics,2.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0
강원 양구군 - 화재 - 등급,Statistics,2.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0
강원 양양군 - 감염병 - 등급,Statistics,3.0,3.0,2.0,4.0,2.0,5.0,5.0,3.0
강원 양양군 - 교통사고 - 등급,Statistics,4.0,3.0,5.0,4.0,4.0,2.0,2.0,5.0
강원 양양군 - 범죄 - 등급,Statistics,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
강원 양양군 - 생활안전 - 등급,Statistics,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
강원 양양군 - 자살 - 등급,Statistics,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0
강원 양양군 - 화재 - 등급,Statistics,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0
강원 영월군 - 감염병 - 등급,Statistics,3.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0
강원 영월군 - 교통사고 - 등급,Statistics,3.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0
강원 영월군 - 범죄 - 등급,Statistics,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0
강원 영월군 - 생활안전 - 등급,Statistics,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
강원 영월군 - 자살 - 등급,Statistics,3.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0
강원 영월군 - 화재 - 등급,Statistics,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0
강원 원주시 - 감염병 - 등급,Statistics,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0
강원 원주시 - 교통사고 - 등급,Statistics,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
강원 원주시 - 범죄 - 등급,Statistics,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0
강원 원주시 - 생활안전 - 등급,Statistics,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0
강원 원주시 - 자살 - 등급,Statistics,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
강원 원주시 - 화재 - 등급,Statistics,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0
강원 인제군 - 감염병 - 등급,Statistics,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0
강원 인제군 - 교통사고 - 등급,Statistics,3.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0
강원 인제군 - 범죄 - 등급,Statistics,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0
강원 인제군 - 생활안전 - 등급,Statistics,5.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0
강원 인제군 - 자살 - 등급,Statistics,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0
강원 인제군 - 화재 - 등급,Statistics,4.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0
강원 정선군 - 감염병 - 등급,Statistics,4.0,3.0,3.0,3.0,5.0,3.0,5.0,1.0
강원 정선군 - 교통사고 - 등급,Statistics,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
강원 정선군 - 범죄 - 등급,Statistics,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0
강원 정선군 - 생활안전 - 등급,Statistics,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0
강원 정선군 - 자살 - 등급,Statistics,3.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0
강원 정선군 - 화재 - 등급,Statistics,4.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0
강원 철원군 - 감염병 - 등급,Statistics,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0
강원 철원군 - 교통사고 - 등급,Statistics,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0
강원 철원군 - 범죄 - 등급,Statistics,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0
강원 철원군 - 생활안전 - 등급,Statistics,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
강원 철원군 - 자살 - 등급,Statistics,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0
강원 철원군 - 화재 - 등급,Statistics,2.0,2.0,5.0,3.0,3.0,3.0,1.0,3.0
강원 춘천시 - 감염병 - 등급,Statistics,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0
강원 춘천시 - 교통사고 - 등급,Statistics,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
강원 춘천시 - 범죄 - 등급,Statistics,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
강원 춘천시 - 생활안전 - 등급,Statistics,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
강원 춘천시 - 자살 - 등급,Statistics,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0
강원 춘천시 - 화재 - 등급,Statistics,4.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0
강원 태백시 - 감염병 - 등급,Statistics,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0
강원 태백시 - 교통사고 - 등급,Statistics,4.0,4.0,4.0,5.0,2.0,2.0,5.0,4.0
강원 태백시 - 범죄 - 등급,Statistics,2.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0
강원 태백시 - 생활안전 - 등급,Statistics,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
강원 태백시 - 자살 - 등급,Statistics,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
강원 태백시 - 화재 - 등급,Statistics,2.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0
강원 평창군 - 감염병 - 등급,Statistics,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0
강원 평창군 - 교통사고 - 등급,Statistics,2.0,2.0,4.0,4.0,2.0,2.0,3.0,5.0
강원 평창군 - 범죄 - 등급,Statistics,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
강원 평창군 - 생활안전 - 등급,Statistics,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
강원 평창군 - 자살 - 등급,Statistics,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0
강원 평창군 - 화재 - 등급,Statistics,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0
강원 홍천군 - 감염병 - 등급,Statistics,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
강원 홍천군 - 교통사고 - 등급,Statistics,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0
강원 홍천군 - 범죄 - 등급,Statistics,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0
강원 홍천군 - 생활안전 - 등급,Statistics,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
강원 홍천군 - 자살 - 등급,Statistics,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
강원 홍천군 - 화재 - 등급,Statistics,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0
강원 화천군 - 감염병 - 등급,Statistics,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
강원 화천군 - 교통사고 - 등급,Statistics,1.0,2.0,1.0,5.0,5.0,5.0,1.0,3.0
강원 화천군 - 범죄 - 등급,Statistics,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0
강원 화천군 - 생활안전 - 등급,Statistics,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
강원 화천군 - 자살 - 등급,Statistics,3.0,2.0,3.0,2.0,5.0,3.0,4.0,5.0
강원 화천군 - 화재 - 등급,Statistics,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0
강원 횡성군 - 감염병 - 등급,Statistics,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0
강원 횡성군 - 교통사고 - 등급,Statistics,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0
강원 횡성군 - 범죄 - 등급,Statistics,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0
강원 횡성군 - 생활안전 - 등급,Statistics,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0
강원 횡성군 - 자살 - 등급,Statistics,4.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0
강원 횡성군 - 화재 - 등급,Statistics,5.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0
