item,category,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 가 등급,Statistics,102.0,122.0,122.0,123.0,124.0,133.0,141.0,153.0
강원특별자치도 - 나 등급,Statistics,100.0,111.0,111.0,112.0,113.0,118.0,127.0,135.0
강원특별자치도 - 다 등급,Statistics,42.0,45.0,45.0,47.0,48.0,49.0,50.0,50.0
강원특별자치도 - 합계,Statistics,244.0,278.0,278.0,282.0,285.0,300.0,318.0,338.0
경기도 - 가 등급,Statistics,15.0,15.0,15.0,15.0,15.0,18.0,18.0,26.0
경기도 - 나 등급,Statistics,45.0,46.0,46.0,46.0,47.0,49.0,59.0,57.0
경기도 - 다 등급,Statistics,16.0,23.0,23.0,23.0,24.0,25.0,25.0,18.0
경기도 - 합계,Statistics,76.0,84.0,84.0,84.0,86.0,92.0,102.0,101.0
경상남도 - 가 등급,Statistics,76.0,79.0,79.0,81.0,89.0,117.0,125.0,133.0
경상남도 - 나 등급,Statistics,109.0,115.0,115.0,116.0,133.0,153.0,175.0,183.0
경상남도 - 다 등급,Statistics,51.0,53.0,53.0,56.0,60.0,62.0,60.0,60.0
경상남도 - 합계,Statistics,236.0,247.0,247.0,253.0,282.0,332.0,360.0,376.0
경상북도 - 가 등급,Statistics,95.0,96.0,96.0,105.0,127.0,144.0,147.0,181.0
경상북도 - 나 등급,Statistics,92.0,95.0,95.0,98.0,108.0,118.0,128.0,148.0
경상북도 - 다 등급,Statistics,135.0,137.0,137.0,141.0,141.0,142.0,142.0,143.0
경상북도 - 합계,Statistics,322.0,328.0,328.0,344.0,376.0,404.0,417.0,472.0
광주광역시 - 가 등급,Statistics,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0
광주광역시 - 나 등급,Statistics,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0
광주광역시 - 다 등급,Statistics,9.0,9.0,9.0,10.0,10.0,10.0,10.0,15.0
광주광역시 - 합계,Statistics,29.0,29.0,29.0,30.0,30.0,31.0,31.0,41.0
대구광역시 - 가 등급,Statistics,7.0,7.0,7.0,7.0,7.0,7.0,11.0,11.0
대구광역시 - 나 등급,Statistics,4.0,4.0,4.0,4.0,5.0,7.0,4.0,7.0
대구광역시 - 다 등급,Statistics,7.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
