item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 소비량,Statistics,8169.0,5969.0,6064.0,5997.0,6154.0,5975.0,5870.0,5882.0,5968.0,5645.0,6016.0,6110.0,6126.0
경기도 - 소비량,Statistics,25830.0,26172.0,26248.0,25355.0,27052.0,28645.0,29613.0,30692.0,30179.0,30176.0,31479.0,32145.0,31873.0
경상남도 - 소비량,Statistics,8966.0,9110.0,8957.0,8690.0,8831.0,9141.0,9538.0,9394.0,8656.0,8451.0,8724.0,8722.0,8721.0
경상북도 - 소비량,Statistics,18911.0,19130.0,19406.0,20975.0,20185.0,20677.0,20539.0,20493.0,21237.0,20942.0,22026.0,19916.0,19541.0
광주광역시 - 소비량,Statistics,2349.0,2433.0,2570.0,2541.0,2487.0,2528.0,2555.0,2543.0,2492.0,2420.0,2458.0,2476.0,2375.0
대구광역시 - 소비량,Statistics,4512.0,4382.0,4378.0,4322.0,4306.0,4379.0,4402.0,4461.0,4392.0,4062.0,4309.0,4548.0,4435.0
대전광역시 - 소비량,Statistics,2529.0,2640.0,2676.0,2631.0,2660.0,2729.0,2736.0,2760.0,2680.0,2558.0,2569.0,2640.0,2456.0
부산광역시 - 소비량,Statistics,6535.0,6500.0,6182.0,5722.0,5899.0,6311.0,6275.0,6375.0,6349.0,5910.0,5808.0,6021.0,5985.0
서울특별시 - 소비량,Statistics,15491.0,15203.0,15014.0,14680.0,14966.0,15214.0,15095.0,14746.0,14463.0,13316.0,13388.0,13227.0,12380.0
세종특별자치시 - 소비량,Statistics,,141.0,397.0,472.0,551.0,558.0,599.0,637.0,666.0,728.0,789.0,748.0,839.0
울산광역시 - 소비량,Statistics,24734.0,26075.0,25955.0,25321.0,23686.0,26946.0,27988.0,29905.0,28616.0,28684.0,29928.0,30020.0,30192.0
인천광역시 - 소비량,Statistics,10260.0,10859.0,10479.0,11212.0,12370.0,12646.0,13422.0,13769.0,13425.0,11226.0,10732.0,10654.0,12960.0
전국 - 소비량,Statistics,205241.0,206974.0,208376.0,210477.0,215447.0,222027.0,231179.0,233585.0,231621.0,222563.0,236030.0,234667.0,232193.0
전라남도 - 소비량,Statistics,38403.0,37573.0,38009.0,37776.0,39242.0,38862.0,42020.0,40013.0,41030.0,37540.0,46306.0,42969.0,41016.0
전북특별자치도 - 소비량,Statistics,5201.0,5138.0,5321.0,5339.0,5625.0,5801.0,5894.0,5806.0,5551.0,5309.0,5514.0,5978.0,5400.0
제주특별자치도 - 소비량,Statistics,1095.0,1087.0,1181.0,1195.0,1297.0,1399.0,1513.0,1547.0,1547.0,1445.0,1554.0,1571.0,1576.0
충청남도 - 소비량,Statistics,25926.0,28125.0,29106.0,32232.0,32643.0,34139.0,35968.0,37374.0,37244.0,37167.0,37224.0,39528.0,38721.0
충청북도 - 소비량,Statistics,6317.0,6416.0,6408.0,5971.0,6233.0,6742.0,6996.0,6970.0,7126.0,6984.0,7208.0,7393.0,7598.0
