item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,2462.5,2425.25,2425.25,2204.5,2574.174799,2035.435444,1966.640322,2134.51,2135.9,2087.86,2072.1,2054.86,2056.63,2073.04,2072.15,2075.92,2078.58,2015.1
가평군 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,159.85,159.25,159.25,158.83,185.461414,147.235407,164.4543798,178.49,178.6,174.59,174.4,172.9404211,173.11,174.69,176.94,177.26,178.75,174.81
가평군 - 공업지역 - 1인당 도시지역면적 현황,Statistics,0.0,1.82,1.82,1.73,2.017051965,1.595340903,1.557643262,1.69,1.69,1.65,1.64,1.63,1.63,1.64,1.64,1.65,1.65,1.6
가평군 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,83834000.0,83893000.0,83893000.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0,81889445.0
가평군 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,31969.0,32460.0,32460.0,34650.0,29674.0,37518.0,38426.0,35404.0,35381.0,36195.0,36452.0,36758.0,36726.0,36432.0,36410.0,36344.0,36277.0,37394.0
가평군 - 상업지역 - 1인당 도시지역면적 현황,Statistics,14.08,13.86,13.86,14.0,16.35081216,12.93229916,12.4747827,13.54,13.55,13.24,13.36,13.25,13.26,13.37,13.37,13.4,13.41,13.0
가평군 - 주거지역 - 1인당 도시지역면적 현황,Statistics,145.78,143.57,143.57,143.1,167.0935499,132.7077669,150.4219539,163.26,163.36,159.69,159.4,158.07,158.22,159.69,161.92,162.22,163.7,160.2
강남구 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,29.42,29.21,29.37,29.15,26.68409826,26.89093528,26.96304837,26.99,26.31,26.39,26.82,24.51,25.13,25.0,25.28,25.57,25.76,25.02
강남구 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,41.59,41.3,41.53,41.21,42.69030425,43.02121051,43.13657995,43.18,42.1,42.22,42.91,46.50833028,47.69,47.45,47.97,48.53,48.89,47.47
강남구 - 공업지역 - 1인당 도시지역면적 현황,Statistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
강남구 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39550000.0,39497268.0,39497268.0,39497268.0,39497268.0,39497268.0,39497452.0,39497452.0
강남구 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,556964.0,560958.0,557832.0,562138.0,570095.0,565710.0,564197.0,563599.0,578114.0,576495.0,567115.0,556164.0,542364.0,545169.0,539231.0,533042.0,529102.0,544873.0
강남구 - 상업지역 - 1인당 도시지역면적 현황,Statistics,4.04,4.01,4.03,4.0,4.071172348,4.102729314,4.113731551,4.12,4.01,4.03,4.09,3.02,3.09,3.08,3.11,3.15,3.17,3.08
강남구 - 주거지역 - 1인당 도시지역면적 현황,Statistics,37.55,37.28,37.49,37.21,38.6191319,38.9184812,39.0228484,39.06,38.08,38.19,38.82,43.49,44.6,44.37,44.86,45.38,45.72,44.39
강동구 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,23.58,25.92,23.21,22.46,22.13286817,21.98683195,22.21691313,20.53,20.82,23.79,24.56,25.01,25.52,25.02,23.72,23.58,23.54,23.59
강동구 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,29.65,27.0,29.2,28.25,27.83958396,27.65589391,28.16174665,30.32,30.75,29.75,30.72,31.28246103,31.92,31.29,29.67,29.49,29.83,29.89
강동구 - 공업지역 - 1인당 도시지역면적 현황,Statistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17
강동구 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,24580000.0,24579999.0,24580000.0,24580000.0,24580000.0,24580000.0,24580000.0,24580000.0,24580000.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0,24556203.0
강동구 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,461760.0,464546.0,469024.0,484745.0,491871.0,495138.0,487905.0,483379.0,476597.0,458658.0,444168.0,436223.0,427573.0,436067.0,459970.0,462664.0,460067.0,459167.0
강동구 - 상업지역 - 1인당 도시지역면적 현황,Statistics,1.26,1.37,1.24,1.2,1.178506153,1.17073018,1.188085795,1.25,1.27,1.47,1.52,1.54,1.59,1.56,1.48,1.47,1.51,1.52
강동구 - 주거지역 - 1인당 도시지역면적 현황,Statistics,28.4,25.62,27.96,27.05,26.6610778,26.48516373,26.97366086,29.07,29.48,28.28,29.21,29.74,30.33,29.74,28.19,28.02,28.15,28.2
강릉시 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,306.47,303.26,306.21,306.21,287.0650392,291.0493366,298.2226071,296.72,298.09,285.81,293.64,288.93,290.27,288.72,288.24,285.15,285.1,284.2
강릉시 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,97.05,95.91,96.83,96.83,120.1795483,121.8475712,124.8506552,128.17,128.77,124.59,131.03,130.6192004,131.23,130.52,132.18,130.76,130.73,130.32
강릉시 - 공업지역 - 1인당 도시지역면적 현황,Statistics,10.34,10.22,10.31,10.31,22.03467777,22.34050641,22.89111579,26.03,26.15,25.92,29.66,28.93,29.06,28.9,30.19,29.87,29.86,29.77
강릉시 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,76850700.0,76920948.0,76931330.0,76931330.0,84047505.0,84047505.0,84047505.0,84047505.0,84047505.0,84204778.0,84762822.0,84783347.0,84783347.0,84783347.0,84958649.0,84958649.0,84958649.0,78392991.0
강릉시 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,187765.0,189990.0,188193.0,188193.0,190439.0,187832.0,183314.0,182527.0,181688.0,189358.0,184309.0,186434.0,185570.0,186570.0,186464.0,188487.0,188520.0,189119.0
강릉시 - 상업지역 - 1인당 도시지역면적 현황,Statistics,8.86,8.75,8.84,8.84,9.549992386,9.682540781,9.921178961,10.02,10.07,9.66,9.93,9.82,9.87,9.81,9.72,9.61,9.61,9.58
강릉시 - 주거지역 - 1인당 도시지역면적 현황,Statistics,77.85,76.94,77.68,77.68,88.59487815,89.82452404,92.03836041,92.12,92.55,89.0,91.44,91.87,92.3,91.81,92.26,91.27,91.26,90.97
