item,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 청년실업률,Statistics,7.7,6.3,6.7,6.2,7.7,5.9,6.8,4.0,6.6,4.8,6.6,7.4,6.3,8.3,5.1,12.0,18.5,15.4,9.8,4.4,6.0,8.9,8.7,9.4,6.3,6.6,5.1
경기도 - 청년실업률,Statistics,10.1,8.9,6.8,6.5,8.1,8.5,8.2,7.7,6.3,6.3,8.0,10.4,8.6,7.6,7.5,9.7,9.6,11.0,11.6,9.3,10.3,8.9,9.8,5.9,6.2,5.8,4.8
경상남도 - 청년실업률,Statistics,9.1,7.8,7.1,8.4,5.8,6.4,7.1,7.3,6.2,5.4,8.0,7.7,6.0,4.9,6.9,6.3,9.7,8.9,9.1,10.1,9.9,9.9,11.1,4.3,9.0,6.2,7.9
경상북도 - 청년실업률,Statistics,9.8,11.4,8.3,6.8,6.5,8.0,7.7,9.2,8.1,6.7,9.2,8.2,10.1,7.7,10.0,7.7,11.0,11.4,12.2,16.6,11.1,8.6,12.1,10.0,9.1,7.5,7.6
광주광역시 - 청년실업률,Statistics,12.7,12.3,12.5,8.5,12.2,10.3,10.2,10.1,10.6,7.6,9.4,9.3,9.1,9.2,8.0,8.8,7.0,9.1,6.1,9.3,11.1,7.3,8.5,7.6,4.4,9.6,7.1
대구광역시 - 청년실업률,Statistics,12.1,9.9,10.5,10.4,10.4,11.2,10.2,8.8,10.9,8.2,11.0,10.2,10.8,7.4,9.3,14.3,11.5,13.5,11.5,14.4,8.2,9.7,10.2,6.6,8.0,10.4,7.6
대전광역시 - 청년실업률,Statistics,9.9,10.8,12.0,10.0,8.3,10.4,11.6,10.0,10.2,6.8,9.7,9.4,9.3,9.9,7.7,8.7,10.6,9.8,7.8,11.5,10.3,8.0,8.9,6.2,6.0,6.0,8.0
부산광역시 - 청년실업률,Statistics,14.1,14.6,12.7,9.1,9.3,11.4,10.0,8.5,8.2,9.0,9.5,8.9,9.5,8.9,10.4,9.6,10.9,11.9,11.7,9.3,12.4,9.2,9.8,8.0,6.1,8.1,7.2
서울특별시 - 청년실업률,Statistics,10.1,10.4,10.5,9.1,9.7,10.2,9.9,9.5,8.1,8.4,8.7,9.9,9.3,9.1,8.9,10.4,10.4,12.4,11.0,10.1,9.7,8.9,10.7,7.4,5.6,4.1,8.9
세종특별자치시 - 청년실업률,Statistics,,,,,,,,,,,,,,,,,,,7.0,5.4,7.8,7.8,7.0,1.9,5.2,5.0,9.2
울산광역시 - 청년실업률,Statistics,9.9,7.8,10.3,5.6,7.2,10.4,9.3,7.6,7.2,6.6,10.1,7.0,7.6,6.9,7.0,7.6,10.5,12.2,8.9,6.1,9.4,12.2,9.3,7.9,9.2,12.3,4.3
인천광역시 - 청년실업률,Statistics,11.1,10.1,9.0,9.5,10.2,9.5,9.0,9.3,7.7,9.2,8.5,10.6,11.1,10.6,11.9,13.9,14.1,11.8,11.8,9.5,8.7,7.9,10.8,7.3,8.8,9.7,6.0
전국 - 청년실업률,Statistics,10.4,10.1,9.5,8.4,8.7,9.3,9.0,8.5,7.6,7.3,8.6,9.4,8.8,8.2,8.4,9.8,10.3,11.3,10.7,10.0,9.7,8.8,9.9,6.7,6.7,6.4,6.8
전라남도 - 청년실업률,Statistics,9.8,9.4,10.1,6.9,9.8,8.6,7.4,6.2,5.2,7.6,6.2,6.2,8.0,7.5,6.6,7.7,9.1,10.8,10.8,13.2,10.5,7.1,13.4,6.7,9.7,6.4,8.3
전북특별자치도 - 청년실업률,Statistics,7.7,10.4,11.7,11.3,8.6,10.3,8.3,11.8,7.8,9.6,8.7,8.2,11.5,7.6,7.5,6.6,5.4,12.0,15.4,11.5,10.2,10.6,7.7,5.7,9.0,7.1,10.5
제주특별자치도 - 청년실업률,Statistics,8.8,7.2,5.6,6.4,6.0,5.5,7.5,5.2,4.3,3.8,3.8,6.8,3.4,5.9,4.1,6.3,2.1,5.8,6.5,5.3,5.9,7.6,6.4,5.6,5.5,5.7,4.3
충청남도 - 청년실업률,Statistics,9.6,9.3,10.2,10.7,7.0,6.5,10.6,6.5,7.0,5.2,8.9,8.0,5.7,7.3,8.2,9.0,10.1,10.8,7.8,11.7,7.5,8.4,6.7,5.0,7.3,7.2,6.8
충청북도 - 청년실업률,Statistics,7.8,9.6,8.6,7.7,7.1,9.2,7.2,7.0,5.5,7.0,6.7,7.1,6.8,8.2,6.9,10.2,9.8,5.6,8.2,6.8,7.7,7.7,5.6,5.6,5.3,5.5,5.4
