item,category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 취업자 증가수,Statistics,23.2,-6.9,30.6,-24.8,14.0,-5.1,-2.0,6.6,0.9,-0.9,-14.9,-1.6,25.9,13.9,-6.7,22.6,15.1,23.8,3.0,20.8,13.6,-41.9,31.1,16.6,14.2,14.2
경기도 - 취업자 증가수,Statistics,192.9,163.3,223.1,153.5,266.7,96.7,174.4,168.0,140.8,31.7,75.0,184.3,118.4,93.6,306.2,190.2,60.0,156.7,210.1,38.6,245.6,-245.0,576.0,116.2,79.8,116.6
경상남도 - 취업자 증가수,Statistics,36.8,25.4,39.5,92.3,9.8,-14.8,13.2,37.7,40.3,-10.6,-14.9,37.2,44.6,-12.4,79.3,-22.9,34.2,25.2,10.1,25.8,22.0,-81.6,19.9,5.4,36.6,31.8
경상북도 - 취업자 증가수,Statistics,23.8,9.3,32.5,-21.0,1.8,-11.3,15.6,-4.0,-42.5,20.9,-32.1,3.4,34.2,-3.7,68.7,-5.1,31.3,1.5,-15.3,-11.6,31.0,-58.8,35.6,17.0,13.9,8.8
광주광역시 - 취업자 증가수,Statistics,35.4,11.3,54.7,2.2,-1.3,11.4,-1.9,20.2,19.2,-5.7,16.7,3.2,12.6,18.5,23.4,1.3,2.5,10.9,4.0,-3.9,16.7,-25.6,5.4,22.8,22.9,-16.7
대구광역시 - 취업자 증가수,Statistics,69.5,14.3,61.2,-13.3,16.7,18.9,-12.7,-5.1,-9.9,-14.6,15.0,17.1,46.8,10.4,2.6,18.1,3.0,2.0,-38.0,6.3,-10.4,-31.2,46.6,-9.2,8.4,-18.1
대전광역시 - 취업자 증가수,Statistics,45.3,10.7,57.3,3.4,12.7,-14.1,9.9,13.9,31.3,-8.3,2.8,13.1,14.6,11.7,22.4,21.3,1.9,-3.3,-2.5,-7.1,30.5,-23.8,27.0,9.5,-10.7,6.5
부산광역시 - 취업자 증가수,Statistics,79.5,8.8,77.2,-43.9,-61.7,21.9,8.5,-7.2,-12.7,-14.8,-2.1,-27.0,71.4,28.4,-13.9,18.8,2.1,-10.7,-11.6,-22.2,31.0,-64.2,28.0,53.4,-22.6,-17.4
서울특별시 - 취업자 증가수,Statistics,184.1,48.8,114.9,26.1,97.4,13.6,89.1,42.6,33.2,-61.3,-74.7,119.5,38.4,-2.8,100.7,-6.8,-33.3,-45.8,17.2,-128.1,112.3,-196.3,133.9,30.4,138.2,-93.9
세종특별자치시 - 취업자 증가수,Statistics,,,,,,,,,,,,,,,,,,,16.9,23.3,15.1,5.2,2.8,19.4,3.4,4.5
울산광역시 - 취업자 증가수,Statistics,23.4,17.8,19.4,7.0,10.3,6.2,-4.7,17.5,16.3,8.7,-6.3,20.4,10.8,-0.2,16.5,-2.5,14.5,2.2,12.1,-28.1,14.1,-27.4,7.2,11.9,0.2,4.7
인천광역시 - 취업자 증가수,Statistics,64.8,32.4,63.8,-4.7,14.0,7.2,10.6,28.0,54.4,-14.3,35.7,31.7,62.3,13.2,45.0,6.7,55.1,-5.9,47.8,9.0,4.5,-46.5,22.7,69.2,42.3,41.8
전국 - 취업자 증가수,Statistics,876.5,308.2,866.8,248.8,395.1,129.0,312.1,376.4,295.0,-90.1,-10.4,398.2,584.8,262.8,763.8,341.6,254.4,232.0,334.2,19.1,568.1,-981.6,1134.5,410.5,379.8,135.1
전라남도 - 취업자 증가수,Statistics,7.5,-17.6,8.4,11.8,-29.1,-5.0,-16.4,5.6,-16.3,-8.6,-5.5,-44.2,46.2,10.8,-8.2,21.9,-14.9,-2.9,23.7,13.3,15.0,-35.9,44.3,15.6,-9.5,-8.1
전북특별자치도 - 취업자 증가수,Statistics,21.7,3.6,25.8,-13.4,18.0,-20.7,9.1,14.5,12.5,6.9,-23.8,-1.1,15.6,32.1,9.7,23.9,13.9,12.7,-19.1,23.9,12.8,-14.6,30.1,6.8,20.5,-12.0
제주특별자치도 - 취업자 증가수,Statistics,19.9,4.9,10.4,9.5,1.3,0.9,-1.2,6.0,-0.6,-2.4,-1.9,-0.9,18.0,5.4,14.0,12.9,13.1,19.2,5.3,6.0,14.5,-23.9,23.8,2.1,9.2,-5.0
충청남도 - 취업자 증가수,Statistics,27.4,-21.1,35.5,42.3,23.7,14.1,23.3,19.3,17.3,-26.5,16.6,21.3,25.8,38.8,53.3,26.2,28.1,-79.6,47.1,38.6,-22.0,-42.9,51.7,27.5,0.5,61.7
충청북도 - 취업자 증가수,Statistics,20.0,3.1,12.6,21.8,0.6,9.5,-2.9,12.5,11.0,9.9,3.8,21.8,-0.7,5.1,50.8,15.2,27.6,9.2,23.4,14.6,21.7,-27.1,48.3,-4.3,32.5,15.9
