item,category,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원 - 개인,Statistics,2810.0,2512.0,3211.0,3027.0,5905.0,3105.0,2877.0,2912.0,3180.0,2194.0
강원 - 법인,Statistics,213.0,190.0,245.0,222.0,246.0,234.0,259.0,198.0,222.0,190.0
강원 - 전체,Statistics,3023.0,2702.0,3456.0,3249.0,6151.0,3339.0,3136.0,3110.0,3402.0,2384.0
경기 - 개인,Statistics,22231.0,24057.0,29840.0,30463.0,57651.0,32718.0,32594.0,28894.0,34241.0,24852.0
경기 - 법인,Statistics,2042.0,1995.0,2461.0,2541.0,3105.0,2890.0,3139.0,2397.0,2947.0,2572.0
경기 - 전체,Statistics,24273.0,26052.0,32301.0,33004.0,60756.0,35608.0,35733.0,31291.0,37188.0,27424.0
경남 - 개인,Statistics,5816.0,6074.0,6895.0,6276.0,10108.0,5975.0,5605.0,5606.0,6017.0,4428.0
경남 - 법인,Statistics,379.0,299.0,429.0,408.0,446.0,474.0,469.0,383.0,455.0,315.0
경남 - 전체,Statistics,6195.0,6373.0,7324.0,6684.0,10554.0,6449.0,6074.0,5989.0,6472.0,4743.0
경북 - 개인,Statistics,4289.0,4411.0,5036.0,4857.0,7565.0,4772.0,4433.0,4438.0,4878.0,3558.0
경북 - 법인,Statistics,322.0,336.0,382.0,441.0,383.0,410.0,393.0,308.0,378.0,281.0
경북 - 전체,Statistics,4611.0,4747.0,5418.0,5298.0,7948.0,5182.0,4826.0,4746.0,5256.0,3839.0
광주 - 개인,Statistics,2256.0,2430.0,2973.0,2987.0,5720.0,2699.0,2615.0,2471.0,2845.0,1834.0
광주 - 법인,Statistics,232.0,233.0,368.0,355.0,372.0,333.0,337.0,234.0,259.0,183.0
광주 - 전체,Statistics,2488.0,2663.0,3341.0,3342.0,6092.0,3032.0,2952.0,2705.0,3104.0,2017.0
대구 - 개인,Statistics,4088.0,3979.0,4594.0,4660.0,8245.0,4615.0,4245.0,3924.0,4491.0,3246.0
대구 - 법인,Statistics,297.0,305.0,328.0,300.0,364.0,377.0,336.0,203.0,285.0,226.0
대구 - 전체,Statistics,4385.0,4284.0,4922.0,4960.0,8609.0,4992.0,4581.0,4127.0,4776.0,3472.0
대전 - 개인,Statistics,2407.0,2462.0,2889.0,2871.0,6569.0,2883.0,2713.0,2588.0,3005.0,2163.0
대전 - 법인,Statistics,181.0,190.0,208.0,236.0,285.0,265.0,255.0,191.0,215.0,185.0
대전 - 전체,Statistics,2588.0,2652.0,3097.0,3107.0,6854.0,3148.0,2968.0,2779.0,3220.0,2348.0
부산 - 개인,Statistics,5618.0,5538.0,7139.0,6688.0,12576.0,6717.0,6365.0,5608.0,6263.0,4413.0
부산 - 법인,Statistics,447.0,414.0,443.0,501.0,526.0,532.0,549.0,390.0,462.0,359.0
부산 - 전체,Statistics,6065.0,5952.0,7582.0,7189.0,13102.0,7249.0,6914.0,5998.0,6725.0,4772.0
서울 - 개인,Statistics,17125.0,17853.0,22217.0,21010.0,47894.0,22043.0,19082.0,17703.0,20016.0,14717.0
서울 - 법인,Statistics,2445.0,2466.0,2938.0,2976.0,2849.0,2875.0,3090.0,2226.0,2455.0,2090.0
서울 - 전체,Statistics,19570.0,20319.0,25155.0,23986.0,50743.0,24918.0,22172.0,19929.0,22471.0,16807.0
세종 - 개인,Statistics,721.0,906.0,862.0,675.0,2098.0,711.0,720.0,699.0,817.0,591.0
세종 - 법인,Statistics,40.0,50.0,64.0,67.0,78.0,55.0,73.0,69.0,47.0,36.0
세종 - 전체,Statistics,761.0,956.0,926.0,742.0,2176.0,766.0,793.0,768.0,864.0,627.0
울산 - 개인,Statistics,2047.0,1983.0,2169.0,2178.0,3788.0,1958.0,1741.0,2014.0,1880.0,1346.0
울산 - 법인,Statistics,103.0,114.0,144.0,140.0,144.0,134.0,133.0,92.0,118.0,94.0
울산 - 전체,Statistics,2150.0,2097.0,2313.0,2318.0,3932.0,2092.0,1874.0,2106.0,1998.0,1440.0
인천 - 개인,Statistics,4740.0,5134.0,7466.0,6541.0,13651.0,6782.0,7193.0,6170.0,7184.0,4893.0
인천 - 법인,Statistics,346.0,352.0,417.0,422.0,433.0,482.0,519.0,421.0,481.0,445.0
인천 - 전체,Statistics,5086.0,5486.0,7883.0,6963.0,14084.0,7264.0,7712.0,6591.0,7665.0,5338.0
전국 - 개인,Statistics,87392.0,91963.0,113524.0,109214.0,210599.0,110838.0,106095.0,97481.0,111584.0,80499.0
전국 - 법인,Statistics,8317.0,8130.0,9954.0,10072.0,10737.0,10627.0,11117.0,8296.0,9599.0,7979.0
전국 - 전체,Statistics,95709.0,100093.0,123478.0,119286.0,221336.0,121465.0,117212.0,105777.0,121183.0,88478.0
전남 - 개인,Statistics,2712.0,3109.0,3956.0,3894.0,5448.0,3447.0,3115.0,2928.0,3449.0,2563.0
전남 - 법인,Statistics,320.0,265.0,429.0,417.0,363.0,375.0,352.0,291.0,295.0,243.0
전남 - 전체,Statistics,3032.0,3374.0,4385.0,4311.0,5811.0,3822.0,3467.0,3219.0,3744.0,2806.0
전북 - 개인,Statistics,2850.0,3098.0,4765.0,3789.0,5663.0,3386.0,3273.0,3195.0,3964.0,2812.0
전북 - 법인,Statistics,262.0,257.0,312.0,342.0,340.0,365.0,314.0,254.0,274.0,176.0
전북 - 전체,Statistics,3112.0,3355.0,5077.0,4131.0,6003.0,3751.0,3587.0,3449.0,4238.0,2988.0
제주 - 개인,Statistics,1788.0,2086.0,2147.0,1893.0,3213.0,1556.0,1627.0,1483.0,1620.0,1285.0
제주 - 법인,Statistics,141.0,124.0,144.0,123.0,115.0,130.0,174.0,105.0,115.0,95.0
제주 - 전체,Statistics,1929.0,2210.0,2291.0,2016.0,3328.0,1686.0,1801.0,1588.0,1735.0,1380.0
충남 - 개인,Statistics,3383.0,3737.0,4445.0,4257.0,8667.0,4346.0,4890.0,4079.0,4589.0,3380.0
충남 - 법인,Statistics,316.0,322.0,381.0,339.0,416.0,398.0,430.0,331.0,349.0,306.0
충남 - 전체,Statistics,3699.0,4059.0,4826.0,4596.0,9083.0,4744.0,5320.0,4410.0,4938.0,3686.0
충북 - 개인,Statistics,2511.0,2594.0,2920.0,3148.0,5838.0,3125.0,3007.0,2769.0,3145.0,2224.0
충북 - 법인,Statistics,231.0,218.0,261.0,242.0,272.0,298.0,295.0,203.0,242.0,183.0
충북 - 전체,Statistics,2742.0,2812.0,3181.0,3390.0,6110.0,3423.0,3302.0,2972.0,3387.0,2407.0
