item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 계 - 인원수,Statistics,1595.0,3157.0,3127.0,3031.0,3497.0,3009.0,2520.0,3178.0,2825.0,2843.0,2284.0
강원특별자치도 - 남자 - 인원수,Statistics,790.0,1564.0,1530.0,1599.0,1779.0,1499.0,1455.0,1645.0,1499.0,1459.0,1167.0
강원특별자치도 - 여자 - 인원수,Statistics,805.0,1593.0,1597.0,1432.0,1718.0,1510.0,1065.0,1533.0,1326.0,1384.0,1117.0
경기도 - 계 - 인원수,Statistics,15717.0,18203.0,17390.0,20784.0,21818.0,18846.0,23690.0,27095.0,26164.0,19472.0,15922.0
경기도 - 남자 - 인원수,Statistics,7924.0,9443.0,9060.0,11137.0,11570.0,9696.0,14766.0,16566.0,17237.0,10853.0,8693.0
경기도 - 여자 - 인원수,Statistics,7793.0,8760.0,8330.0,9647.0,10248.0,9150.0,8924.0,10529.0,8927.0,8619.0,7229.0
경상남도 - 계 - 인원수,Statistics,4425.0,5356.0,4214.0,4114.0,5244.0,4530.0,6541.0,6199.0,5627.0,5715.0,4366.0
경상남도 - 남자 - 인원수,Statistics,2687.0,3222.0,2408.0,2197.0,2846.0,2235.0,4470.0,3699.0,3614.0,3277.0,2475.0
경상남도 - 여자 - 인원수,Statistics,1738.0,2134.0,1806.0,1917.0,2398.0,2295.0,2071.0,2500.0,2013.0,2438.0,1891.0
경상북도 - 계 - 인원수,Statistics,3061.0,3521.0,3319.0,3265.0,3812.0,3544.0,4645.0,4935.0,4637.0,4291.0,3425.0
경상북도 - 남자 - 인원수,Statistics,1677.0,1724.0,1793.0,1679.0,2049.0,1761.0,2932.0,3017.0,2892.0,2370.0,1836.0
경상북도 - 여자 - 인원수,Statistics,1384.0,1797.0,1526.0,1586.0,1763.0,1783.0,1713.0,1918.0,1745.0,1921.0,1589.0
광주광역시 - 계 - 인원수,Statistics,1811.0,1871.0,1798.0,1983.0,2640.0,2265.0,2361.0,2446.0,2067.0,2238.0,1961.0
광주광역시 - 남자 - 인원수,Statistics,876.0,908.0,875.0,1008.0,1289.0,974.0,1197.0,1222.0,1030.0,1037.0,933.0
광주광역시 - 여자 - 인원수,Statistics,935.0,963.0,923.0,975.0,1351.0,1291.0,1164.0,1224.0,1037.0,1201.0,1028.0
대구광역시 - 계 - 인원수,Statistics,2927.0,3378.0,3261.0,3049.0,3556.0,3246.0,3819.0,3634.0,3220.0,3477.0,2787.0
대구광역시 - 남자 - 인원수,Statistics,1388.0,1488.0,1557.0,1465.0,1682.0,1440.0,2140.0,1829.0,1609.0,1578.0,1249.0
대구광역시 - 여자 - 인원수,Statistics,1539.0,1890.0,1704.0,1584.0,1874.0,1806.0,1679.0,1805.0,1611.0,1899.0,1538.0
대전광역시 - 계 - 인원수,Statistics,1949.0,2388.0,2264.0,2284.0,2989.0,2824.0,3357.0,3071.0,2747.0,2637.0,2401.0
대전광역시 - 남자 - 인원수,Statistics,912.0,1152.0,1126.0,1152.0,1436.0,1404.0,1868.0,1612.0,1402.0,1284.0,1192.0
대전광역시 - 여자 - 인원수,Statistics,1037.0,1236.0,1138.0,1132.0,1553.0,1420.0,1489.0,1459.0,1345.0,1353.0,1209.0
