item,category,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 성장률,Statistics,5.1,2.1,3.7,-1.8,5.3,1.3,2.7
경기도 - 성장률,Statistics,6.3,5.2,2.7,2.8,5.9,3.2,1.1
경상남도 - 성장률,Statistics,-0.4,1.0,1.9,-5.6,2.0,3.5,2.2
경상북도 - 성장률,Statistics,-0.3,0.2,1.0,-3.0,2.5,0.6,3.2
광주광역시 - 성장률,Statistics,3.3,2.6,3.0,1.9,4.1,1.0,1.4
대구광역시 - 성장률,Statistics,1.8,1.2,1.6,-1.1,4.9,2.2,1.2
대전광역시 - 성장률,Statistics,1.4,0.8,5.1,2.3,2.3,1.8,3.6
부산광역시 - 성장률,Statistics,-0.6,3.0,2.2,-3.0,2.6,1.7,0.8
서울특별시 - 성장률,Statistics,2.6,4.1,3.2,-0.5,3.9,2.6,0.7
세종특별자치시 - 성장률,Statistics,6.0,2.9,6.9,2.4,7.4,2.2,1.3
울산광역시 - 성장률,Statistics,0.1,-1.4,-1.3,-9.6,6.8,3.8,3.2
인천광역시 - 성장률,Statistics,4.3,2.5,2.4,-2.7,4.7,6.8,4.8
전국 - 성장률,Statistics,3.4,3.1,2.4,-0.6,4.5,2.7,1.4
전라남도 - 성장률,Statistics,1.1,0.6,2.0,-1.4,4.4,-0.7,1.2
전북특별자치도 - 성장률,Statistics,3.2,1.3,2.2,-0.2,3.3,1.3,-0.2
제주특별자치도 - 성장률,Statistics,6.9,0.9,0.8,-5.6,3.1,4.6,3.0
충청남도 - 성장률,Statistics,7.5,2.6,1.0,1.0,5.7,2.8,0.5
충청북도 - 성장률,Statistics,6.7,6.3,3.6,-1.7,5.9,4.2,-0.4
